,fifth_male,fifth_female,tuple,third_male,third_female,bancorp_male,bancorp_female,average_male,average_female,male-female
31,-4.4443936,-5.4104586,"('evil', 'good')",-1.6683842,-1.5601252,0.3868365,0.3732174,-1.9086471,-2.1991221,0.290475
55,4.177085,5.542244,"('incompetent', 'clever')",1.2509522,1.2747983,-1.7945526,-1.491081,1.2111615,1.7753204,-0.5641589
7,3.9690135,4.8922243,"('insensitive', 'sensitive')",1.3753704,1.449646,-0.31308937,-0.122540824,1.6770981,2.0731098,-0.3960117
21,3.9043021,4.685727,"('immoral', 'moral')",0.9382333,0.86287117,-1.4966003,-1.1695637,1.1153118,1.4596782,-0.3443664
10,3.7611153,5.1279774,"('unsympathetic', 'sympathetic')",0.6304329,0.99749756,-2.0950873,-1.7034264,0.765487,1.4740162,-0.7085292
60,3.7094047,4.931538,"('inefficient', 'efficient')",1.7335567,1.4391195,-0.7726958,-0.54606986,1.5567554,1.9415293,-0.3847739
80,3.6356742,4.375275,"('dominated', 'dominating')",1.4907147,1.4982722,-0.98572004,-0.8025923,1.380223,1.6903184,-0.3100954
46,3.5688105,5.093672,"('uncompetitive', 'competitive')",0.8387224,1.0662992,-0.9467992,-0.7425221,1.1535778,1.8058163,-0.6522385
36,-3.4046767,-4.6911407,"('hostile', 'amicable')",-1.4053004,-1.6433743,1.844579,1.1908675,-0.988466,-1.7145492,0.7260832
6,-3.2427647,-3.685924,"('distant', 'open')",-0.62745243,-0.26344353,0.9611284,0.92401284,-0.9696962,-1.0084515,0.0387553
62,3.183124,4.498364,"('incompetent', 'brilliant')",1.4968957,1.4785817,-0.37255767,-0.07278911,1.4358207,1.9680522,-0.5322315
79,-3.1824577,-4.1260567,"('wavering', 'unwavering')",-0.282206,-0.41928566,1.0933863,0.8471994,-0.7904258,-1.2327143,0.4422885
5,-3.1445413,-3.4408143,"('distant', 'outgoing')",-0.522353,-0.3472179,1.0755434,0.97866404,-0.8637836,-0.936456,0.0726724
35,-3.1067417,-4.6223907,"('corrupt', 'incorrupt')",-0.5256452,-0.708291,0.8731191,0.6569485,-0.9197559,-1.5579111,0.6381552
85,-3.0072782,-4.3337307,"('insignificant', 'prestigious')",-0.8974029,-1.1906319,1.4261358,0.8995509,-0.8261818,-1.5416039,0.7154221
23,3.003551,3.8137603,"('insincere', 'sincere')",1.721972,1.7207409,2.3684583,2.7152088,2.3646604,2.7499034,-0.385243
69,-2.8027568,-3.294163,"('lazy', 'industrious')",-0.10675694,-0.43335596,1.6057543,1.3722967,-0.4345865,-0.7850741,0.3504876
13,2.634145,3.410056,"('impolite', 'polite')",0.9003865,0.87336075,-0.4685232,-0.5929714,1.0220028,1.2301485,-0.2081457
14,2.5813572,3.2842596,"('antisocial', 'social')",0.85766274,0.799084,-1.208751,-1.1266564,0.743423,0.9855623,-0.2421393
65,2.5672457,3.2318497,"('insecure', 'secure')",0.36153916,0.1538437,-0.96062607,-0.7193467,0.6560529,0.8887822,-0.2327293
11,2.5606294,3.6807714,"('unhelpful', 'helpful')",1.0882065,1.3269246,0.31052575,0.60002714,1.3197872,1.8692411,-0.5494539
43,2.5089724,3.4103067,"('irresponsible', 'responsible')",0.7920178,0.88363147,-1.153437,-1.0880486,0.715851,1.0686299,-0.3527789
81,2.4439948,3.5090044,"('submissive', 'aggressive')",0.8371579,0.48460442,-1.7530727,-1.6105285,0.50936,0.7943601,-0.2850001
56,2.4368827,3.772296,"('impractical', 'practical')",1.2227783,1.3490146,-0.1384335,0.044971097,1.1737425,1.7220939,-0.5483514
76,2.3714235,2.883666,"('anxious', 'daring')",1.3177232,1.243937,-0.30637056,-0.10031787,1.127592,1.3424284,-0.2148364
39,2.2965453,1.9849994,"('exploitative', 'cooperative')",1.8258865,1.7496978,0.45220587,0.52010804,1.5248791,1.4182685,0.1066106
16,-2.235416,-2.3144643,"('unpopular', 'popular')",-1.3133067,-1.3440232,0.6786035,0.5659036,-0.9567064,-1.0308613,0.0741549
70,2.1637235,3.0550375,"('lethargic', 'energetic')",0.64126694,0.91295415,-1.3878657,-0.93285847,0.4723749,1.011711,-0.5393361
4,-2.1166265,-2.5599403,"('disliked', 'liked')",-0.004041504,0.031879056,-1.8506095,-2.3173976,-1.3237592,-1.615153,0.2913938
63,1.9703834,2.901829,"('unperceptive', 'insightful')",0.71184146,0.8814805,0.34302583,0.53614396,1.0084169,1.4398177,-0.4314008
74,1.8913094,2.4252799,"('undedicated', 'dedicated')",1.7658225,1.7507356,-0.0078071654,0.1027839,1.2164416,1.4262664,-0.2098248
45,1.8581402,2.931814,"('incompetent', 'competent')",0.55128974,0.8221716,-1.500708,-1.386437,0.3029073,0.7891828,-0.4862755
12,1.8214709,2.420133,"('unsupportive', 'supportive')",1.2454581,1.4905672,-1.0542251,-1.093879,0.6709013,0.9389404,-0.2680391
3,1.8067414,1.9348785,"('repellent', 'pleasant')",-0.26116282,-0.12674743,-0.97064406,-0.63367087,0.1916448,0.3914867,-0.1998419
