,harman_male,harman_female,tuple,intl_male,intl_female,inds_male,inds_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.1841886,-1.9906881,"('unsympathetic', 'sympathetic')",-1.8849748,-1.7450708,-0.7242689,-0.7952381,-0.36766523,-0.37050068,-1.2902744,-1.2253743,-0.0649001
3,-1.981011,-1.9153142,"('repellent', 'pleasant')",-0.52895874,-0.5627542,-0.08534831,-0.27235904,0.12893146,0.0061662085,-0.6165966,-0.6860653,0.0694687
48,-1.794411,-1.8062533,"('unintelligent', 'intelligent')",-1.3567603,-1.3580298,-0.38187695,-0.4804107,0.15264753,0.13549371,-0.8451002,-0.8773,0.0321998
86,-1.7539953,-1.857903,"('uninfluential', 'influential')",-1.9547427,-1.9347306,-1.6305517,-1.7623088,-0.6000988,-0.7419158,-1.4848471,-1.5742145,0.0893674
35,1.6769763,1.6282774,"('corrupt', 'incorrupt')",0.8654941,0.7390996,-0.38000908,-0.38822424,0.11362682,0.10996699,0.569022,0.52228,0.046742
21,-1.6045718,-1.5272712,"('immoral', 'moral')",-1.0262175,-1.001374,-0.10113531,-0.21031266,-1.1175069,-1.2734619,-0.9623579,-1.0031049,0.040747
24,-1.5769694,-1.5476462,"('dishonest', 'honest')",-0.9203966,-0.838694,-0.2377634,-0.2846405,0.6738555,0.6885876,-0.5153185,-0.4955983,-0.0197202
23,-1.576759,-1.467548,"('insincere', 'sincere')",-1.1962321,-1.1388576,-0.021979691,-0.0618606,5.3761315,5.519282,0.6452901,0.7127539,-0.0674638
60,-1.5641687,-1.3917687,"('inefficient', 'efficient')",-0.48300484,-0.32528752,1.3421416,1.3565928,-0.19559978,-0.13210352,-0.2251579,-0.1231418,-0.1020161
7,-1.550277,-1.4516898,"('insensitive', 'sensitive')",-0.6347163,-0.53875583,0.04683654,-0.0147092305,0.63396376,0.5916784,-0.3760482,-0.3533691,-0.0226791
81,-1.5255111,-1.4343771,"('submissive', 'aggressive')",-0.106007576,0.0771354,0.7588411,0.7781722,-1.0383633,-0.98937047,-0.4777603,-0.39211,-0.0856503
46,-1.4999487,-1.2511451,"('uncompetitive', 'competitive')",-1.2283854,-1.0843134,-0.66297734,-0.70488816,-0.6004234,-0.6704298,-0.9979337,-0.9276941,-0.0702396
57,-1.4766313,-1.3196003,"('unimaginative', 'imaginative')",-0.7783815,-0.65568024,-0.4944711,-0.4438048,-2.389984,-2.4485161,-1.2848669,-1.2169003,-0.0679666
32,-1.4627578,-1.4499015,"('unkind', 'kind')",-0.34999117,-0.2706389,0.46174493,0.5665377,0.6148367,0.6595582,-0.1840419,-0.1236111,-0.0604308
70,-1.4262695,-1.0639386,"('lethargic', 'energetic')",-0.31612062,-0.041613646,0.32018027,0.48306698,0.67794925,0.79046714,-0.1860652,0.0419955,-0.2280607
77,-1.3948879,-1.3167369,"('unmotivated', 'motivated')",-0.83679855,-0.7384899,-0.63482213,-0.6489856,-1.2246603,-1.118321,-1.0227922,-0.9556333,-0.0671589
85,1.3741207,1.1841724,"('insignificant', 'prestigious')",-1.2285228,-1.3479084,-1.5916725,-1.6592495,0.92347175,0.93186015,-0.1306507,-0.2227813,0.0921306
55,-1.3632543,-1.2496841,"('incompetent', 'clever')",-0.84966296,-0.8059363,-0.10586428,-0.1982809,0.12975258,-0.069055736,-0.5472572,-0.5807393,0.0334821
69,1.3231262,1.2405567,"('lazy', 'industrious')",1.5573177,1.5446534,1.1732994,1.2829428,-0.21903569,-0.15025735,0.9586769,0.9794739,-0.020797
28,-1.3195305,-1.3304919,"('disloyal', 'loyal')",-1.630397,-1.7510092,-1.1679088,-1.4175162,0.92045414,0.77289915,-0.7993455,-0.9315295,0.132184
76,-1.3155677,-1.0753176,"('anxious', 'daring')",0.45341086,0.5821654,0.8585576,0.97929484,0.16948572,0.27284056,0.0414716,0.1897458,-0.1482742
1,-1.252318,-1.4076967,"('unfriendly', 'friendly')",-1.9617012,-2.0759625,-1.8482589,-1.9947097,1.6822445,1.6280049,-0.8450084,-0.9625909,0.1175825
14,-1.2381932,-1.263665,"('antisocial', 'social')",0.0009601554,0.054043457,1.3182133,1.2622417,-0.63065875,-0.65357226,-0.1374196,-0.150238,0.0128184
0,-1.2330459,-1.2580975,"('unsociable', 'sociable')",-1.2954038,-1.3297962,-0.3998029,-0.48418984,-0.46695843,-0.565918,-0.8488028,-0.9095004,0.0606976
65,-1.2148377,-1.1745439,"('insecure', 'secure')",-0.16476455,-0.18636173,1.1039052,0.9304035,-0.41978756,-0.41504425,-0.1738711,-0.2113866,0.0375155
59,1.1825714,1.2086008,"('foolish', 'wise')",0.26456943,0.22437638,-0.7227551,-0.72477794,0.061441258,0.09879461,0.1964567,0.2017485,-0.0052918
