,coca_male,coca_female,tuple,cola_male,cola_female,europacific_male,europacific_female,partners_male,partners_female,average_male,average_female,male-female
73,2.496736,2.3290982,"('helpless', 'self-reliant')",0.414769,0.3619635,0.6774707,0.56263,-3.7760007,-3.5983593,-0.0467563,-0.0861669,0.0394106
45,-2.1566615,-1.6746637,"('incompetent', 'competent')",-0.72567755,-0.46432424,-0.90683234,-0.3185612,0.074815065,0.25066274,-0.928589,-0.5517216,-0.3768674
85,2.0478327,2.2345445,"('insignificant', 'prestigious')",-0.09849772,0.008241179,-0.09631868,0.13865961,-0.23107584,-0.066000804,0.4054851,0.5788612,-0.1733761
3,-1.7689267,-1.4131254,"('repellent', 'pleasant')",-0.9855251,-0.6953999,0.07733661,0.12952286,0.7173235,0.76789576,-0.4899479,-0.3027767,-0.1871712
82,-1.5383846,-1.0212842,"('poor', 'rich')",-0.78720945,-0.5070601,-1.0369138,-0.53994536,5.5357757,5.575208,0.543317,0.8767296,-0.3334126
65,-1.538175,-1.1075827,"('insecure', 'secure')",0.34165958,0.5597806,0.18844639,0.50207067,1.0231409,1.162124,0.003768,0.2790982,-0.2753302
69,1.535019,1.1463906,"('lazy', 'industrious')",0.9458897,0.71415514,1.6047447,1.2275357,-0.8954954,-0.87796205,0.7975395,0.5525298,0.2450097
71,1.3590205,1.4238445,"('diffident', 'self-confident')",1.3544205,1.451057,-0.85750306,-0.8278362,1.0626992,1.0449764,0.7296593,0.7730104,-0.0433511
81,-1.34283,-0.7383058,"('submissive', 'aggressive')",-0.65908504,-0.27909335,0.37429747,0.6752451,0.17226946,0.34622115,-0.363837,0.0010168,-0.3648538
51,-1.3022609,-1.1701008,"('uneducated', 'educated')",-0.60092705,-0.31641024,-0.6945118,-0.5104223,0.4371889,0.4441722,-0.5401277,-0.3881903,-0.1519374
5,1.2798299,1.0450107,"('distant', 'outgoing')",0.3141817,0.08729706,-0.8063273,-0.9733274,-0.18940078,-0.24648231,0.1495709,-0.0218755,0.1714464
77,-1.2517614,-1.1999922,"('unmotivated', 'motivated')",-0.45125344,-0.30973065,-0.34388012,-0.22666849,0.10294396,0.10421946,-0.4859878,-0.408043,-0.0779448
33,1.1972475,0.9575853,"('wrong', 'right')",0.107161105,-0.010110425,0.5446003,0.40721798,-0.2852162,-0.3978366,0.3909481,0.2392141,0.151734
84,1.1680015,0.7523875,"('inferior', 'superior')",1.3403267,1.0827067,0.2555324,-0.016945392,0.27076146,0.079776995,0.7586555,0.4744815,0.284174
83,1.1185063,1.4234697,"('powerless', 'powerful')",0.64231044,0.7846324,0.22472587,0.3929768,-0.38622415,-0.22066712,0.3998296,0.5951029,-0.1952733
13,-1.1153102,-0.6354602,"('impolite', 'polite')",0.28250885,0.4279032,0.0831313,0.4001798,0.92641383,0.9225874,0.044186,0.2788025,-0.2346165
14,-1.0878726,-0.50973815,"('antisocial', 'social')",-0.024493475,0.3555782,0.26964906,0.7144357,0.082156844,0.35026395,-0.1901401,0.2276349,-0.417775
28,-1.0626981,-0.9332305,"('disloyal', 'loyal')",-0.053790048,-0.11989287,-0.8678142,-0.54124105,1.0713696,1.1727915,-0.2282332,-0.1053932,-0.12284
70,-1.0499802,-0.8642218,"('lethargic', 'energetic')",-0.71816325,-0.42908508,-0.4525769,-0.281248,1.4341927,1.3366381,-0.1966319,-0.0594792,-0.1371527
40,-1.0044048,-1.11894,"('stingy', 'generous')",-0.5304735,-0.78761244,-0.14889698,-0.17049116,-2.1643667,-2.33673,-0.9620355,-1.1034434,0.1414079
39,0.9674062,1.3670132,"('exploitative', 'cooperative')",1.3322834,1.314479,1.2332782,1.3682142,1.355277,1.4482173,1.2220612,1.374481,-0.1524198
