,medtronic_male,medtronic_female,tuple,plc_male,plc_female,average_male,average_female,male-female
10,-1.820882,-1.8836051,"('unsympathetic', 'sympathetic')",-1.1396677,-1.4134653,-1.4802749,-1.6485353,0.1682604
69,1.6444978,1.6593955,"('lazy', 'industrious')",0.64562994,0.74108064,1.1450639,1.200238,-0.0551741
71,1.3974231,1.2682197,"('diffident', 'self-confident')",0.81780636,0.6293935,1.1076148,0.9488066,0.1588082
53,-1.3257908,-1.3393363,"('uncreative', 'creative')",1.1504931,1.0684088,-0.0876488,-0.1354637,0.0478149
82,-1.227872,-1.3258834,"('poor', 'rich')",4.0019464,3.9520648,1.3870373,1.3130907,0.0739466
3,-1.1610764,-1.1043973,"('repellent', 'pleasant')",-0.5877789,-0.5983721,-0.8744277,-0.8513847,-0.023043
70,-1.1292831,-1.1555922,"('lethargic', 'energetic')",-0.24062577,-0.46264526,-0.6849544,-0.8091187,0.1241643
46,-1.0916059,-1.1467457,"('uncompetitive', 'competitive')",-1.0114287,-1.380465,-1.0515172,-1.2636054,0.2120882
86,-1.0230299,-1.0142572,"('uninfluential', 'influential')",0.28026256,0.114923336,-0.3713837,-0.4496669,0.0782832
24,-0.9969107,-1.0529459,"('dishonest', 'honest')",0.48583066,0.42685664,-0.25554,-0.3130446,0.0575046
7,-0.9753262,-1.0641701,"('insensitive', 'sensitive')",0.43530932,0.13046923,-0.2700084,-0.4668505,0.1968421
55,-0.9717853,-0.94525945,"('incompetent', 'clever')",-0.5491449,-0.73746496,-0.7604651,-0.8413622,0.0808971
23,-0.96640664,-1.1064801,"('insincere', 'sincere')",3.4643428,3.3585799,1.2489681,1.1260499,0.1229182
50,0.93888724,0.91438735,"('clumsy', 'skillful')",-0.073877096,-0.25655574,0.4325051,0.3289158,0.1035893
68,-0.93558383,-0.855301,"('dependent', 'independent')",-1.2200983,-1.2813287,-1.077841,-1.0683148,-0.0095262
63,-0.90083104,-0.9645622,"('unperceptive', 'insightful')",0.65917087,0.38422891,-0.1208301,-0.2901666,0.1693365
54,-0.87897694,-0.8916588,"('incapable', 'capable')",0.860716,0.87762195,-0.0091305,-0.0070184,-0.0021121
15,0.8655487,0.7913422,"('boring', 'funny')",0.2560843,0.21807261,0.5608165,0.5047074,0.0561091
51,-0.8509513,-0.75101143,"('uneducated', 'educated')",-0.405065,-0.35214058,-0.6280081,-0.551576,-0.0764321
81,-0.8420205,-0.83145833,"('submissive', 'aggressive')",-1.810704,-1.8388779,-1.3263623,-1.3351681,0.0088058
37,-0.7739562,-0.7630228,"('fake', 'genuine')",0.47532946,0.3855007,-0.1493134,-0.188761,0.0394476
76,-0.7592304,-0.7608173,"('anxious', 'daring')",-0.90604115,-0.96472526,-0.8326358,-0.8627713,0.0301355
28,-0.7491291,-0.81307614,"('disloyal', 'loyal')",0.8008893,0.7229907,0.0258801,-0.0450427,0.0709228
43,-0.73566324,-0.8299718,"('irresponsible', 'responsible')",0.53886735,0.3818832,-0.0983979,-0.2240443,0.1256464
78,0.73007154,0.5898578,"('nonresilient', 'resilient')",0.72900414,0.5793082,0.7295378,0.584583,0.1449548
21,-0.68267184,-0.63922113,"('immoral', 'moral')",-1.7732041,-1.8933564,-1.2279379,-1.2662888,0.0383509
87,0.6698177,0.6296379,"('unsuccessful', 'successful')",1.5655888,1.5991833,1.1177032,1.1144106,0.0032926
39,0.65678173,0.70198023,"('exploitative', 'cooperative')",0.35294002,0.45800298,0.5048609,0.5799916,-0.0751307
73,0.6550443,0.8220944,"('helpless', 'self-reliant')",-1.5308915,-1.7798196,-0.4379236,-0.4788626,0.040939
8,-0.6426438,-0.6078314,"('unaffectionate', 'affectionate')",1.42556,1.3681923,0.3914581,0.3801804,0.0112777
84,0.5942545,0.59452415,"('inferior', 'superior')",0.64418447,0.60436875,0.6192195,0.5994464,0.0197731
58,-0.593276,-0.5885191,"('undiscriminating', 'discriminating')",1.081437,0.8798726,0.2440805,0.1456768,0.0984037
19,-0.58863586,-0.5240772,"('inhospitable', 'hospitable')",0.2628228,0.38862294,-0.1629065,-0.0677271,-0.0951794
34,-0.58037627,-0.56943315,"('mean', 'honorable')",2.9623222,3.0806625,1.190973,1.2556146,-0.0646416
66,-0.56502193,-0.48548508,"('inactive', 'active')",1.0718671,1.230168,0.2534226,0.3723415,-0.1189189
33,0.55001336,0.5052942,"('wrong', 'right')",0.77156377,0.7550085,0.6607885,0.6301514,0.0306371
72,-0.5476944,-0.6345382,"('unambitious', 'ambitious')",0.76219755,0.55584115,0.1072516,-0.0393485,0.1466001
62,-0.54160726,-0.5767573,"('incompetent', 'brilliant')",-0.14544226,-0.34984937,-0.3435248,-0.4633033,0.1197785
26,0.53995204,0.508727,"('hardhearted', 'benevolent')",2.94475,3.1085737,1.7423511,1.8086504,-0.0662993
30,-0.51817757,-0.49184522,"('intolerant', 'tolerant')",-0.03507907,-0.17409758,-0.2766283,-0.3329714,0.0563431
6,-0.51323915,-0.5411111,"('distant', 'open')",1.0168214,0.97978276,0.2517911,0.2193358,0.0324553
4,0.4777149,0.46455124,"('disliked', 'liked')",-3.2927828,-3.4803038,-1.4075339,-1.5078763,0.1003424
38,-0.47702023,-0.5211412,"('untruthful', 'truthful')",0.20030783,-0.006192268,-0.1383562,-0.2636667,0.1253105
45,-0.47603384,-0.6782752,"('incompetent', 'competent')",1.0422945,0.6927453,0.2831303,0.0072351,0.2758952
12,0.46424544,0.2913174,"('unsupportive', 'supportive')",-0.71472496,-1.070329,-0.1252398,-0.3895058,0.264266
88,-0.42734408,-0.39512652,"('low', 'eminent')",0.35050437,0.3498918,-0.0384199,-0.0226174,-0.0158025
1,-0.41005766,-0.52381366,"('unfriendly', 'friendly')",2.7005134,2.6370156,1.1452279,1.0566009,0.088627
27,-0.4016532,-0.4628966,"('hardhearted', 'softhearted')",0.6137419,0.76310605,0.1060443,0.1501047,-0.0440604
31,0.39925662,0.38516915,"('evil', 'good')",0.81471646,0.80197567,0.6069865,0.5935724,0.0134141
11,-0.39219415,-0.47389656,"('unhelpful', 'helpful')",0.43667686,0.30328858,0.0222414,-0.085304,0.1075454
9,-0.3906593,-0.4507666,"('unaffectionate', 'caring')",1.6057664,1.5015335,0.6075535,0.5253835,0.08217
22,-0.36996648,-0.49486983,"('untrustworthy', 'trustworthy')",-0.25029936,-0.52200836,-0.3101329,-0.5084391,0.1983062
57,-0.367136,-0.58355784,"('unimaginative', 'imaginative')",-0.6126802,-0.966535,-0.4899081,-0.7750464,0.2851383
83,-0.36121297,-0.23079458,"('powerless', 'powerful')",-0.9694946,-1.0804229,-0.6653538,-0.6556087,-0.0097451
35,0.3410217,0.46817565,"('corrupt', 'incorrupt')",0.35845938,0.6926436,0.3497405,0.5804096,-0.2306691
61,-0.30015987,-0.3123086,"('illogical', 'logical')",0.57539165,0.55586475,0.1376159,0.1217781,0.0158378
40,0.29963702,0.29688582,"('stingy', 'generous')",-1.1271542,-1.3376058,-0.4137586,-0.52036,0.1066014
59,0.29635963,0.27789783,"('foolish', 'wise')",0.66885793,0.6111237,0.4826088,0.4445108,0.038098
41,-0.28938663,-0.32526502,"('unforgiving', 'forgiving')",0.5642647,0.3986561,0.137439,0.0366955,0.1007435
47,-0.28565046,-0.3430783,"('stupid', 'smart')",3.9586823,4.0487814,1.8365159,1.8528515,-0.0163356
13,-0.28327158,-0.4111746,"('impolite', 'polite')",-1.1738932,-1.2869382,-0.7285824,-0.8490564,0.120474
32,0.28065568,0.109623134,"('unkind', 'kind')",0.2572738,0.13290152,0.2689647,0.1212623,0.1477024
42,0.25921917,0.16894168,"('unreliable', 'reliable')",-2.082535,-2.2822824,-0.9116579,-1.0566703,0.1450124
20,-0.2582875,-0.1538953,"('rough', 'thoughtful')",1.01757,1.1092627,0.3796413,0.4776837,-0.0980424
0,-0.24665067,-0.29864013,"('unsociable', 'sociable')",-1.019914,-1.0575979,-0.6332824,-0.678119,0.0448366
14,-0.23216516,-0.28252777,"('antisocial', 'social')",0.071504295,0.06385742,-0.0803304,-0.1093352,0.0290048
85,0.2218627,0.35015595,"('insignificant', 'prestigious')",1.297222,1.3583311,0.7595423,0.8542435,-0.0947012
65,-0.20125256,-0.30310825,"('insecure', 'secure')",-0.3817068,-0.55830693,-0.2914797,-0.4307076,0.1392279
49,-0.19737326,-0.19709384,"('unable', 'able')",-0.49757254,-0.5072186,-0.3474729,-0.3521562,0.0046833
60,0.17466675,0.03287711,"('inefficient', 'efficient')",-1.0705248,-1.289503,-0.447929,-0.6283129,0.1803839
36,0.16412352,0.23825584,"('hostile', 'amicable')",1.8457776,1.9695642,1.0049505,1.10391,-0.0989595
44,0.13030723,0.23264147,"('prejudiced', 'unprejudiced')",-1.598763,-1.3521247,-0.7342279,-0.5597416,-0.1744863
80,-0.12369619,-0.08533739,"('dominated', 'dominating')",-0.018536694,0.11241563,-0.0711164,0.0135391,-0.0846555
18,-0.10354671,-0.07506077,"('disagreeable', 'welcoming')",-0.7313214,-0.6571638,-0.417434,-0.3661123,-0.0513217
64,0.09811279,0.026884638,"('shy', 'confident')",-4.5176334,-4.8391056,-2.2097604,-2.4061105,0.1963501
74,0.09740064,0.054309182,"('undedicated', 'dedicated')",1.0892984,0.80996287,0.5933495,0.432136,0.1612135
16,0.08941965,0.10915944,"('unpopular', 'popular')",0.047654778,0.035088465,0.0685372,0.072124,-0.0035868
75,0.08466871,0.10120045,"('meek', 'impulsive')",-0.28287187,-0.4940998,-0.0991016,-0.1964497,0.0973481
77,-0.08362636,-0.1456734,"('unmotivated', 'motivated')",-1.037251,-1.2668567,-0.5604387,-0.706265,0.1458263
17,-0.06996869,-0.059802808,"('nasty', 'nice')",-0.74081063,-0.69770527,-0.4053897,-0.378754,-0.0266357
48,0.059624907,0.051114462,"('unintelligent', 'intelligent')",-0.29419965,-0.41189358,-0.1172874,-0.1803896,0.0631022
5,-0.054816432,-0.08853276,"('distant', 'outgoing')",1.125849,1.0965122,0.5355163,0.5039897,0.0315266
2,0.04018599,0.100569226,"('unlikable', 'likable')",0.24994656,0.37451673,0.1450663,0.237543,-0.0924767
29,0.03677711,-0.012913145,"('unfair', 'fair')",-0.078395896,-0.14023915,-0.0208094,-0.0765761,0.0557667
67,-0.013567362,0.023063362,"('doubtful', 'determined')",-1.0337398,-1.0836643,-0.5236536,-0.5303005,0.0066469
52,-0.013230533,0.03802425,"('irrational', 'rational')",0.47121593,0.3765693,0.2289927,0.2072968,0.0216959
79,0.012398247,0.005482508,"('wavering', 'unwavering')",0.45746106,0.4066381,0.2349297,0.2060603,0.0288694
25,0.011667941,0.05161906,"('egoistic', 'altruistic')",1.8603245,1.9994493,0.9359962,1.0255342,-0.089538
56,0.005140621,-0.13408093,"('impractical', 'practical')",-0.19747409,-0.421484,-0.0961667,-0.2777825,0.1816158
