,tiffany_male,tiffany_female,tuple,&_male,&_female,co_male,co_female,average_male,average_female,male-female
18,-1.0231303,-0.7409984,"('disagreeable', 'welcoming')",0.6510503,0.869568,-1.6291264,-1.4913659,-0.6670688,-0.4542654,-0.2128034
53,0.9987819,1.1822921,"('uncreative', 'creative')",0.657318,0.7435349,0.955841,0.8693936,0.870647,0.9317402,-0.0610932
47,-0.97587484,-0.88100827,"('stupid', 'smart')",-0.024614573,0.10661125,3.645937,3.5271096,0.8818158,0.9175709,-0.0357551
30,-0.9626434,-0.6883478,"('intolerant', 'tolerant')",-0.8238,-0.72089916,-0.89763063,-0.6991394,-0.8946914,-0.7027954,-0.191896
19,0.8506052,0.76717764,"('inhospitable', 'hospitable')",-0.43217948,-0.4844095,0.3363972,0.21690553,0.2516076,0.1665579,0.0850497
14,-0.8185898,-0.47672015,"('antisocial', 'social')",0.37683856,0.61094767,-1.0442259,-0.9104872,-0.4953257,-0.2587532,-0.2365725
84,0.8179202,0.94950366,"('inferior', 'superior')",0.058690332,0.05319643,0.3072763,0.27618408,0.3946289,0.4262947,-0.0316658
72,0.81134486,0.9303912,"('unambitious', 'ambitious')",-0.02001679,-0.062720336,-1.0429139,-1.0051345,-0.0838619,-0.0458212,-0.0380407
27,0.810139,0.76355827,"('hardhearted', 'softhearted')",0.17225485,-0.012256272,0.76162714,0.6631525,0.5813403,0.4714848,0.1098555
62,-0.78924733,-0.62624353,"('incompetent', 'brilliant')",-0.59382516,-0.4737631,-0.4860294,-0.34659344,-0.623034,-0.4822,-0.140834
74,0.7538943,1.0020859,"('undedicated', 'dedicated')",0.337442,0.5537073,-0.26333436,-0.21308184,0.2760007,0.4475705,-0.1715698
12,0.73629665,0.84005046,"('unsupportive', 'supportive')",0.84622794,1.006444,-1.4356236,-1.2673391,0.048967,0.1930518,-0.1440848
29,-0.69502306,-0.67146635,"('unfair', 'fair')",-0.41815877,-0.42330855,-1.014284,-1.1487328,-0.7091552,-0.747836,0.0386808
17,0.66966224,0.6579714,"('nasty', 'nice')",0.4321298,0.5333096,-0.34960857,-0.14814334,0.2507279,0.3477126,-0.0969847
67,-0.6653553,-0.5944363,"('doubtful', 'determined')",-0.2578235,-0.026915427,-0.7595988,-0.549129,-0.5609259,-0.3901602,-0.1707657
73,0.64864194,0.78128004,"('helpless', 'self-reliant')",-0.17290339,-0.13366947,-2.9279325,-2.9650333,-0.817398,-0.7724743,-0.0449237
83,0.6448113,0.76789534,"('powerless', 'powerful')",0.15286857,0.28629452,-0.7373775,-0.6420165,0.0201008,0.1373911,-0.1172903
66,0.64473003,0.6813985,"('inactive', 'active')",1.0576934,1.1500652,1.7332793,1.6819685,1.1452343,1.171144,-0.0259097
50,0.6435455,0.8667661,"('clumsy', 'skillful')",1.6067224,1.5964233,1.1442038,1.0423601,1.1314905,1.1685165,-0.037026
86,-0.55539864,-0.55917156,"('uninfluential', 'influential')",-0.3428171,-0.27149108,-0.58700794,-0.6324136,-0.4950746,-0.4876921,-0.0073825
23,-0.5527963,-0.50067663,"('insincere', 'sincere')",-0.74834067,-0.8257,4.5435925,4.3592916,1.0808185,1.0109716,0.0698469
75,-0.53400016,-0.5341312,"('meek', 'impulsive')",0.19439533,0.15257075,0.60989845,0.60657096,0.0900979,0.0750035,0.0150944
40,-0.5312287,-0.4641471,"('stingy', 'generous')",-0.050412223,-0.023156382,-2.0587194,-2.1399083,-0.8801201,-0.8757373,-0.0043828
34,0.52162486,0.5150218,"('mean', 'honorable')",-0.13331982,-0.09571075,5.0086446,4.9958057,1.7989833,1.8050389,-0.0060556
2,-0.49420872,-0.20676441,"('unlikable', 'likable')",1.1890014,1.2628752,0.4324993,0.4795027,0.375764,0.5118711,-0.1361071
82,-0.49032056,-0.21935879,"('poor', 'rich')",-0.3176169,-0.059114873,4.586914,4.419262,1.2596588,1.3802627,-0.1206039
48,-0.48244852,-0.41026676,"('unintelligent', 'intelligent')",0.0524194,-0.0148808025,-0.9025625,-0.98148066,-0.4441972,-0.4688761,0.0246789
