,snap_male,snap_female,tuple,on_male,on_female,inc_male,inc_female,average_male,average_female,male-female
56,3.0050282,2.5952623,"('impractical', 'practical')",1.3348365,1.137057,0.6332265,0.19269827,1.657697,1.3083392,0.3493578
36,-2.2208078,-1.3564065,"('hostile', 'amicable')",-1.8447889,-1.2709972,-0.49004033,-0.11280959,-1.5185456,-0.9134045,-0.6051411
60,2.192356,1.8283969,"('inefficient', 'efficient')",1.1051537,1.0591844,1.0824116,0.65575355,1.4599738,1.1811117,0.2788621
85,-2.162247,-1.3600693,"('insignificant', 'prestigious')",-1.5230427,-1.27226,-0.24752232,0.21178798,-1.3109373,-0.8068471,-0.5040902
81,2.1309872,1.4700177,"('submissive', 'aggressive')",0.92242277,0.78296584,-0.2110782,-0.529904,0.947444,0.5743599,0.3730841
35,-1.7925402,-1.2846569,"('corrupt', 'incorrupt')",-0.26383978,-0.08689716,-0.8010237,-0.44861317,-0.9524679,-0.6067224,-0.3457455
43,1.7507944,1.5908722,"('irresponsible', 'responsible')",-0.09772684,-0.020865897,1.4905117,1.074675,1.0478597,0.8815604,0.1662993
17,-1.7336161,-1.5275578,"('nasty', 'nice')",-0.8880556,-0.80477375,-0.7761134,-0.6083986,-1.1325951,-0.9802434,-0.1523517
23,1.7251633,1.2465097,"('insincere', 'sincere')",-0.32664657,-0.33667755,7.090513,6.5978193,2.8296766,2.5025504,0.3271262
79,-1.7167423,-1.4026586,"('wavering', 'unwavering')",-0.8476588,-0.7272549,0.04412634,0.08981741,-0.8400916,-0.680032,-0.1600596
31,-1.6641288,-0.8761579,"('evil', 'good')",-0.36308792,-0.08422386,-1.4519699,-0.99852425,-1.1597288,-0.6529686,-0.5067602
8,-1.6358098,-1.3069427,"('unaffectionate', 'affectionate')",-1.1574626,-1.0937485,0.11829487,0.3151786,-0.8916592,-0.6951708,-0.1964884
21,1.6329495,0.99393564,"('immoral', 'moral')",0.59022784,0.3890482,-0.44612357,-0.79013324,0.5923513,0.1976169,0.3947344
52,-1.6093317,-1.2471282,"('irrational', 'rational')",-0.51179653,-0.38643008,-0.8639278,-0.37149283,-0.9950187,-0.6683504,-0.3266683
