,avon_male,avon_female,tuple,products_male,products_female,inc_male,inc_female,average_male,average_female,male-female
56,2.164319,2.2920077,"('impractical', 'practical')",1.6632586,1.6866287,-0.0655241,-0.29441905,1.2540178,1.2280724,0.0259454
36,-2.0022695,-2.437603,"('hostile', 'amicable')",-1.816179,-1.7230877,-0.04516794,0.105116434,-1.2878722,-1.3518581,0.0639859
31,-1.9402056,-2.3132362,"('evil', 'good')",-1.0827354,-1.0296075,-0.802045,-0.5727086,-1.2749953,-1.3051841,0.0301888
44,-1.7917112,-1.8244469,"('prejudiced', 'unprejudiced')",-1.1339127,-1.143347,-1.8987297,-1.886477,-1.6081179,-1.6180903,0.0099724
74,1.7043406,1.6678945,"('undedicated', 'dedicated')",0.9480406,1.0387795,0.55692697,0.4963444,1.0697694,1.0676728,0.0020966
60,1.650452,2.0194867,"('inefficient', 'efficient')",1.7642372,1.824238,0.10036107,-0.17302132,1.1716834,1.2235678,-0.0518844
71,1.6142037,1.5347799,"('diffident', 'self-confident')",0.36848208,0.40177298,0.23716839,0.3614288,0.7399514,0.7659939,-0.0260425
35,-1.5359862,-1.9558891,"('corrupt', 'incorrupt')",-1.0919248,-1.0445509,-0.5236544,-0.3228427,-1.0505219,-1.1077609,0.057239
86,1.528051,1.5218052,"('uninfluential', 'influential')",0.20918399,0.048989862,0.30781746,0.15253769,0.6816842,0.5744443,0.1072399
52,-1.5209194,-1.6985344,"('irrational', 'rational')",-0.7079895,-0.6650368,-0.18240052,-0.013125803,-0.8037698,-0.7922324,-0.0115374
16,-1.4910755,-1.5406392,"('unpopular', 'popular')",-0.24924237,-0.20455275,0.43211848,0.51492476,-0.4360665,-0.4100891,-0.0259774
29,-1.4841025,-1.5276318,"('unfair', 'fair')",-0.8825315,-0.82725734,-0.3889908,-0.34286743,-0.9185416,-0.8992522,-0.0192894
81,1.4760929,1.6664126,"('submissive', 'aggressive')",1.132341,0.90651846,-0.39223084,-0.67570233,0.7387344,0.6324096,0.1063248
46,1.46069,1.8154562,"('uncompetitive', 'competitive')",1.2970308,1.2608137,0.026706126,-0.16830835,0.9281424,0.9693205,-0.0411781
12,1.4302269,1.3669994,"('unsupportive', 'supportive')",0.73660034,0.68158674,-1.1656679,-1.1766249,0.3337198,0.2906537,0.0430661
26,1.400574,1.1524131,"('hardhearted', 'benevolent')",1.0182555,1.0418518,1.3644269,1.4752611,1.2610854,1.2231754,0.03791
73,1.3461905,1.315336,"('helpless', 'self-reliant')",0.7028744,0.8006017,-2.6529613,-2.587716,-0.2012988,-0.1572595,-0.0440393
77,-1.269951,-1.1934527,"('unmotivated', 'motivated')",0.2990565,0.25252908,-1.0586821,-1.11093,-0.6765255,-0.6839512,0.0074257
13,1.2471014,1.5469874,"('impolite', 'polite')",0.20497039,0.223454,-0.25160256,-0.42772704,0.4001564,0.4475714,-0.047415
10,1.2294475,1.4961413,"('unsympathetic', 'sympathetic')",0.22731037,0.20779145,-0.07500648,-0.30947256,0.4605838,0.4648201,-0.0042363
6,-1.2287174,-1.7483586,"('distant', 'open')",-1.1149029,-1.1783885,0.1900137,0.24846634,-0.7178689,-0.8927603,0.1748914
69,-1.2090766,-1.4934976,"('lazy', 'industrious')",0.720809,0.8073615,-0.6731396,-0.44016862,-0.3871357,-0.3754349,-0.0117008
85,-1.1849816,-1.7806091,"('insignificant', 'prestigious')",-0.6981544,-0.64951974,0.39838994,0.62346023,-0.4949154,-0.6022228,0.1073074
50,-1.1004453,-1.1484606,"('clumsy', 'skillful')",0.23853792,0.2655094,0.36499688,0.31872693,-0.1656368,-0.1880748,0.022438
30,1.096777,1.3953162,"('intolerant', 'tolerant')",0.7014111,0.7092733,0.9255015,0.86764336,0.9078965,0.9907443,-0.0828478
11,1.0843956,1.0034018,"('unhelpful', 'helpful')",0.87226176,0.73424834,2.2857301,1.9977227,1.4141293,1.2451243,0.169005
42,-1.0732445,-1.0365212,"('unreliable', 'reliable')",-0.72012836,-0.5994333,-2.9952986,-2.9513593,-1.5962238,-1.5291046,-0.0671192
24,1.0631682,1.2770356,"('dishonest', 'honest')",-0.95984906,-0.9027799,0.91143787,0.83121306,0.3382523,0.4018229,-0.0635706
62,1.0365003,1.11078,"('incompetent', 'brilliant')",0.8491778,0.74606705,0.2532472,0.0443548,0.7129751,0.6337339,0.0792412
70,1.0314138,1.3227456,"('lethargic', 'energetic')",0.17128268,0.15258569,0.74205464,0.63625216,0.6482503,0.7038612,-0.0556109
21,1.0189599,1.2310165,"('immoral', 'moral')",0.79507923,0.75250655,-0.44210574,-0.6151852,0.4573111,0.4561126,0.0011985
23,1.0142236,1.2343037,"('insincere', 'sincere')",0.7346142,0.83256596,5.532228,5.4078093,2.427022,2.4915597,-0.0645377
47,0.99821204,1.0103928,"('stupid', 'smart')",0.7205876,0.80065054,5.0891848,5.10496,2.2693281,2.3053344,-0.0360063
79,-0.9825378,-1.3962171,"('wavering', 'unwavering')",-1.1147786,-1.1268631,0.054260515,0.032852415,-0.6810187,-0.830076,0.1490573
84,0.9764306,0.94911945,"('inferior', 'superior')",0.47060284,0.5023288,0.82870007,0.94493824,0.7585778,0.7987955,-0.0402177
4,-0.9716701,-1.2262095,"('disliked', 'liked')",-0.35609347,-0.31497914,-5.535471,-5.4763513,-2.2877448,-2.33918,0.0514352
15,0.96691763,0.8428177,"('boring', 'funny')",-0.22587429,-0.32217923,0.3543032,0.3548826,0.3651155,0.2918404,0.0732751
75,-0.9594358,-1.3709859,"('meek', 'impulsive')",-1.3503296,-1.4790702,-0.24966556,-0.32746077,-0.8531436,-1.0591723,0.2060287
37,0.9054267,1.0765904,"('fake', 'genuine')",0.5426181,0.5252107,0.67766756,0.67325366,0.7085708,0.7583516,-0.0497808
40,-0.86698484,-0.7217872,"('stingy', 'generous')",-0.118154794,0.0144585185,-1.0850605,-0.9524293,-0.6900667,-0.5532527,-0.136814
9,0.80267936,0.58263254,"('unaffectionate', 'caring')",-0.033424955,-0.10080974,1.2496504,1.3597623,0.6729682,0.6138617,0.0591065
18,-0.7888931,-0.7045629,"('disagreeable', 'welcoming')",-0.98770833,-0.9356056,-0.5144173,-0.31612104,-0.7636729,-0.6520965,-0.1115764
55,0.7872184,1.0351428,"('incompetent', 'clever')",0.7136533,0.6029113,0.33628306,0.14437687,0.6123849,0.5941437,0.0182412
5,-0.7703546,-1.2783953,"('distant', 'outgoing')",-0.8853285,-0.95190614,-0.20085439,-0.16865027,-0.6188458,-0.7996505,0.1808047
72,0.75163513,0.6734961,"('unambitious', 'ambitious')",-0.89804125,-0.91149783,-0.9062488,-0.9611954,-0.350885,-0.3997324,0.0488474
1,0.7245183,0.3264169,"('unfriendly', 'friendly')",-0.022633456,-0.030038666,2.0562544,2.056031,0.9193797,0.7841365,0.1352432
53,-0.6741656,-0.77366894,"('uncreative', 'creative')",-0.8150337,-0.7686745,0.77802944,0.8078008,-0.2370566,-0.2448475,0.0077909
25,-0.65147346,-0.9678264,"('egoistic', 'altruistic')",0.8594079,0.9158119,1.5841961,1.739558,0.5973768,0.5625145,0.0348623
87,0.6389743,0.5057197,"('unsuccessful', 'successful')",1.3145655,1.2771765,1.0659375,0.977346,1.0064925,0.9200807,0.0864118
27,0.6091965,0.56959534,"('hardhearted', 'softhearted')",-0.061127774,-0.0758505,1.563551,1.6929328,0.7038732,0.7288926,-0.0250194
19,-0.5909644,-0.89483523,"('inhospitable', 'hospitable')",-0.7786689,-0.8200009,0.3586453,0.38301677,-0.336996,-0.4439398,0.1069438
48,0.5719885,0.72657424,"('unintelligent', 'intelligent')",0.435995,0.33722892,0.54533505,0.40368035,0.5177729,0.4891612,0.0286117
66,-0.56196177,-1.0003755,"('inactive', 'active')",-1.0507187,-1.2076595,0.98004025,0.88660884,-0.2108801,-0.4404754,0.2295953
39,0.55568624,0.74763536,"('exploitative', 'cooperative')",-0.079523645,-0.11988249,-0.14058238,-0.08384119,0.1118601,0.1813039,-0.0694438
45,0.54628724,0.69109297,"('incompetent', 'competent')",0.670003,0.7914592,0.08090633,0.008407325,0.4323989,0.4969865,-0.0645876
3,-0.50157607,-0.1871641,"('repellent', 'pleasant')",0.6181686,0.7427834,0.14473836,0.13815822,0.0871103,0.2312592,-0.1441489
57,0.48252836,0.40400177,"('unimaginative', 'imaginative')",-0.65211606,-0.65348256,-2.139308,-2.3073287,-0.7696319,-0.8522698,0.0826379
0,0.44785792,0.60207295,"('unsociable', 'sociable')",0.2287349,0.16480176,-0.3443495,-0.48463517,0.1107478,0.0940799,0.0166679
67,0.44383126,0.33746228,"('doubtful', 'determined')",0.04416049,0.020442639,-0.64517874,-0.7194638,-0.0523957,-0.1205196,0.0681239
65,0.4387728,0.79198915,"('insecure', 'secure')",0.13167924,0.19814536,-0.39066976,-0.4417487,0.0599274,0.1827952,-0.1228678
20,-0.4161778,-0.42036968,"('rough', 'thoughtful')",0.620927,0.7223627,0.6348397,0.79575366,0.279863,0.3659155,-0.0860525
63,0.39774808,0.32334808,"('unperceptive', 'insightful')",0.6446095,0.57740843,1.3534418,1.1546679,0.7985998,0.6851414,0.1134584
61,0.38460255,0.32862702,"('illogical', 'logical')",0.044995345,-0.032055844,0.24733973,0.17821431,0.2256459,0.1582618,0.0673841
33,0.36943406,0.03640233,"('wrong', 'right')",0.06877114,0.05205906,-0.6057575,-0.4922663,-0.0558508,-0.1346016,0.0787508
43,0.35257027,0.5519461,"('irresponsible', 'responsible')",-0.28129232,-0.28030127,0.4316724,0.293818,0.1676501,0.1884876,-0.0208375
41,-0.34948117,-0.42451432,"('unforgiving', 'forgiving')",-0.5481852,-0.50420916,0.04777148,0.073829986,-0.2832983,-0.2849645,0.0016662
68,-0.33527848,-0.22609097,"('dependent', 'independent')",-0.36246568,-0.3905893,-0.19415584,-0.1899724,-0.2973,-0.2688842,-0.0284158
7,0.33426723,0.79186976,"('insensitive', 'sensitive')",-0.2507971,-0.14303662,0.94816643,1.0760597,0.3438789,0.5749643,-0.2310854
17,-0.31277883,-0.4388432,"('nasty', 'nice')",0.032158487,0.12064092,-0.6762827,-0.58243287,-0.3189677,-0.3002117,-0.018756
49,0.309959,0.27936307,"('unable', 'able')",0.34353307,0.18189453,-0.04054094,0.008991323,0.2043171,0.1567496,0.0475675
88,0.30667812,0.16497907,"('low', 'eminent')",0.31058988,0.23153669,0.2532728,0.07432084,0.2901802,0.1569455,0.1332347
59,-0.3026928,-0.60992086,"('foolish', 'wise')",-0.8115054,-0.7757983,0.047208242,0.1716572,-0.3556633,-0.4046873,0.049024
22,0.29359603,0.37671053,"('untrustworthy', 'trustworthy')",-0.26528654,-0.27842405,-0.85470814,-0.8286539,-0.2754662,-0.2434558,-0.0320104
54,-0.29217374,-0.59124386,"('incapable', 'capable')",0.009946935,-0.076452054,1.1717234,1.2336352,0.2964989,0.1886464,0.1078525
78,0.28770074,0.35447186,"('nonresilient', 'resilient')",1.4497463,1.5093066,0.6392035,0.6457321,0.7922169,0.8365035,-0.0442866
32,0.28475273,0.2755853,"('unkind', 'kind')",0.13660023,0.108583964,1.2080544,1.0793997,0.5431358,0.4878563,0.0552795
83,0.28267536,-0.025205154,"('powerless', 'powerful')",-0.4688865,-0.5695034,-0.98824406,-1.0787156,-0.3914851,-0.557808,0.1663229
8,-0.25737655,-0.510522,"('unaffectionate', 'affectionate')",-0.75823796,-0.874879,0.750693,0.94281125,-0.0883072,-0.1475299,0.0592227
38,-0.25190172,-0.5130788,"('untruthful', 'truthful')",-0.3862836,-0.41837513,0.25837243,0.015218874,-0.1266043,-0.3054117,0.1788074
34,0.21477968,0.36978886,"('mean', 'honorable')",0.4137472,0.5112507,5.90842,5.9739156,2.1789823,2.2849851,-0.1060028
14,0.21020372,0.5707294,"('antisocial', 'social')",0.5370358,0.5760686,-0.78694266,-0.8176301,-0.0132344,0.1097226,-0.122957
82,-0.1999369,-0.039586082,"('poor', 'rich')",0.3603304,0.41173288,6.2551703,6.1587963,2.1385214,2.176981,-0.0384596
80,0.1989848,0.51013535,"('dominated', 'dominating')",0.9511648,0.9404956,-0.9678459,-0.976502,0.0607679,0.158043,-0.0972751
2,-0.16315882,-0.30136725,"('unlikable', 'likable')",-0.21597418,-0.26370066,0.5785661,0.46776825,0.0664777,-0.0324332,0.0989109
76,-0.13046947,0.115834914,"('anxious', 'daring')",0.15289553,0.22852902,0.052339375,-0.17979617,0.0249218,0.0548559,-0.0299341
28,-0.07618489,0.024747746,"('disloyal', 'loyal')",0.54824495,0.6291713,1.2946246,1.3485544,0.5888949,0.6674911,-0.0785962
58,-0.06034252,-0.24876769,"('undiscriminating', 'discriminating')",0.5194577,0.5719104,0.32951072,0.24201511,0.2628753,0.1883859,0.0744894
51,-0.025700744,-0.1568283,"('uneducated', 'educated')",0.3576771,0.17734925,0.6613856,0.37642363,0.3311206,0.1323149,0.1988057
64,-0.00089184195,0.0756347,"('shy', 'confident')",-0.083198935,-0.12842475,-6.2197485,-6.275741,-2.1012797,-2.1095104,0.0082307
