,dominion_male,dominion_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
26,2.0422127,1.7001145,"('hardhearted', 'benevolent')",0.7586489,0.77066666,1.6867034,1.5396819,1.495855,1.3368209,0.1590341
60,-1.9915785,-1.3896322,"('inefficient', 'efficient')",1.2030349,1.7162746,-0.61396646,-0.2259,-0.4675033,0.0335808,-0.5010841
81,-1.8766404,-1.3403836,"('submissive', 'aggressive')",1.0371397,1.4720333,-1.0882318,-0.6239651,-0.6425775,-0.1641052,-0.4784723
55,-1.7368801,-1.3573327,"('incompetent', 'clever')",-0.506714,-0.20822532,-0.46737754,-0.2057032,-0.9036573,-0.5904204,-0.3132369
68,-1.6975458,-1.6082966,"('dependent', 'independent')",-0.53029555,-0.4510566,-0.69182706,-0.65471375,-0.9732228,-0.904689,-0.0685338
0,-1.611705,-1.4511496,"('unsociable', 'sociable')",-0.63192767,-0.52639353,-0.9992091,-0.9199643,-1.0809472,-0.9658358,-0.1151114
16,-1.5272948,-2.030946,"('unpopular', 'popular')",-0.29380187,-0.66085565,-0.02097816,-0.37084854,-0.614025,-1.0208834,0.4068584
85,1.475044,0.9127902,"('insignificant', 'prestigious')",0.461506,-0.016079985,0.567861,0.18528253,0.8348037,0.3606642,0.4741395
46,-1.4744257,-0.9607394,"('uncompetitive', 'competitive')",-0.019198418,0.31381556,-0.7261338,-0.73340386,-0.7399193,-0.4601092,-0.2798101
39,1.3733102,1.4896338,"('exploitative', 'cooperative')",-0.34802598,-0.10363131,0.13567317,0.19646981,0.3869858,0.5274908,-0.140505
59,1.3056636,1.176156,"('foolish', 'wise')",0.62528074,0.6066345,0.23195757,0.3007643,0.7209673,0.6945182,0.0264491
9,1.1931568,0.90055305,"('unaffectionate', 'caring')",0.26285845,0.15858467,0.989864,0.97478724,0.8152932,0.677975,0.1373182
33,1.1637359,0.7210735,"('wrong', 'right')",1.2181861,0.9558332,-0.5498425,-0.74077356,0.6106932,0.3120444,0.2986488
21,-1.1485912,-0.79661125,"('immoral', 'moral')",0.9608968,1.1826531,-0.92892903,-0.7167418,-0.3722078,-0.1102333,-0.2619745
44,-1.1432965,-1.0744342,"('prejudiced', 'unprejudiced')",-0.24392305,-0.24478868,-0.9838732,-1.0515821,-0.7903643,-0.7902683,-9.6e-05
71,1.0694501,0.6894636,"('diffident', 'self-confident')",1.1894517,1.1003157,0.38681647,0.25503382,0.8819061,0.6816044,0.2003017
84,1.0522678,1.2522312,"('inferior', 'superior')",-0.018019415,0.07737103,0.78944576,0.79423565,0.607898,0.707946,-0.100048
11,-1.0237762,-0.6185326,"('unhelpful', 'helpful')",-0.19220473,0.2102267,1.4671184,1.7107892,0.0837125,0.4341611,-0.3504486
73,1.0039184,1.0251021,"('helpless', 'self-reliant')",1.4473457,1.4223489,-2.8253381,-2.790283,-0.1246913,-0.1142773,-0.010414
10,-0.9865831,-0.5494099,"('unsympathetic', 'sympathetic')",-0.81996846,-0.46912274,-0.6948519,-0.4184279,-0.8338011,-0.4789869,-0.3548142
47,-0.95461017,-0.50990987,"('stupid', 'smart')",0.04895045,0.41022253,4.7358885,5.103352,1.2767429,1.6678883,-0.3911454
49,-0.9376877,-0.6976112,"('unable', 'able')",-0.26912832,-0.16538517,-0.4465481,-0.3785571,-0.5511214,-0.4138512,-0.1372702
13,-0.9195913,-0.72288775,"('impolite', 'polite')",-0.013320729,0.1304642,-0.43467945,-0.4983186,-0.4558638,-0.3635807,-0.0922831
79,0.90867555,0.39914212,"('wavering', 'unwavering')",-0.47204107,-0.85685545,0.20699568,0.0678726,0.2145434,-0.1299469,0.3444903
62,-0.90632826,-0.5132956,"('incompetent', 'brilliant')",0.51972246,0.8255651,-0.1619081,0.12591498,-0.182838,0.1460615,-0.3288995
72,0.89944494,1.0859512,"('unambitious', 'ambitious')",0.60996073,0.7983489,-0.81704247,-0.6236834,0.2307877,0.4202056,-0.1894179
77,-0.8956993,-0.78589004,"('unmotivated', 'motivated')",0.4632885,0.47051245,-1.1589588,-1.2576053,-0.5304565,-0.5243276,-0.0061289
