,convergys_male,convergys_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.689616,-2.8024595,"('unfriendly', 'friendly')",1.4442546,1.5120593,-0.6226807,-0.6452001,0.0225194
9,-2.2062018,-2.2723703,"('unaffectionate', 'caring')",1.4058949,1.5837622,-0.4001535,-0.3443041,-0.0558494
8,-2.1906185,-2.035983,"('unaffectionate', 'affectionate')",0.8837912,1.0998045,-0.6534137,-0.4680893,-0.1853244
86,-2.0504067,-2.3908703,"('uninfluential', 'influential')",-0.286429,-0.5618478,-1.1684178,-1.4763591,0.3079413
53,-1.8767263,-2.0350823,"('uncreative', 'creative')",0.68070686,0.520508,-0.5980097,-0.7572871,0.1592774
36,-1.7870597,-1.4009776,"('hostile', 'amicable')",-0.13175981,0.00092222914,-0.9594097,-0.7000277,-0.259382
31,-1.6838775,-1.5270019,"('evil', 'good')",-0.8011891,-0.7892103,-1.2425333,-1.1581061,-0.0844272
44,1.6344631,1.4633658,"('prejudiced', 'unprejudiced')",-1.188199,-1.2743368,0.223132,0.0945145,0.1286175
6,-1.4816458,-1.4988894,"('distant', 'open')",-0.109190546,-0.01023066,-0.7954182,-0.7545601,-0.0408581
54,-1.3894668,-0.94275665,"('incapable', 'capable')",0.9741538,1.3805726,-0.2076565,0.218908,-0.4265645
80,1.3864069,0.9783175,"('dominated', 'dominating')",-1.1028998,-1.2640831,0.1417536,-0.1428828,0.2846364
28,-1.3618509,-1.4017386,"('disloyal', 'loyal')",1.079293,1.1593963,-0.1412789,-0.1211712,-0.0201077
42,1.3338307,1.1536615,"('unreliable', 'reliable')",-3.1072948,-3.2715921,-0.886732,-1.0589653,0.1722333
81,1.3081089,1.0782117,"('submissive', 'aggressive')",-0.7452591,-0.6445882,0.2814249,0.2168117,0.0646132
85,-1.2974598,-0.9991996,"('insignificant', 'prestigious')",-0.34844282,-0.1805792,-0.8229513,-0.5898894,-0.2330619
19,-1.2359076,-1.182746,"('inhospitable', 'hospitable')",-0.66374886,-0.40284142,-0.9498282,-0.7927938,-0.1570344
60,1.1910343,0.8436509,"('inefficient', 'efficient')",0.21191144,0.09226899,0.7014729,0.4679599,0.233513
76,1.1866028,0.91617763,"('anxious', 'daring')",-0.11143196,-0.17349367,0.5375854,0.371342,0.1662434
79,-1.1218139,-1.2041348,"('wavering', 'unwavering')",-0.44760317,-0.31973168,-0.7847085,-0.7619333,-0.0227752
52,-1.0262156,-0.79943043,"('irrational', 'rational')",-0.10103514,0.035665154,-0.5636253,-0.3818826,-0.1817427
67,1.0091332,0.8414849,"('doubtful', 'determined')",-0.60957605,-0.67990893,0.1997786,0.080788,0.1189906
84,0.9705903,0.9662162,"('inferior', 'superior')",0.8508476,0.94268626,0.9107189,0.9544512,-0.0437323
39,0.9394023,0.84227574,"('exploitative', 'cooperative')",0.23084949,0.1432479,0.5851259,0.4927618,0.0923641
10,-0.9152324,-1.4827051,"('unsympathetic', 'sympathetic')",0.10699043,-0.27360106,-0.404121,-0.8781531,0.4740321
26,-0.8891995,-0.8532527,"('hardhearted', 'benevolent')",1.5808462,1.5181916,0.3458233,0.3324694,0.0133539
18,-0.874348,-0.48977816,"('disagreeable', 'welcoming')",-0.52104306,-0.45530093,-0.6976955,-0.4725395,-0.225156
25,-0.86899394,-0.7878033,"('egoistic', 'altruistic')",0.9801696,0.9548458,0.0555878,0.0835212,-0.0279334
5,-0.8167243,-0.9265336,"('distant', 'outgoing')",-0.42084366,-0.28509808,-0.618784,-0.6058158,-0.0129682
0,-0.80492,-1.4186811,"('unsociable', 'sociable')",-0.13072106,-0.61117005,-0.4678205,-1.0149256,0.5471051
69,0.79426706,0.7770894,"('lazy', 'industrious')",-0.88088673,-0.8351086,-0.0433098,-0.0290096,-0.0143002
14,0.78798884,0.39860386,"('antisocial', 'social')",-0.29937223,-0.74260855,0.2443083,-0.1720023,0.4163106
24,-0.7832924,-1.0882366,"('dishonest', 'honest')",0.8326248,0.8955124,0.0246662,-0.0963621,0.1210283
78,-0.77388746,-0.60546637,"('nonresilient', 'resilient')",-0.03005369,-0.0714883,-0.4019706,-0.3384773,-0.0634933
38,-0.77079153,-0.8344621,"('untruthful', 'truthful')",-0.47286522,-0.19722353,-0.6218284,-0.5158428,-0.1059856
73,0.75290537,0.75964636,"('helpless', 'self-reliant')",-3.5026565,-3.2487655,-1.3748755,-1.2445595,-0.130316
64,0.733881,0.36928415,"('shy', 'confident')",-6.918369,-7.2668185,-3.0922439,-3.4487672,0.3565233
16,-0.72256714,-0.5252841,"('unpopular', 'popular')",0.31271565,0.349119,-0.2049257,-0.0880826,-0.1168431
57,-0.71189713,-1.2305851,"('unimaginative', 'imaginative')",-3.1827314,-3.47021,-1.9473143,-2.3503976,0.4030833
56,0.7113968,0.2128236,"('impractical', 'practical')",-0.4908736,-0.6368053,0.1102616,-0.2119908,0.3222524
27,-0.6707033,-0.72538614,"('hardhearted', 'softhearted')",1.5044277,1.2988048,0.4168622,0.2867093,0.1301529
65,0.65712625,0.46809077,"('insecure', 'secure')",-0.072009146,-0.23319103,0.2925586,0.1174499,0.1751087
23,-0.62342894,-0.83700746,"('insincere', 'sincere')",6.2441955,6.26022,2.8103833,2.7116063,0.098777
12,-0.61985534,-0.6972636,"('unsupportive', 'supportive')",-2.2515664,-2.389046,-1.4357109,-1.5431547,0.1074438
62,0.61938685,0.5121294,"('incompetent', 'brilliant')",0.5693865,0.5859382,0.5943867,0.5490338,0.0453529
70,0.61466086,0.040572397,"('lethargic', 'energetic')",0.47841042,0.23281786,0.5465356,0.1366951,0.4098405
20,0.5970398,0.71294445,"('rough', 'thoughtful')",0.9089002,0.9123409,0.75297,0.8126427,-0.0596727
48,-0.590445,-0.38971937,"('unintelligent', 'intelligent')",0.793063,0.96055627,0.101309,0.2854185,-0.1841095
32,-0.5585861,-0.56568414,"('unkind', 'kind')",0.8690663,0.7467021,0.1552401,0.090509,0.0647311
88,-0.55395275,-0.36210012,"('low', 'eminent')",-0.55287373,-0.4625141,-0.5534133,-0.4123071,-0.1411062
30,0.52259636,0.29179782,"('intolerant', 'tolerant')",0.7177485,0.5657099,0.6201724,0.4287539,0.1914185
66,-0.5175276,-1.0703168,"('inactive', 'active')",0.5059805,0.3016854,-0.0057735,-0.3843157,0.3785422
4,-0.5019846,-0.41765642,"('disliked', 'liked')",-7.921485,-7.869705,-4.2117348,-4.1436806,-0.0680542
87,0.45578927,0.18038592,"('unsuccessful', 'successful')",0.7665562,0.7453723,0.6111727,0.4628791,0.1482936
71,-0.42470244,-0.47572434,"('diffident', 'self-confident')",0.62673056,0.62043715,0.1010141,0.0723564,0.0286577
58,-0.40280253,-0.43026417,"('undiscriminating', 'discriminating')",-0.055948436,-0.028993903,-0.2293755,-0.229629,0.0002535
22,0.3886036,-0.038318694,"('untrustworthy', 'trustworthy')",-0.87414485,-1.0767537,-0.2427706,-0.5575362,0.3147656
74,-0.36067244,-0.5613766,"('undedicated', 'dedicated')",-0.363596,-0.6018348,-0.3621342,-0.5816057,0.2194715
72,-0.34891966,-0.1203566,"('unambitious', 'ambitious')",0.040724322,0.26345712,-0.1540977,0.0715503,-0.225648
51,-0.31161654,-0.17353177,"('uneducated', 'educated')",-0.066453874,-0.07600951,-0.1890352,-0.1247706,-0.0642646
34,0.30558136,0.11453205,"('mean', 'honorable')",5.997468,6.1919036,3.1515248,3.1532178,-0.001693
46,-0.29824775,-0.77179915,"('uncompetitive', 'competitive')",-0.87488323,-1.0624405,-0.5865655,-0.9171199,0.3305544
50,0.29086077,0.74445486,"('clumsy', 'skillful')",0.2493608,0.4103617,0.2701108,0.5774083,-0.3072975
82,-0.28724062,-0.24290515,"('poor', 'rich')",7.2026725,7.3719325,3.457716,3.5645137,-0.1067977
11,0.2808022,-0.011204308,"('unhelpful', 'helpful')",1.7302327,1.7025244,1.0055175,0.84566,0.1598575
13,-0.24860089,-0.64623934,"('impolite', 'polite')",-0.7307256,-0.8365742,-0.4896632,-0.7414068,0.2517436
41,-0.23876087,-0.16521607,"('unforgiving', 'forgiving')",-0.16746943,-0.36410597,-0.2031152,-0.264661,0.0615458
7,-0.23091665,-0.4456963,"('insensitive', 'sensitive')",0.495171,0.27649376,0.1321272,-0.0846013,0.2167285
45,-0.22630067,-0.60543305,"('incompetent', 'competent')",0.21434022,-0.122484416,-0.0059802,-0.3639587,0.3579785
35,-0.21761973,0.108323954,"('corrupt', 'incorrupt')",-0.520943,-0.35270908,-0.3692814,-0.1221926,-0.2470888
15,-0.20969205,-0.23165436,"('boring', 'funny')",-0.13990335,-0.042043936,-0.1747977,-0.1368492,-0.0379485
21,0.20221266,0.031727754,"('immoral', 'moral')",-0.7406824,-0.781736,-0.2692349,-0.3750041,0.1057692
3,-0.19455518,-0.40050098,"('repellent', 'pleasant')",0.92754877,0.7109913,0.3664968,0.1552452,0.2112516
43,-0.19072272,-0.7005532,"('irresponsible', 'responsible')",0.62515277,0.35014784,0.217215,-0.1752027,0.3924177
