,conocophillips_male,conocophillips_female,tuple,average_male,average_female,male-female
10,-2.859471,-2.4400191,"('unsympathetic', 'sympathetic')",-2.8594711,-2.4400191,-0.419452
69,2.299553,2.2639532,"('lazy', 'industrious')",2.2995529,2.2639532,0.0355997
46,-2.2438526,-1.642786,"('uncompetitive', 'competitive')",-2.2438526,-1.642786,-0.6010666
57,-2.0315232,-1.6958526,"('unimaginative', 'imaginative')",-2.0315232,-1.6958526,-0.3356706
55,-2.0074432,-1.588538,"('incompetent', 'clever')",-2.0074432,-1.5885381,-0.4189051
45,-1.8449075,-1.6634487,"('incompetent', 'competent')",-1.8449075,-1.6634487,-0.1814588
86,-1.768209,-1.3605437,"('uninfluential', 'influential')",-1.768209,-1.3605437,-0.4076653
70,-1.629817,-1.4479007,"('lethargic', 'energetic')",-1.629817,-1.4479007,-0.1819163
64,-1.5677414,-1.2946395,"('shy', 'confident')",-1.5677414,-1.2946395,-0.2731019
35,1.5338724,1.3014398,"('corrupt', 'incorrupt')",1.5338724,1.3014398,0.2324326
13,-1.487922,-1.3207129,"('impolite', 'polite')",-1.487922,-1.3207129,-0.1672091
81,-1.4773724,-1.1985084,"('submissive', 'aggressive')",-1.4773724,-1.1985084,-0.278864
48,-1.4460188,-1.4447978,"('unintelligent', 'intelligent')",-1.4460188,-1.4447978,-0.001221
43,-1.4384687,-1.3220112,"('irresponsible', 'responsible')",-1.4384687,-1.3220112,-0.1164575
12,-1.4006021,-1.2605363,"('unsupportive', 'supportive')",-1.4006021,-1.2605363,-0.1400658
65,-1.3866404,-1.1104981,"('insecure', 'secure')",-1.3866404,-1.1104981,-0.2761423
85,1.385661,1.2237318,"('insignificant', 'prestigious')",1.385661,1.2237318,0.1619292
0,-1.3716146,-1.0032138,"('unsociable', 'sociable')",-1.3716146,-1.0032138,-0.3684008
21,-1.3665292,-0.9587793,"('immoral', 'moral')",-1.3665292,-0.9587793,-0.4077499
