,eog_male,eog_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,male-female
60,1.6530709,1.2952864,"('inefficient', 'efficient')",2.092977,1.8964097,0.9212414,0.48565134,1.5557631,1.2257825,0.3299806
39,1.6427953,1.6318365,"('exploitative', 'cooperative')",0.41213533,0.26858377,0.011062356,0.019370455,0.6886644,0.6399302,0.0487342
56,1.4878185,1.3640226,"('impractical', 'practical')",1.4451487,1.5669668,0.51500183,0.17498933,1.149323,1.0353262,0.1139968
81,1.3839313,0.6900633,"('submissive', 'aggressive')",1.6995186,1.2879162,0.38809478,-0.31363887,1.1571816,0.5547802,0.6024014
31,-1.3734401,-0.98024946,"('evil', 'good')",-1.3511335,-1.2385528,-1.5653989,-1.0753818,-1.4299908,-1.0980613,-0.3319295
66,-1.355238,-1.1477054,"('inactive', 'active')",-1.0956676,-1.1938257,0.5274203,0.84006494,-0.6411618,-0.5004888,-0.140673
59,1.3363457,1.4721127,"('foolish', 'wise')",0.845459,0.78702676,0.3680469,0.6584967,0.8499506,0.9725454,-0.1225948
0,-1.1297145,-1.2881672,"('unsociable', 'sociable')",0.27770644,0.16041997,-0.4664022,-0.6504455,-0.4394701,-0.5927309,0.1532608
73,1.108664,1.3732748,"('helpless', 'self-reliant')",0.31148928,0.5501019,-3.0783644,-2.8362176,-0.552737,-0.3042803,-0.2484567
53,-1.0979087,-0.8218371,"('uncreative', 'creative')",0.15425888,0.37944534,0.89291924,1.1909665,-0.0169102,0.2495249,-0.2664351
19,-1.0584259,-0.65962654,"('inhospitable', 'hospitable')",-1.7945708,-1.57131,-0.40520883,0.0041956306,-1.0860686,-0.7422469,-0.3438217
1,-1.0411826,-0.68824697,"('unfriendly', 'friendly')",-0.15592685,0.30430266,1.0324671,1.75932,-0.0548808,0.4584586,-0.5133394
10,-1.0045562,-1.2327713,"('unsympathetic', 'sympathetic')",-0.07624881,-0.2057461,-0.06710254,-0.28609335,-0.3826358,-0.5748702,0.1922344
67,0.96004677,0.8058993,"('doubtful', 'determined')",0.8640347,0.7929721,-0.32068446,-0.46124437,0.5011323,0.379209,0.1219233
6,-0.94354105,-0.2684847,"('distant', 'open')",-1.769964,-1.2577534,-0.1916638,0.4406997,-0.9683896,-0.3618461,-0.6065435
26,-0.9276566,-0.98871994,"('hardhearted', 'benevolent')",0.17050347,0.1962992,1.0729256,1.1841172,0.1052575,0.1305655,-0.025308
86,-0.92675364,-1.0886115,"('uninfluential', 'influential')",-0.44086143,-0.37988204,-0.08881468,-0.23024255,-0.4854766,-0.5662453,0.0807687
64,0.91350824,0.95293206,"('shy', 'confident')",0.91918844,0.8299054,-5.4288454,-5.789088,-1.1987162,-1.3354168,0.1367006
18,-0.90129673,-0.93468815,"('disagreeable', 'welcoming')",-0.7992618,-0.87175536,-0.41576177,-0.29287717,-0.7054401,-0.6997736,-0.0056665
57,-0.843898,-1.0543699,"('unimaginative', 'imaginative')",-0.21027485,-0.22616322,-2.2247741,-2.487122,-1.0929823,-1.2558851,0.1629028
8,-0.84089196,-0.58029926,"('unaffectionate', 'affectionate')",-1.1203233,-0.83962923,-0.0008915812,0.66001993,-0.6540356,-0.2533029,-0.4007327
50,0.8227775,0.6503142,"('clumsy', 'skillful')",0.27200586,5.541742e-05,0.42192143,0.63435125,0.5055683,0.4282403,0.077328
25,-0.82186055,-0.35597134,"('egoistic', 'altruistic')",-0.091455996,0.29726714,0.99013716,1.3197459,0.0256069,0.4203472,-0.3947403
9,-0.81629896,-0.5038589,"('unaffectionate', 'caring')",0.31014988,0.6493338,0.74220175,1.2926106,0.0786842,0.4793619,-0.4006777
30,0.7589311,0.51710135,"('intolerant', 'tolerant')",2.06302,1.7970321,1.4271251,1.1887305,1.4163588,1.1676213,0.2487375
5,-0.7572299,-0.14945626,"('distant', 'outgoing')",-1.052951,-0.61975765,-0.433647,0.14014873,-0.7479426,-0.2096884,-0.5382542
38,-0.7221117,-0.50670177,"('untruthful', 'truthful')",0.26333526,0.39070123,0.2246411,0.4357352,-0.0780451,0.1065782,-0.1846233
84,0.6838048,0.71999276,"('inferior', 'superior')",1.2702887,1.3284924,0.8978255,1.1230819,0.9506396,1.0571891,-0.1065495
78,-0.68253773,-0.98201555,"('nonresilient', 'resilient')",0.36459857,0.2910973,0.24225537,0.43877786,-0.0252279,-0.0840468,0.0588189
27,-0.6760421,-0.48538792,"('hardhearted', 'softhearted')",-0.1330919,-0.0703776,1.1209185,1.4971261,0.1039282,0.3137869,-0.2098587
36,-0.62914616,-0.5488475,"('hostile', 'amicable')",-2.5169208,-2.5835013,-0.22499846,-0.11192833,-1.1236885,-1.0814257,-0.0422628
65,0.6182285,0.22519122,"('insecure', 'secure')",0.63200873,0.24690919,0.23381944,-0.16831653,0.4946856,0.1012613,0.3934243
42,0.6119074,0.35489586,"('unreliable', 'reliable')",0.58117884,0.6111789,-2.133979,-2.3306532,-0.3136309,-0.4548595,0.1412286
