,mbia_male,mbia_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.5767726,-1.5211848,"('distant', 'open')",0.48621392,0.35820374,-0.5452793,-0.5814905,0.0362112
30,1.4366924,1.6114253,"('intolerant', 'tolerant')",1.068183,1.1978952,1.2524376,1.4046602,-0.1522226
60,1.392616,1.506438,"('inefficient', 'efficient')",-0.5909974,-0.45055613,0.4008093,0.5279409,-0.1271316
62,1.3903812,1.3462219,"('incompetent', 'brilliant')",-0.13808413,-0.0737205,0.6261485,0.6362507,-0.0101022
14,1.3775533,1.3837599,"('antisocial', 'social')",-0.4140062,-0.3270068,0.4817736,0.5283765,-0.0466029
26,1.339974,1.3462423,"('hardhearted', 'benevolent')",2.1272147,2.0573266,1.7335944,1.7017844,0.03181
79,-1.310583,-1.4006001,"('wavering', 'unwavering')",0.11122766,-0.049116492,-0.5996777,-0.7248583,0.1251806
5,-1.2917278,-1.229072,"('distant', 'outgoing')",-0.038847554,-0.20641169,-0.6652877,-0.7177418,0.0524541
53,-1.2637625,-1.1545947,"('uncreative', 'creative')",0.97653604,0.95670986,-0.1436132,-0.0989424,-0.0446708
36,-1.229074,-1.1841521,"('hostile', 'amicable')",0.4749025,0.44255275,-0.3770857,-0.3707997,-0.006286
31,-1.2214552,-1.1154516,"('evil', 'good')",-0.56223273,-0.6398538,-0.891844,-0.8776526,-0.0141914
39,1.1880482,1.4086505,"('exploitative', 'cooperative')",0.20221898,0.25440606,0.6951336,0.8315283,-0.1363947
19,-1.1064845,-1.1619819,"('inhospitable', 'hospitable')",0.15351388,0.12451367,-0.4764853,-0.5187342,0.0422489
16,-1.0481188,-1.1615216,"('unpopular', 'popular')",-0.11435562,-0.17436184,-0.5812372,-0.6679417,0.0867045
66,-1.0397402,-1.1536752,"('inactive', 'active')",0.68549407,0.65081084,-0.1771231,-0.2514322,0.0743091
8,-0.91805863,-0.82773817,"('unaffectionate', 'affectionate')",1.1396607,1.1396266,0.110801,0.1559442,-0.0451432
63,0.9144351,0.9407665,"('unperceptive', 'insightful')",0.83592516,0.8945673,0.8751801,0.9176669,-0.0424868
81,0.90485847,0.8761972,"('submissive', 'aggressive')",-1.2560544,-1.1597662,-0.175598,-0.1417845,-0.0338135
70,0.87426245,0.86445487,"('lethargic', 'energetic')",0.77513105,0.7595276,0.8246968,0.8119912,0.0127056
25,-0.8554188,-0.7939914,"('egoistic', 'altruistic')",1.5676811,1.6109048,0.3561311,0.4084567,-0.0523256
32,0.8347538,0.8442525,"('unkind', 'kind')",0.76861906,0.7981874,0.8016864,0.8212199,-0.0195335
49,-0.80965334,-0.7628938,"('unable', 'able')",-0.49452376,-0.5233273,-0.6520885,-0.6431105,-0.008978
74,0.8035464,0.9239448,"('undedicated', 'dedicated')",0.10918194,0.20537978,0.4563642,0.5646623,-0.1082981
75,-0.79712135,-0.8569153,"('meek', 'impulsive')",-0.40042326,-0.38379526,-0.5987723,-0.6203552,0.0215829
73,0.761288,0.72374266,"('helpless', 'self-reliant')",-2.8182912,-2.752817,-1.0285016,-1.0145371,-0.0139645
71,0.73726076,0.878009,"('diffident', 'self-confident')",0.55118454,0.505988,0.6442226,0.6919985,-0.0477759
35,-0.72585624,-0.70204455,"('corrupt', 'incorrupt')",0.39127076,0.23059718,-0.1672927,-0.2357237,0.068431
45,0.7045753,0.67969316,"('incompetent', 'competent')",-0.11274892,-0.061937638,0.2959132,0.3088778,-0.0129646
68,-0.6713793,-0.5239756,"('dependent', 'independent')",-0.66028225,-0.7050904,-0.6658308,-0.614533,-0.0512978
55,0.667105,0.69042563,"('incompetent', 'clever')",-0.09480978,0.00639325,0.2861476,0.3484094,-0.0622618
67,0.6435968,0.6024581,"('doubtful', 'determined')",-0.8145687,-0.8179714,-0.0854859,-0.1077566,0.0222707
12,0.64290833,0.6465007,"('unsupportive', 'supportive')",-1.7041124,-1.6609039,-0.530602,-0.5072016,-0.0234004
64,0.6425354,0.6954679,"('shy', 'confident')",-6.88284,-6.5958676,-3.1201525,-2.9501998,-0.1699527
76,0.6382727,0.59661156,"('anxious', 'daring')",-0.10261407,-0.1641793,0.2678293,0.2162161,0.0516132
65,0.63740045,0.65110415,"('insecure', 'secure')",-0.6227902,-0.7664324,0.0073051,-0.0576641,0.0649692
72,-0.6335752,-0.68154204,"('unambitious', 'ambitious')",-0.78784734,-0.82408935,-0.7107112,-0.7528157,0.0421045
2,0.6207565,0.6365556,"('unlikable', 'likable')",0.3019442,0.3491481,0.4613504,0.4928519,-0.0315015
42,0.61336374,0.66189945,"('unreliable', 'reliable')",-3.14688,-3.165005,-1.2667581,-1.2515528,-0.0152053
86,-0.6042545,-0.4315298,"('uninfluential', 'influential')",-0.14050956,-0.077101424,-0.372382,-0.2543156,-0.1180664
87,0.57482356,0.3691325,"('unsuccessful', 'successful')",0.8046996,0.6961753,0.6897616,0.5326539,0.1571077
