,illinois_male,illinois_female,tuple,tool_male,tool_female,works_male,works_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.2258546,-2.1377454,"('evil', 'good')",-0.23214392,0.020200804,-2.1618898,-1.2307963,-1.651529,-1.3219942,-1.5678543,-1.1675838,-0.4002705
60,1.8420905,2.0673068,"('inefficient', 'efficient')",0.6247092,0.4569335,2.265917,2.1529312,0.31855428,0.14534275,1.2628177,1.2056286,0.0571891
36,-1.7838696,-2.0341537,"('hostile', 'amicable')",0.24349977,0.11980165,-2.0221999,-1.7283438,-0.054408018,-0.07496773,-0.9042444,-0.9294159,0.0251715
70,1.7293241,1.887027,"('lethargic', 'energetic')",-1.2911546,-1.3415511,1.684439,1.5680559,1.0073645,1.0867008,0.7824932,0.8000581,-0.0175649
1,-1.4950616,-1.2494913,"('unfriendly', 'friendly')",0.62202597,0.50282377,1.2332212,1.9916309,1.4322867,1.7033151,0.4481181,0.7370696,-0.2889515
43,1.4917213,1.564487,"('irresponsible', 'responsible')",-0.5369336,-0.84359914,1.7087985,1.6679972,0.5633268,0.3569897,0.8067282,0.6864687,0.1202595
16,-1.3494502,-1.5093207,"('unpopular', 'popular')",-0.19972464,-0.22980534,0.9658696,0.97214186,0.4974973,0.38694534,-0.021452,-0.0950097,0.0735577
35,-1.3185202,-1.5195432,"('corrupt', 'incorrupt')",0.14748822,0.38652533,-2.9348328,-2.3107748,-0.54470766,-0.41387737,-1.1626431,-0.9644175,-0.1982256
5,-1.3033179,-1.2962738,"('distant', 'outgoing')",0.73378134,0.6908507,-1.5330772,0.061708886,-0.7036929,-0.4646907,-0.7015767,-0.2521012,-0.4494755
12,1.2939395,1.2407242,"('unsupportive', 'supportive')",0.83860564,0.6056497,1.413475,1.6218053,-1.6230232,-1.7342733,0.4807492,0.4334765,0.0472727
28,1.2908584,1.3266263,"('disloyal', 'loyal')",0.4634683,0.16404815,0.24884836,0.93413657,1.3375453,1.2321936,0.83518,0.9142512,-0.0790712
49,-1.2904475,-1.2660272,"('unable', 'able')",0.13831636,-0.03240315,-0.24929562,0.30620944,-0.677986,-0.39599842,-0.5198532,-0.3470548,-0.1727984
24,1.2564654,1.4647479,"('dishonest', 'honest')",-0.717569,-0.83282924,1.1143805,1.5549312,1.1501344,1.0863038,0.7008529,0.8182884,-0.1174355
53,-1.2229873,-1.0919176,"('uncreative', 'creative')",0.14409786,-0.018168878,1.0790973,1.74564,1.6520989,1.418468,0.4130767,0.5135053,-0.1004286
81,1.2049623,1.3076531,"('submissive', 'aggressive')",-0.5234568,-0.71936125,2.0130002,0.73392725,-0.23717959,-0.45837933,0.6143315,0.21596,0.3983715
40,1.2030896,1.3873361,"('stingy', 'generous')",-0.83192444,-0.62207365,-0.19593439,0.07120243,-1.194524,-1.3414466,-0.2548233,-0.1262454,-0.1285779
10,1.2027366,1.4256805,"('unsympathetic', 'sympathetic')",-0.56681657,-0.9549282,3.045655,2.3157613,0.7413901,0.29904616,1.1057413,0.77139,0.3343513
4,-1.1874561,-1.2009934,"('disliked', 'liked')",0.8048202,0.7476759,0.39722568,0.3200538,-5.629713,-6.2306533,-1.4037808,-1.5909792,0.1871984
39,1.1753212,1.0513976,"('exploitative', 'cooperative')",-0.9001828,-0.90340286,-0.28261977,0.45808858,-0.09578587,-0.09360748,-0.0258168,0.1281189,-0.1539357
74,1.0851804,1.1846937,"('undedicated', 'dedicated')",0.8227308,0.5686695,2.497201,2.8464942,0.7109239,0.5369845,1.2790091,1.2842104,-0.0052013
11,1.0570481,0.90488833,"('unhelpful', 'helpful')",0.22915459,-0.1091906,2.2801614,2.0912333,2.769217,2.4650674,1.5838952,1.3379996,0.2458956
72,1.0326089,0.9513724,"('unambitious', 'ambitious')",0.13157606,-0.084462374,2.1726055,2.0516293,-0.90408045,-1.0801787,0.6081775,0.4595901,0.1485874
58,-0.98087347,-0.85540074,"('undiscriminating', 'discriminating')",0.7198913,0.6431124,1.2578213,1.3256861,0.09719034,0.04951512,0.2735074,0.2907282,-0.0172208
46,0.9617409,1.0220335,"('uncompetitive', 'competitive')",-0.674172,-1.070303,2.6959689,1.8069348,0.030084249,-0.37990105,0.7534055,0.3446911,0.4087144
55,0.91713417,1.1892694,"('incompetent', 'clever')",-0.45406026,-0.7163569,1.4096755,0.9267172,0.103653416,-0.057215758,0.4941007,0.3356035,0.1584972
77,-0.90924186,-0.8059126,"('unmotivated', 'motivated')",0.14361307,-0.078017734,0.11671603,-0.2847402,-0.96440136,-1.3346325,-0.4033285,-0.6258258,0.2224973
76,0.89585316,0.949712,"('anxious', 'daring')",-0.52778095,-0.8683482,1.2076433,0.72709095,1.137212,0.6757843,0.6782319,0.3710598,0.3071721
29,-0.8733333,-0.8288045,"('unfair', 'fair')",-0.17079136,-0.21146724,-1.4761964,-0.9185436,-0.97220457,-0.6486728,-0.8731314,-0.651872,-0.2212594
80,0.8475649,0.8323591,"('dominated', 'dominating')",-1.5081111,-1.572629,0.5046346,0.060186196,-1.2882339,-1.4936435,-0.3610364,-0.5434318,0.1823954
19,-0.84139055,-0.93831146,"('inhospitable', 'hospitable')",0.6441241,0.4009881,0.33919272,0.57231027,-0.008487329,-0.06464642,0.0333597,-0.0074149,0.0407746
85,-0.8251666,-0.8781597,"('insignificant', 'prestigious')",0.8860724,1.024242,-0.64453703,-0.09891555,-0.38991448,-0.048724912,-0.2433864,-0.0003895,-0.2429969
63,0.8240166,0.9758805,"('unperceptive', 'insightful')",-0.33384302,-0.6289293,2.8976402,2.4373329,1.1699334,0.95399755,1.1394368,0.9345704,0.2048664
41,-0.7828328,-0.4981333,"('unforgiving', 'forgiving')",-0.39275622,-0.49173644,0.47696662,0.13669914,-0.21336207,-0.04037971,-0.2279961,-0.2233876,-0.0046085
51,0.7610199,0.8534267,"('uneducated', 'educated')",-0.13446772,-0.27889833,1.8707585,1.0733327,0.50466233,0.32721755,0.7504932,0.4937696,0.2567236
22,-0.7535596,-0.492394,"('untrustworthy', 'trustworthy')",-1.7906833,-1.839158,0.5717523,0.14832698,-1.2173169,-1.0945972,-0.7974519,-0.8194556,0.0220037
87,-0.7487227,-0.967638,"('unsuccessful', 'successful')",0.036393866,-0.34818304,1.6228858,0.84422785,0.18544933,0.06230178,0.2740016,-0.1023229,0.3763245
7,0.7213204,0.6740757,"('insensitive', 'sensitive')",-0.09064263,-0.27780804,2.4357953,2.4511433,0.48082435,0.5696418,0.8868244,0.8542632,0.0325612
56,0.7204888,1.0132211,"('impractical', 'practical')",1.6747029,1.5480596,2.5004525,2.1101491,-0.02417728,-0.024904262,1.2178668,1.1616313,0.0562355
66,0.7183971,0.34965262,"('inactive', 'active')",-0.11897445,-0.24387118,0.557035,0.6881645,0.44967872,0.7511821,0.4015341,0.386282,0.0152521
13,0.6555068,0.7507035,"('impolite', 'polite')",-0.19367558,-0.3028825,0.9996397,0.3694833,-0.18462545,-0.25603512,0.3192114,0.1403173,0.1788941
37,0.6527937,0.6856544,"('fake', 'genuine')",-0.060521107,-0.22987561,1.0896572,0.85539347,0.73113334,0.68241864,0.6032658,0.4983977,0.1048681
65,0.6285514,0.6139585,"('insecure', 'secure')",-1.1034511,-1.2701361,0.20325454,-0.56501925,-0.14472656,-0.17782639,-0.1040929,-0.3497558,0.2456629
42,0.60629463,0.5763926,"('unreliable', 'reliable')",-0.1690611,-0.46472973,0.2895581,0.6833441,-2.395871,-2.531812,-0.4172698,-0.4342012,0.0169314
73,0.6059304,0.43093896,"('helpless', 'self-reliant')",1.2366482,1.1657486,-0.057555594,-0.051919766,-3.4206388,-3.5036788,-0.4089039,-0.4897278,0.0808239
14,0.6026557,0.6522575,"('antisocial', 'social')",0.24898776,0.0029564574,0.31348076,-0.43170255,-1.268068,-1.0253108,-0.0257359,-0.2004498,0.1747139
86,0.58921653,0.9673563,"('uninfluential', 'influential')",0.22318497,0.009859599,1.8476046,1.9181783,0.057711903,-0.045408245,0.6794295,0.7124965,-0.033067
6,-0.58862954,-0.5464712,"('distant', 'open')",1.0605669,1.028267,-1.667649,-0.104525894,0.17642373,0.28836542,-0.254822,0.1664088,-0.4212308
67,0.58376724,0.38980237,"('doubtful', 'determined')",2.3273888,2.3595054,0.009370178,-0.08464111,0.008707065,-0.1045688,0.7323083,0.6400245,0.0922838
34,0.57007873,0.6132297,"('mean', 'honorable')",-0.6112858,-0.70622,0.7196839,0.91489094,5.8307886,6.2958555,1.6273164,1.7794391,-0.1521227
8,-0.5650568,-0.60888666,"('unaffectionate', 'affectionate')",0.4148653,0.21935122,-0.40378127,0.3981727,-0.07625081,0.28690892,-0.1575559,0.0738866,-0.2314425
62,0.52999175,0.6757895,"('incompetent', 'brilliant')",-1.0336293,-1.2682703,1.6512594,1.8001736,-0.23647562,-0.31663993,0.2277866,0.2227632,0.0050234
59,-0.52839243,-0.77580756,"('foolish', 'wise')",1.5805525,1.4705151,-0.40131283,-0.16674988,-0.14974059,-0.11728249,0.1252767,0.1026688,0.0226079
44,-0.48104215,-0.6999985,"('prejudiced', 'unprejudiced')",-1.230649,-1.0650537,-1.9227196,-1.9011947,-1.5435687,-1.6254991,-1.2944949,-1.3229365,0.0284416
78,-0.48094618,-0.33109564,"('nonresilient', 'resilient')",0.12299503,-0.15257546,0.32637024,0.260013,0.2858598,0.08338222,0.0635697,-0.035069,0.0986387
32,0.47722933,0.42994124,"('unkind', 'kind')",-0.34977198,-0.63303375,3.6242597,3.3023236,1.2928813,1.1980155,1.2611496,1.0743116,0.186838
69,-0.46961433,-0.7110841,"('lazy', 'industrious')",1.4505472,1.6356758,-1.9423537,-1.0975146,-0.964197,-0.7289947,-0.4814045,-0.2254794,-0.2559251
52,-0.46940514,-0.5188905,"('irrational', 'rational')",0.77762336,0.7018609,-1.2949677,-0.3617485,-0.75548476,-0.52148825,-0.4355586,-0.1750666,-0.260492
23,0.46298474,0.43088832,"('insincere', 'sincere')",-0.086072035,-0.46474287,1.9682367,1.9417721,5.4883432,5.642344,1.9583732,1.8875654,0.0708078
21,0.45672008,0.6247263,"('immoral', 'moral')",0.1408227,-0.20177485,2.3454103,1.2345912,-0.82351476,-0.960822,0.5298596,0.1741802,0.3556794
47,0.4465335,0.44572222,"('stupid', 'smart')",-0.13912722,-0.24937624,1.8867147,1.701104,5.0876346,5.5139256,1.8204389,1.8528439,-0.032405
15,-0.4248503,-0.25675452,"('boring', 'funny')",0.68730235,0.7821521,-0.15898195,-0.1099962,0.11638698,0.31767932,0.0549643,0.1832702,-0.1283059
88,-0.41702095,-0.375327,"('low', 'eminent')",-0.12133548,-0.201752,3.1355839,1.9876469,0.47585556,0.10277793,0.7682708,0.3783365,0.3899343
38,0.41586867,0.3813322,"('untruthful', 'truthful')",0.80317307,0.507364,0.49680334,0.89905596,0.25977942,-0.03809371,0.4939061,0.4374146,0.0564915
20,0.40702295,0.5678439,"('rough', 'thoughtful')",-0.92270696,-0.9275196,0.52231055,0.308572,0.90506625,0.90443903,0.2279232,0.2133338,0.0145894
33,-0.39618942,-0.39641342,"('wrong', 'right')",1.366584,1.4722779,-0.8034071,-0.29488078,-0.84008586,-0.7911575,-0.1682746,-0.0025434,-0.1657312
71,0.36473483,0.2801412,"('diffident', 'self-confident')",1.3669007,1.1703657,0.8278966,1.2831292,-0.09019337,0.05980678,0.6173347,0.6983607,-0.081026
61,-0.35612437,-0.30968776,"('illogical', 'logical')",-0.5672289,-0.822528,-0.50286657,-0.40536606,0.06989584,-0.01523991,-0.339081,-0.3882054,0.0491244
57,0.33619535,0.61822665,"('unimaginative', 'imaginative')",0.4780406,0.37941304,1.6935256,1.5900906,-1.6166067,-2.2358193,0.2227887,0.0879778,0.1348109
