,verizon_male,verizon_female,tuple,communications_male,communications_female,inc_male,inc_female,average_male,average_female,male-female
10,-3.107991,-2.835138,"('unsympathetic', 'sympathetic')",0.035657484,0.028282704,-0.2487757,-0.0063418075,-1.1070364,-0.9377324,-0.169304
69,2.9749675,2.5922089,"('lazy', 'industrious')",-0.087114625,-0.06842311,-0.21845949,-0.6719326,0.8897978,0.6172844,0.2725134
0,-2.8155375,-2.584563,"('unsociable', 'sociable')",-0.31771252,-0.40888745,-0.79158264,-0.6883601,-1.3082775,-1.2272701,-0.0810074
85,2.574748,2.1259766,"('insignificant', 'prestigious')",-0.82295597,-0.9004136,0.28903055,-0.28029406,0.6802742,0.3150897,0.3651845
14,-2.5393775,-2.1257243,"('antisocial', 'social')",1.2878646,1.3504164,-1.4111907,-1.1627588,-0.8875678,-0.6460222,-0.2415456
35,2.5090048,2.1709712,"('corrupt', 'incorrupt')",-1.953243,-1.9367642,-0.22754115,-0.5462721,0.1094069,-0.1040217,0.2134286
55,-2.4876842,-2.3586829,"('incompetent', 'clever')",0.59293675,0.5022786,-0.20424764,-0.048258092,-0.6996651,-0.6348875,-0.0647776
45,-2.4804823,-2.343822,"('incompetent', 'competent')",0.28868115,0.43103674,-0.49475574,-0.3649362,-0.8955189,-0.7592405,-0.1362784
81,-2.350811,-1.8992401,"('submissive', 'aggressive')",1.3564439,1.2602891,-0.61958086,-0.18322784,-0.5379827,-0.2740596,-0.2639231
43,-2.3031554,-2.3110487,"('irresponsible', 'responsible')",0.7301258,0.74640214,0.1976312,0.30310896,-0.4584661,-0.4205126,-0.0379535
13,-2.3020415,-1.9415675,"('impolite', 'polite')",0.35119236,0.34157798,0.043312147,0.23016337,-0.6358457,-0.4566087,-0.179237
76,-2.2732725,-2.0031233,"('anxious', 'daring')",0.654039,0.79901326,0.0039919782,0.5337701,-0.5384138,-0.2234466,-0.3149672
36,2.1850429,1.8179728,"('hostile', 'amicable')",-1.6059793,-1.5291603,0.04566118,-0.31963673,0.2082416,-0.0102747,0.2185163
57,-2.1077592,-2.2162104,"('unimaginative', 'imaginative')",-0.39038682,-0.553095,-2.3615687,-2.1564922,-1.6199048,-1.6419325,0.0220277
62,-1.9929174,-1.7156491,"('incompetent', 'brilliant')",1.2971317,1.4263595,-0.012711054,0.24448039,-0.2361656,-0.0149364,-0.2212292
70,-1.9644619,-1.8207155,"('lethargic', 'energetic')",0.424542,0.60746545,0.47395477,0.82881343,-0.3553217,-0.1281456,-0.2271761
21,-1.9307373,-1.6114707,"('immoral', 'moral')",0.9363321,0.98791033,-0.8630825,-0.8989231,-0.6191626,-0.5074945,-0.1116681
46,-1.9126391,-1.6485933,"('uncompetitive', 'competitive')",1.3660307,1.4051232,-0.5018139,-0.112449564,-0.3494741,-0.1186399,-0.2308342
33,1.8426732,1.5507779,"('wrong', 'right')",0.60461783,0.5650131,-0.3690558,-0.73368037,0.692745,0.4607036,0.2320414
