,marriott_male,marriott_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
26,3.0837553,2.839041,"('hardhearted', 'benevolent')",1.262096,1.1715467,1.3190348,1.1172214,1.8882955,1.7092697,0.1790258
81,-3.0380387,-3.0542479,"('submissive', 'aggressive')",0.1840217,0.1186386,-0.5929733,-0.33099043,-1.1489968,-1.0888666,-0.0601302
85,2.6629775,2.93299,"('insignificant', 'prestigious')",0.19718428,0.58408767,0.52782446,0.38728103,1.1293287,1.3014529,-0.1721242
1,2.6391802,2.503078,"('unfriendly', 'friendly')",0.3914065,-0.08906007,1.6594057,1.067964,1.5633308,1.1606606,0.4026702
45,-2.4673474,-2.453113,"('incompetent', 'competent')",-0.75022554,-0.81207186,-0.7615825,-0.84673524,-1.3263852,-1.3706401,0.0442549
71,2.4552798,2.6997163,"('diffident', 'self-confident')",1.1244582,1.1951904,0.7062689,0.6387223,1.428669,1.5112096,-0.0825406
80,-2.2114131,-2.1966875,"('dominated', 'dominating')",0.18308909,0.2375399,-1.1113081,-0.7692889,-1.0465441,-0.9094788,-0.1370653
21,-2.1303415,-2.1797106,"('immoral', 'moral')",-0.05638723,-0.15953647,-0.8476701,-0.797494,-1.0114663,-1.0455803,0.034114
44,-2.0520532,-1.919112,"('prejudiced', 'unprejudiced')",0.42536032,0.68122697,-1.4037088,-1.1081913,-1.0101339,-0.7820254,-0.2281085
62,-2.000449,-1.8482071,"('incompetent', 'brilliant')",0.1385124,0.24053264,0.024209805,0.28640488,-0.6125756,-0.4404232,-0.1721524
36,1.9734787,2.2242208,"('hostile', 'amicable')",0.9650684,1.0654111,0.28460076,-0.008110372,1.0743826,1.0938405,-0.0194579
6,1.9618717,2.1061814,"('distant', 'open')",-0.031668298,-0.076667815,0.5343304,0.09717214,0.8215113,0.7088952,0.1126161
77,-1.9444654,-1.9636254,"('unmotivated', 'motivated')",-0.5595857,-0.6587759,-1.0332428,-0.98854786,-1.179098,-1.2036497,0.0245517
64,-1.9427795,-1.9919174,"('shy', 'confident')",0.37684715,0.55791074,-5.79659,-5.530312,-2.454174,-2.3214396,-0.1327344
46,-1.9081571,-1.9466683,"('uncompetitive', 'competitive')",0.17683631,0.21651813,-0.087475985,-0.010203058,-0.6062656,-0.5801177,-0.0261479
60,-1.8986628,-2.0497541,"('inefficient', 'efficient')",-0.13880035,-0.4034372,-0.09325324,0.08262263,-0.7102388,-0.7901896,0.0799508
59,1.8348482,1.8869302,"('foolish', 'wise')",0.5483807,0.5118155,0.55922425,0.42455998,0.9808176,0.9411019,0.0397157
55,-1.8178608,-1.964064,"('incompetent', 'clever')",-0.88318896,-0.9921058,-0.086299285,-0.17760117,-0.9291163,-1.0445903,0.115474
11,-1.7807837,-1.6053023,"('unhelpful', 'helpful')",0.013217181,-0.08728705,1.8062142,1.9673896,0.0128826,0.0916001,-0.0787175
3,-1.7446079,-1.7686805,"('repellent', 'pleasant')",-0.34368417,-0.46414897,0.1079022,0.2879139,-0.66013,-0.6483051,-0.0118249
18,1.7409508,1.7569859,"('disagreeable', 'welcoming')",1.4627119,1.6112708,-0.1553087,-0.18288845,1.016118,1.0617894,-0.0456714
75,-1.7351356,-1.3861078,"('meek', 'impulsive')",-0.2598689,0.14440116,-0.6224168,-0.2398363,-0.8724737,-0.4938476,-0.3786261
5,1.7053244,1.8780229,"('distant', 'outgoing')",-0.11148797,0.10885893,-0.08910519,-0.27692768,0.5015771,0.5699847,-0.0684076
69,1.6611917,1.8242329,"('lazy', 'industrious')",1.9434323,2.0396473,-0.24229501,-0.3321607,1.1207763,1.1772398,-0.0564635
70,-1.6520218,-1.78,"('lethargic', 'energetic')",-0.38059223,-0.44287917,0.58159643,0.7167829,-0.4836725,-0.5020321,0.0183596
9,1.6230013,1.7988975,"('unaffectionate', 'caring')",0.13406497,0.014445528,1.1313057,0.7434968,0.9627906,0.85228,0.1105106
52,1.6010275,1.5378711,"('irrational', 'rational')",-0.30486372,-0.405632,-0.2088209,-0.57713723,0.3624476,0.185034,0.1774136
57,-1.590413,-1.6174678,"('unimaginative', 'imaginative')",-0.41146305,-0.51294136,-2.6112742,-2.7494357,-1.5377169,-1.6266149,0.088898
10,-1.5725023,-1.5033609,"('unsympathetic', 'sympathetic')",-1.038392,-1.1995002,-0.21567358,-0.21676517,-0.9421893,-0.9732087,0.0310194
22,-1.5680177,-1.7076272,"('untrustworthy', 'trustworthy')",-0.5372172,-0.5928504,-1.1079516,-1.0268451,-1.0710622,-1.1091075,0.0380453
33,1.4327983,1.487493,"('wrong', 'right')",0.972571,0.87443596,-0.26173696,-0.5438995,0.7145441,0.6060098,0.1085343
8,1.3765697,1.317653,"('unaffectionate', 'affectionate')",-0.64970905,-0.8025036,0.3016069,-0.25086558,0.3428226,0.0880946,0.254728
53,1.3036447,1.2970688,"('uncreative', 'creative')",0.024103079,-0.07241179,0.8491453,0.69197774,0.725631,0.6388783,0.0867527
54,1.2942455,1.4154686,"('incapable', 'capable')",0.427851,0.40213493,1.1292056,1.2872438,0.950434,1.0349491,-0.0845151
38,-1.2206291,-1.0991354,"('untruthful', 'truthful')",-0.41975713,-0.37043256,0.061592363,0.20266566,-0.5262646,-0.4223008,-0.1039638
28,-1.1815358,-1.0792738,"('disloyal', 'loyal')",-0.9296717,-0.8754863,0.4534457,0.3494062,-0.5525873,-0.5351179,-0.0174694
23,-1.1439223,-0.9937772,"('insincere', 'sincere')",-0.78046536,-0.7924192,5.283449,5.479519,1.1196872,1.2311075,-0.1114203
84,1.0978453,1.0862242,"('inferior', 'superior')",0.44712642,0.58663285,0.9030303,1.0264403,0.8160006,0.8997658,-0.0837652
51,-1.0849407,-1.0918084,"('uneducated', 'educated')",1.2165568,1.3246591,0.9626229,0.9895575,0.3647463,0.4074694,-0.0427231
2,1.0786786,1.1146159,"('unlikable', 'likable')",1.5306123,1.8630393,0.77787817,0.9392785,1.1290565,1.3056445,-0.176588
24,-1.0178409,-1.1594269,"('dishonest', 'honest')",-0.66528744,-0.9258803,0.50833845,0.4999905,-0.3915966,-0.5284389,0.1368423
39,0.9730317,1.084582,"('exploitative', 'cooperative')",0.8772277,0.80171555,-0.13753776,0.034908224,0.5709072,0.6404019,-0.0694947
16,0.94154537,1.2146041,"('unpopular', 'popular')",1.1883931,1.568427,1.3761796,1.2893509,1.1687061,1.3574607,-0.1887546
76,-0.8807653,-0.7125305,"('anxious', 'daring')",0.49214783,0.72691965,0.2243362,0.5402724,-0.0547604,0.1848872,-0.2396476
25,0.85515606,0.8330889,"('egoistic', 'altruistic')",-0.027296357,0.0730183,1.0503877,0.81246996,0.6260825,0.572859,0.0532235
35,0.82382214,1.053016,"('corrupt', 'incorrupt')",0.06659498,0.35601336,-0.36398908,-0.52377284,0.175476,0.2950855,-0.1196095
66,0.82380515,1.0059092,"('inactive', 'active')",1.7809731,1.9483591,1.3422389,1.1928185,1.3156724,1.3823624,-0.06669
40,0.80833024,0.8458616,"('stingy', 'generous')",0.25763488,0.6448288,-1.321961,-1.5079539,-0.085332,-0.0057545,-0.0795775
63,-0.7988261,-0.7737881,"('unperceptive', 'insightful')",0.84015304,0.60689306,1.3037769,1.2032286,0.4483679,0.3454445,0.1029234
37,-0.7944566,-1.094967,"('fake', 'genuine')",-0.8251592,-1.3805356,0.20742936,-0.18303464,-0.4707288,-0.886179,0.4154502
12,0.78139204,0.890081,"('unsupportive', 'supportive')",0.72786045,0.84342384,-1.3032554,-1.363522,0.0686657,0.1233276,-0.0546619
