,at&t_male,at&t_female,tuple,inc_male,inc_female,average_male,average_female,male-female
30,-2.9396944,-2.5214837,"('intolerant', 'tolerant')",-1.7160568,-1.6691489,-2.3278756,-2.0953164,-0.2325592
65,-2.7723923,-2.4126909,"('insecure', 'secure')",-2.2026577,-2.0016212,-2.487525,-2.2071562,-0.2803688
0,-2.5737658,-2.3006954,"('unsociable', 'sociable')",-2.9239874,-2.9082594,-2.7488766,-2.6044774,-0.1443992
10,-2.5510943,-2.3508708,"('unsympathetic', 'sympathetic')",-2.7923872,-2.9163222,-2.6717408,-2.6335964,-0.0381444
56,-2.5126135,-2.1312935,"('impractical', 'practical')",-3.005235,-2.792334,-2.7589242,-2.4618139,-0.2971103
75,2.358306,1.8187622,"('meek', 'impulsive')",0.78050876,0.61536777,1.5694073,1.217065,0.3523423
69,2.267892,1.7913387,"('lazy', 'industrious')",1.9406706,1.9514914,2.1042812,1.871415,0.2328662
23,-2.1356747,-2.0689876,"('insincere', 'sincere')",-2.2333534,-2.3961232,-2.184514,-2.2325554,0.0480414
43,-2.1250515,-1.8245933,"('irresponsible', 'responsible')",-2.6592567,-2.5364583,-2.3921542,-2.1805258,-0.2116284
85,2.0318222,1.1639966,"('insignificant', 'prestigious')",3.5955818,3.2480218,2.8137021,2.2060091,0.607693
55,-2.0310578,-1.7827429,"('incompetent', 'clever')",-1.8203908,-1.9209398,-1.9257243,-1.8518413,-0.073883
81,-1.9210056,-1.5060611,"('submissive', 'aggressive')",-2.3359072,-2.144583,-2.1284564,-1.825322,-0.3031344
11,-1.7464855,-1.3947718,"('unhelpful', 'helpful')",-2.9213452,-2.7831595,-2.3339152,-2.0889657,-0.2449495
86,-1.7461467,-1.7278973,"('uninfluential', 'influential')",-2.4120646,-2.4025037,-2.0791056,-2.0652006,-0.013905
46,-1.6753399,-1.2227732,"('uncompetitive', 'competitive')",-2.5003457,-2.3225822,-2.0878429,-1.7726777,-0.3151652
57,-1.6172167,-1.7115033,"('unimaginative', 'imaginative')",-2.0366368,-2.1091862,-1.8269267,-1.9103447,0.083418
60,-1.6035635,-1.2059487,"('inefficient', 'efficient')",-2.5137968,-2.4265926,-2.0586801,-1.8162706,-0.2424095
6,1.5988824,0.9462347,"('distant', 'open')",2.5852652,2.5245297,2.0920739,1.7353822,0.3566917
35,1.5856011,1.3420526,"('corrupt', 'incorrupt')",1.4264187,1.6969446,1.5060098,1.5194986,-0.0134888
28,-1.5356133,-1.5682963,"('disloyal', 'loyal')",-1.6007689,-1.5213021,-1.5681911,-1.5447992,-0.0233919
14,-1.505567,-1.1629326,"('antisocial', 'social')",-1.9760942,-1.6427528,-1.7408307,-1.4028428,-0.3379879
82,-1.4057348,-1.564817,"('poor', 'rich')",-1.1884392,-1.2801216,-1.297087,-1.4224693,0.1253823
66,1.403556,0.8714389,"('inactive', 'active')",1.4654413,1.3204116,1.4344987,1.0959252,0.3385735
45,-1.3971,-1.2765146,"('incompetent', 'competent')",-2.7074833,-2.555469,-2.0522916,-1.9159918,-0.1362998
13,-1.3825662,-0.84326464,"('impolite', 'polite')",-2.593917,-2.3366926,-1.9882416,-1.5899786,-0.398263
70,-1.3178203,-1.1634626,"('lethargic', 'energetic')",-2.3783302,-2.2038906,-1.8480753,-1.6836766,-0.1643987
73,1.2372196,1.2908403,"('helpless', 'self-reliant')",0.5728051,0.5835271,0.9050124,0.9371837,-0.0321713
47,-1.1940206,-1.2385986,"('stupid', 'smart')",-1.2309196,-1.02442,-1.2124701,-1.1315093,-0.0809608
48,-1.098969,-0.9473863,"('unintelligent', 'intelligent')",-0.9983253,-1.2224507,-1.0486472,-1.0849185,0.0362713
63,-1.0974756,-1.2602787,"('unperceptive', 'insightful')",-1.1290718,-1.2072654,-1.1132737,-1.233772,0.1204983
22,-1.03038,-1.0517964,"('untrustworthy', 'trustworthy')",-1.5439361,-1.4909388,-1.287158,-1.2713675,-0.0157905
37,1.0091836,1.0836527,"('fake', 'genuine')",-0.75063723,-0.75917166,0.1292732,0.1622405,-0.0329673
33,0.96492296,0.72636485,"('wrong', 'right')",1.8678604,1.817398,1.4163917,1.2718813,0.1445104
36,0.95835584,0.4003262,"('hostile', 'amicable')",1.472626,1.3558844,1.2154909,0.8781053,0.3373856
12,-0.9467369,-0.88946265,"('unsupportive', 'supportive')",-1.4053451,-1.3929558,-1.176041,-1.1412092,-0.0348318
77,-0.93825245,-0.9587276,"('unmotivated', 'motivated')",-0.78753245,-0.7306063,-0.8628924,-0.844667,-0.0182254
31,0.9147221,0.50764495,"('evil', 'good')",1.7669199,1.5332679,1.340821,1.0204564,0.3203646
67,-0.9086613,-0.7529824,"('doubtful', 'determined')",-0.743802,-0.523601,-0.8262317,-0.6382917,-0.18794
41,-0.89070904,-1.055553,"('unforgiving', 'forgiving')",-1.2773014,-1.3099183,-1.0840052,-1.1827357,0.0987305
19,0.8504278,0.53529835,"('inhospitable', 'hospitable')",1.207309,0.963944,1.0288684,0.7496212,0.2792472
32,-0.8444928,-0.92630225,"('unkind', 'kind')",-0.619305,-0.828134,-0.7318989,-0.8772181,0.1453192
38,-0.8278315,-0.9263299,"('untruthful', 'truthful')",-1.4897946,-1.5914387,-1.158813,-1.2588843,0.1000713
4,0.8174709,0.51763046,"('disliked', 'liked')",0.50457764,0.5777585,0.6610243,0.5476944,0.1133299
8,-0.7628851,-1.1647005,"('unaffectionate', 'affectionate')",0.34058085,0.13035059,-0.2111521,-0.517175,0.3060229
34,-0.7211695,-0.8134899,"('mean', 'honorable')",-0.6428227,-0.8010426,-0.6819961,-0.8072662,0.1252701
24,-0.6901316,-0.6905993,"('dishonest', 'honest')",-0.73699015,-0.75233936,-0.7135609,-0.7214693,0.0079084
79,0.6884511,0.2568263,"('wavering', 'unwavering')",1.5638529,1.4499257,1.126152,0.853376,0.272776
3,-0.6749225,-0.48158687,"('repellent', 'pleasant')",-1.641066,-1.7279233,-1.1579943,-1.104755,-0.0532393
59,0.67479336,0.391558,"('foolish', 'wise')",2.0401692,1.8047984,1.3574812,1.0981781,0.2593031
25,0.66368914,-0.06942735,"('egoistic', 'altruistic')",1.0113485,0.5925351,0.8375188,0.2615539,0.5759649
27,-0.65619403,-0.9747927,"('hardhearted', 'softhearted')",-0.6194173,-0.8355088,-0.6378057,-0.9051508,0.2673451
40,0.6391786,0.40114644,"('stingy', 'generous')",-0.28410092,-0.39108333,0.1775388,0.0050316,0.1725072
