,dr_male,dr_female,tuple,horton_male,horton_female,inc_male,inc_female,average_male,average_female,male-female
56,2.8605342,3.3542142,"('impractical', 'practical')",1.575681,1.5999062,0.27462342,0.43642873,1.5702796,1.7968497,-0.2265701
60,2.5798373,3.199751,"('inefficient', 'efficient')",2.1295402,2.1267567,0.2854095,0.602777,1.6649289,1.9764282,-0.3114993
36,-2.568731,-3.5144901,"('hostile', 'amicable')",-1.5361146,-1.7102426,-0.16744392,-0.37348336,-1.4240964,-1.866072,0.4419756
55,2.4460433,3.0599048,"('incompetent', 'clever')",1.8542554,1.89228,0.411292,0.5396538,1.5705303,1.8306128,-0.2600825
62,2.4422898,2.9092667,"('incompetent', 'brilliant')",1.5767074,1.493155,0.48615405,0.5802943,1.5017171,1.6609054,-0.1591883
12,2.3801699,2.212352,"('unsupportive', 'supportive')",0.5031169,0.52202183,-1.2485662,-1.2161219,0.5449069,0.506084,0.0388229
35,-2.3106046,-2.9641538,"('corrupt', 'incorrupt')",-1.2207351,-1.3625544,-0.37671193,-0.65663004,-1.3026838,-1.6611128,0.358429
6,-2.2233226,-2.978841,"('distant', 'open')",-1.9131495,-1.793259,-0.37680975,-0.59376615,-1.5044273,-1.7886221,0.2841948
45,2.200299,2.2709758,"('incompetent', 'competent')",2.3031538,2.4115534,0.5662302,0.46259522,1.6898944,1.7150415,-0.0251471
46,2.1789489,2.750279,"('uncompetitive', 'competitive')",1.7180614,1.5891535,0.41406098,0.33963498,1.4370238,1.5596892,-0.1226654
31,-2.123045,-2.9107435,"('evil', 'good')",-1.8665953,-1.8550593,-1.0686167,-1.3360864,-1.6860857,-2.033963,0.3478773
5,-2.11484,-2.8424802,"('distant', 'outgoing')",-1.7559968,-1.7457198,-0.7783799,-1.0074924,-1.5497389,-1.8652309,0.315492
13,2.1053925,2.6529222,"('impolite', 'polite')",2.6263163,2.6108246,-0.25523117,-0.11103225,1.492159,1.7175716,-0.2254126
85,-2.023579,-3.0112393,"('insignificant', 'prestigious')",-2.240748,-2.4144888,0.43150738,0.15702632,-1.2776066,-1.7562339,0.4786273
0,1.946183,2.1978512,"('unsociable', 'sociable')",1.5631897,1.7058465,0.022026155,0.07167767,1.1771329,1.3251251,-0.1479922
32,1.9236401,1.958723,"('unkind', 'kind')",0.09828933,0.11882229,0.89331275,0.9495326,0.9717474,1.0090259,-0.0372785
30,1.8687259,2.1923194,"('intolerant', 'tolerant')",1.3926916,1.6524677,1.273071,1.3305988,1.5114962,1.7251287,-0.2136325
43,1.8511473,2.1195564,"('irresponsible', 'responsible')",2.4124863,2.3475277,1.0241661,1.1179068,1.7625999,1.8616635,-0.0990636
81,1.7829738,2.3999171,"('submissive', 'aggressive')",0.48066413,0.6808244,-0.43027586,-0.19761111,0.6111207,0.9610434,-0.3499227
79,-1.7169259,-2.1441774,"('wavering', 'unwavering')",-2.117109,-2.0636582,-0.2444511,-0.45455486,-1.3594953,-1.5541302,0.1946349
70,1.7163174,1.944683,"('lethargic', 'energetic')",1.5978233,1.4678918,1.5890981,1.6248844,1.6344129,1.6791531,-0.0447402
57,1.705586,1.5457519,"('unimaginative', 'imaginative')",-0.5091558,-0.5147511,-1.3643885,-1.6599112,-0.0559861,-0.2096368,0.1536507
14,1.6519171,2.026121,"('antisocial', 'social')",1.44739,1.3031291,0.0679159,-0.014598181,1.055741,1.1048839,-0.0491429
25,-1.646213,-1.9676753,"('egoistic', 'altruistic')",0.023249455,0.025613401,1.1269469,1.1600463,-0.1653389,-0.2606719,0.095333
66,-1.6401184,-1.9249068,"('inactive', 'active')",-0.79717714,-0.8231775,0.77247536,0.5282046,-0.55494,-0.7399599,0.1850199
10,1.6345241,2.1249132,"('unsympathetic', 'sympathetic')",0.49472767,0.70803773,0.33964282,0.48475224,0.8229648,1.1059011,-0.2829363
69,-1.5851384,-2.0712786,"('lazy', 'industrious')",-0.7630301,-0.70808184,-0.488245,-0.6540141,-0.9454712,-1.1444581,0.1989869
51,1.5801694,2.0351484,"('uneducated', 'educated')",0.8888797,1.0183204,0.091843426,0.32382908,0.8536309,1.125766,-0.2721351
63,1.5477248,1.7276939,"('unperceptive', 'insightful')",0.96597743,1.0826066,1.4089471,1.4605991,1.3075498,1.4236331,-0.1160833
52,-1.5374267,-2.1556761,"('irrational', 'rational')",-1.9198854,-1.8687372,-0.29001793,-0.48622695,-1.24911,-1.5035467,0.2544367
22,1.5373026,1.5861224,"('untrustworthy', 'trustworthy')",1.4818935,1.6213275,-0.32272467,-0.2736895,0.8988238,0.9779201,-0.0790963
11,1.5213077,1.8022712,"('unhelpful', 'helpful')",0.3654267,0.42084396,1.9523499,2.059259,1.2796947,1.4274581,-0.1477634
16,-1.4743077,-1.801979,"('unpopular', 'popular')",-1.6655906,-1.6881046,0.24447314,0.10706805,-0.9651417,-1.1276719,0.1625302
41,1.436907,1.1013652,"('unforgiving', 'forgiving')",1.2437106,1.3716916,0.10840954,0.1282787,0.9296758,0.8671118,0.062564
21,1.4005933,1.9152554,"('immoral', 'moral')",1.0368205,1.1255383,-0.49655372,-0.37326545,0.6469533,0.8891761,-0.2422228
74,1.2602081,1.1209494,"('undedicated', 'dedicated')",1.1446354,1.0473616,0.63542,0.6268133,1.0134212,0.9317082,0.081713
65,1.2334731,1.8238221,"('insecure', 'secure')",2.1596782,2.1311977,-0.1925738,-0.054744743,1.0668592,1.3000917,-0.2332325
23,1.2105843,1.6865121,"('insincere', 'sincere')",0.58880025,0.72303545,5.0119333,5.2819366,2.2704393,2.5638282,-0.2933889
44,-1.2016406,-1.3131925,"('prejudiced', 'unprejudiced')",-0.8137975,-1.1419603,-1.2649374,-1.5123156,-1.0934585,-1.3224894,0.2290309
47,1.1846656,1.3623208,"('stupid', 'smart')",0.2868726,0.440793,4.842065,5.10255,2.1045343,2.301888,-0.1973537
53,-1.1218289,-1.2167485,"('uncreative', 'creative')",-0.5255864,-0.45930347,0.5212039,0.5371869,-0.3754038,-0.3796217,0.0042179
80,1.1093823,1.5373259,"('dominated', 'dominating')",1.9323114,2.0218892,-0.8631901,-1.002271,0.7261678,0.8523146,-0.1261468
86,1.0832232,1.2681786,"('uninfluential', 'influential')",0.31703794,0.36993352,-0.10097206,-0.069967754,0.4330964,0.5227148,-0.0896184
37,1.0421963,1.1222337,"('fake', 'genuine')",1.1438841,1.1919657,0.60978657,0.6047864,0.9319557,0.9729953,-0.0410396
48,1.0190356,1.0677395,"('unintelligent', 'intelligent')",0.95423526,0.9034163,0.38909188,0.48761404,0.7874543,0.8195899,-0.0321356
54,-0.94672585,-1.0983441,"('incapable', 'capable')",-0.67154706,-0.92491937,0.6824398,0.6593477,-0.3119444,-0.4546386,0.1426942
42,0.9407702,0.7640926,"('unreliable', 'reliable')",0.43012065,0.48424768,-2.4116797,-2.5175605,-0.3469296,-0.4230734,0.0761438
72,0.89558846,1.0091697,"('unambitious', 'ambitious')",0.20827805,0.26028654,-1.0579542,-0.9059818,0.0153041,0.1211582,-0.1058541
19,-0.8854724,-1.0952003,"('inhospitable', 'hospitable')",-1.3744068,-1.2290154,-0.553183,-0.54290205,-0.9376874,-0.9557059,0.0180185
64,0.87406003,0.9711928,"('shy', 'confident')",0.68301576,0.75673217,-5.5003514,-5.453956,-1.3144252,-1.2420104,-0.0724148
59,-0.7705325,-1.2387358,"('foolish', 'wise')",-0.7899269,-0.7318206,0.15893456,0.11059238,-0.4671749,-0.619988,0.1528131
33,-0.76052845,-1.0499383,"('wrong', 'right')",0.54966676,0.7131533,-0.9548708,-1.0400352,-0.3885775,-0.4589401,0.0703626
50,-0.74306184,-0.8842283,"('clumsy', 'skillful')",-0.4270843,-0.2602193,0.2515106,0.31039518,-0.3062118,-0.2780175,-0.0281943
17,-0.7344676,-0.97481203,"('nasty', 'nice')",-0.60907376,-0.8096023,-0.599541,-0.6738893,-0.6476941,-0.8194345,0.1717404
8,-0.7019379,-1.3686557,"('unaffectionate', 'affectionate')",-1.1582026,-1.196171,0.6450656,0.5357624,-0.405025,-0.6763547,0.2713297
39,0.6760985,0.8532929,"('exploitative', 'cooperative')",2.1432035,2.270395,0.2883243,0.35050184,1.0358755,1.1580633,-0.1221878
75,-0.6270424,-1.0054332,"('meek', 'impulsive')",-2.0179234,-1.8747332,-0.34067866,-0.5434747,-0.9952148,-1.1412137,0.1459989
84,0.5924936,0.4855359,"('inferior', 'superior')",1.0944538,1.2216635,1.1998389,1.1874416,0.9622621,0.9648803,-0.0026182
24,0.5836855,0.5843611,"('dishonest', 'honest')",0.6778061,1.0146505,0.339901,0.4455586,0.5337975,0.6815234,-0.1477259
71,0.5315106,0.34548402,"('diffident', 'self-confident')",1.3622991,1.0552833,0.7913993,0.5184233,0.8950697,0.6397302,0.2553395
1,-0.5290384,-1.1454747,"('unfriendly', 'friendly')",-0.46290344,-0.6786575,1.1939461,1.0371689,0.0673348,-0.2623211,0.3296559
9,0.5257444,0.06407057,"('unaffectionate', 'caring')",-0.21750124,-0.27223602,1.0529708,1.0561352,0.453738,0.2826566,0.1710814
78,0.49172437,0.6652003,"('nonresilient', 'resilient')",0.5481568,0.4828362,0.8890306,0.90841615,0.6429706,0.6854843,-0.0425137
28,-0.4881435,-0.48278162,"('disloyal', 'loyal')",-0.17864068,-0.037068248,0.9443919,0.8458996,0.0925359,0.1086832,-0.0161473
18,-0.46276632,-0.65481883,"('disagreeable', 'welcoming')",-0.7542757,-0.7302654,-0.80724394,-0.7399416,-0.6747619,-0.7083419,0.03358
76,0.45892063,1.0069349,"('anxious', 'daring')",1.3195938,1.3249815,0.42656744,0.57875645,0.7350273,0.9702242,-0.2351969
27,-0.45447046,-0.8411136,"('hardhearted', 'softhearted')",-0.2610074,-0.44948483,0.9660277,0.8479269,0.0835166,-0.1475572,0.2310738
29,-0.4073712,-0.6631719,"('unfair', 'fair')",-0.24237019,-0.35878432,-0.8056045,-0.9240102,-0.4851153,-0.6486555,0.1635402
2,0.38845822,0.25224122,"('unlikable', 'likable')",0.6643615,0.5391243,0.2253223,0.2650139,0.4260473,0.3521265,0.0739208
40,0.34255987,0.061461627,"('stingy', 'generous')",-0.27023867,-0.22035156,-1.4075118,-1.4025369,-0.4450636,-0.5204756,0.075412
58,0.33148956,-0.014573678,"('undiscriminating', 'discriminating')",0.9884903,0.58475894,0.4752374,0.16096702,0.5984058,0.2437174,0.3546884
20,0.32039082,0.2838348,"('rough', 'thoughtful')",0.7025585,0.5599592,1.3312744,1.337019,0.7847412,0.7269376,0.0578036
87,0.28658953,0.42835343,"('unsuccessful', 'successful')",1.6572104,1.5373583,1.3546487,1.073021,1.0994829,1.0129109,0.086572
