,edison_male,edison_female,tuple,international_male,international_female,average_male,average_female,male-female
26,2.9032876,2.6802988,"('hardhearted', 'benevolent')",0.9089125,1.3318284,1.9061,2.0060635,-0.0999635
22,-1.7146022,-1.5319085,"('untrustworthy', 'trustworthy')",-0.89748645,-0.8524242,-1.3060443,-1.1921663,-0.113878
45,-1.4763733,-1.5299993,"('incompetent', 'competent')",-0.0053273775,-0.12048409,-0.7408503,-0.8252417,0.0843914
3,-1.4555464,-1.4898394,"('repellent', 'pleasant')",0.5648492,0.13911085,-0.4453486,-0.6753643,0.2300157
42,-1.317407,-0.92980987,"('unreliable', 'reliable')",-3.1370234,-3.1601894,-2.2272153,-2.0449996,-0.1822157
77,-1.2936832,-1.2734385,"('unmotivated', 'motivated')",-0.9176228,-1.1696914,-1.105653,-1.221565,0.115912
29,-1.2881389,-1.347633,"('unfair', 'fair')",-0.7751643,-0.8963702,-1.0316516,-1.1220016,0.09035
82,-1.2760229,-1.1146473,"('poor', 'rich')",5.742975,5.280776,2.2334762,2.0830643,0.1504119
50,-1.2748058,-1.0899105,"('clumsy', 'skillful')",0.20096903,0.14422676,-0.5369184,-0.4728419,-0.0640765
54,-1.2341049,-1.1458813,"('incapable', 'capable')",0.88256824,0.8927257,-0.1757683,-0.1265778,-0.0491905
51,-1.2191432,-0.98127973,"('uneducated', 'educated')",0.642452,0.65696144,-0.2883456,-0.1621591,-0.1261865
64,-1.2037095,-0.90028775,"('shy', 'confident')",-6.757619,-6.3756533,-3.9806643,-3.6379704,-0.3426939
81,-1.1975485,-0.6385135,"('submissive', 'aggressive')",-0.24848555,-0.45895684,-0.723017,-0.5487351,-0.1742819
72,1.1715025,1.0986152,"('unambitious', 'ambitious')",-0.12751018,-0.28922457,0.5219961,0.4046953,0.1173008
73,1.0824469,1.0840266,"('helpless', 'self-reliant')",-4.082775,-3.770663,-1.500164,-1.3433182,-0.1568458
70,-1.0811696,-0.8132124,"('lethargic', 'energetic')",0.84036374,0.46023905,-0.1204029,-0.1764867,0.0560838
69,1.0723108,0.8108974,"('lazy', 'industrious')",-0.8197452,-0.3684445,0.1262828,0.2212265,-0.0949437
9,1.048816,1.1268308,"('unaffectionate', 'caring')",1.4546349,1.4296284,1.2517254,1.2782296,-0.0265042
10,-1.0366839,-0.8525029,"('unsympathetic', 'sympathetic')",0.22483644,-0.36040542,-0.4059237,-0.6064541,0.2005304
23,-1.0226922,-0.55169976,"('insincere', 'sincere')",6.89228,6.5629983,2.9347939,3.0056493,-0.0708554
46,-1.0062537,-1.0080886,"('uncompetitive', 'competitive')",-0.24048296,-0.60452294,-0.6233683,-0.8063058,0.1829375
76,-0.9621872,-0.6965966,"('anxious', 'daring')",0.80103564,0.5386694,-0.0805758,-0.0789636,-0.0016122
0,-0.95186013,-0.76275766,"('unsociable', 'sociable')",-0.16795579,-0.3282179,-0.559908,-0.5454878,-0.0144202
36,0.92554843,0.56422025,"('hostile', 'amicable')",-0.11153153,0.29149142,0.4070084,0.4278558,-0.0208474
16,-0.9250068,-0.9785483,"('unpopular', 'popular')",0.08479723,0.30619317,-0.4201048,-0.3361776,-0.0839272
27,0.896065,0.6875504,"('hardhearted', 'softhearted')",0.8941774,0.65273887,0.8951212,0.6701447,0.2249765
33,0.89282656,0.9008077,"('wrong', 'right')",-0.29917094,0.07362439,0.2968278,0.487216,-0.1903882
13,-0.84471077,-0.28002954,"('impolite', 'polite')",0.2797428,0.3649308,-0.282484,0.0424506,-0.3249346
68,-0.8173693,-0.82656777,"('dependent', 'independent')",-0.27857715,-0.48534688,-0.5479732,-0.6559573,0.1079841
63,-0.79472256,-0.82587504,"('unperceptive', 'insightful')",1.0997406,0.83509195,0.152509,0.0046085,0.1479005
