,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,male-female
85,2.129076,2.1275277,"('insignificant', 'prestigious')",-1.3341994,-1.3906918,0.3974383,0.368418,0.0290203
71,1.99177,1.8100957,"('diffident', 'self-confident')",1.1758045,1.1128155,1.5837872,1.4614556,0.1223316
34,1.9893289,1.7817461,"('mean', 'honorable')",5.567427,5.362496,3.778378,3.5721211,0.2062569
22,-1.8292029,-1.1448847,"('untrustworthy', 'trustworthy')",-0.91046935,-0.60890114,-1.3698361,-0.8768929,-0.4929432
9,1.7700868,1.7256616,"('unaffectionate', 'caring')",1.6437119,1.5173998,1.7068994,1.6215308,0.0853686
27,1.454845,1.1429722,"('hardhearted', 'softhearted')",0.73791736,0.6703124,1.0963812,0.9066423,0.1897389
26,1.4268676,2.3051474,"('hardhearted', 'benevolent')",0.34440982,0.86868256,0.8856387,1.586915,-0.7012763
12,1.4236906,1.515683,"('unsupportive', 'supportive')",-0.9130086,-0.82690275,0.255341,0.3443902,-0.0890492
80,-1.3778045,-1.1179334,"('dominated', 'dominating')",-0.29434103,0.025957156,-0.8360728,-0.5459881,-0.2900847
44,-1.3223209,-1.3375981,"('prejudiced', 'unprejudiced')",-1.1586007,-1.1118187,-1.2404609,-1.2247083,-0.0157526
31,-1.2986282,-0.9793868,"('evil', 'good')",-2.2231863,-2.2338438,-1.7609072,-1.6066153,-0.1542919
86,-1.2933676,-0.91987854,"('uninfluential', 'influential')",0.23050469,0.685802,-0.5314314,-0.1170383,-0.4143931
23,1.2780523,1.2371616,"('insincere', 'sincere')",7.6881895,7.507453,4.4831209,4.3723073,0.1108136
72,1.1922721,0.8652159,"('unambitious', 'ambitious')",0.4919267,0.52418244,0.8420994,0.6946992,0.1474002
2,1.169186,1.5206126,"('unlikable', 'likable')",0.25182706,0.37723473,0.7105066,0.9489236,-0.238417
29,-1.142648,-0.956462,"('unfair', 'fair')",-1.3759806,-1.1091286,-1.2593143,-1.0327953,-0.226519
39,1.1065845,1.1106877,"('exploitative', 'cooperative')",0.4649284,0.55875206,0.7857565,0.8347199,-0.0489634
30,1.1028202,1.4165626,"('intolerant', 'tolerant')",1.3412957,1.5609127,1.2220579,1.4887376,-0.2666797
45,-1.0535468,-0.5732958,"('incompetent', 'competent')",0.5165648,0.83070517,-0.268491,0.1287047,-0.3971957
15,1.0457952,1.3968018,"('boring', 'funny')",-0.1808732,-0.0013559228,0.432461,0.697723,-0.265262
37,-1.0420431,-0.9152717,"('fake', 'genuine')",0.73178077,0.73039705,-0.1551312,-0.0924373,-0.0626939
73,0.99355346,1.2188684,"('helpless', 'self-reliant')",-3.6808615,-3.6378248,-1.343654,-1.2094781,-0.1341759
