,sigma_male,sigma_female,tuple,aldrich_male,aldrich_female,corp_male,corp_female,average_male,average_female,male-female
55,2.0548203,1.8462241,"('incompetent', 'clever')",-0.8421394,-1.1105783,0.4644553,0.059144996,0.5590454,0.2649302,0.2941152
4,-2.0383446,-2.0732362,"('disliked', 'liked')",0.009488683,0.8043374,-6.9244585,-6.2835073,-2.9844383,-2.5174688,-0.4669695
20,1.9371078,1.8087618,"('rough', 'thoughtful')",0.08716928,0.09085952,1.101874,1.0827634,1.0420504,0.9941282,0.0479222
31,-1.7997868,-2.1073246,"('evil', 'good')",0.00015309919,0.17517704,-1.3799853,-0.9897263,-1.059873,-0.9739579,-0.0859151
6,-1.7853619,-1.7636217,"('distant', 'open')",0.33610392,0.76360273,-1.1621667,-0.6572855,-0.8704749,-0.5524348,-0.3180401
60,1.6349406,1.7570425,"('inefficient', 'efficient')",-1.1396378,-1.4445777,0.060932446,-0.33461607,0.1854118,-0.0073837,0.1927955
65,1.6348888,1.2879614,"('insecure', 'secure')",-0.6602391,-1.4673884,0.23084499,-0.23014535,0.4018315,-0.1365241,0.5383556
79,-1.5836822,-1.9990921,"('wavering', 'unwavering')",0.34391978,0.11463164,-0.5200018,-0.30437875,-0.5865881,-0.7296131,0.143025
23,1.575902,1.4470781,"('insincere', 'sincere')",-2.0020485,-2.232475,5.230263,4.645748,1.6013722,1.2867837,0.3145885
35,-1.4749774,-1.5812082,"('corrupt', 'incorrupt')",1.4374427,1.6035037,-0.7191769,-0.4415677,-0.2522372,-0.1397574,-0.1124798
62,1.4662511,1.7976122,"('incompetent', 'brilliant')",-0.9327023,-0.6391653,0.47328052,0.65007275,0.3356098,0.6028399,-0.2672301
12,1.4518899,1.3957452,"('unsupportive', 'supportive')",-0.94493145,-0.6816895,-2.2864583,-2.0614061,-0.5931666,-0.4491168,-0.1440498
9,1.4033655,1.3796587,"('unaffectionate', 'caring')",-1.0858274,-0.85985595,1.0309244,1.1720651,0.4494875,0.5639559,-0.1144684
52,-1.3376586,-1.5739743,"('irrational', 'rational')",-0.02538943,0.08793461,0.09598555,0.22755536,-0.4223542,-0.4194947,-0.0028595
69,-1.3312284,-1.2663449,"('lazy', 'industrious')",2.0185063,1.9937431,-0.7539831,-0.3356912,-0.0222351,0.130569,-0.1528041
36,-1.3167112,-1.5375745,"('hostile', 'amicable')",0.5817902,0.70537686,-0.27442017,-0.20734541,-0.336447,-0.3465143,0.0100673
71,1.2921629,1.1300335,"('diffident', 'self-confident')",-0.08007762,0.020184383,0.09660476,0.2681941,0.43623,0.472804,-0.036574
75,-1.2714725,-1.2522554,"('meek', 'impulsive')",1.0483162,1.2123046,-0.5172241,-0.24819027,-0.2467934,-0.096047,-0.1507464
78,1.2614855,1.2177689,"('nonresilient', 'resilient')",-0.6620608,-0.48619026,0.5932285,0.66226244,0.3975511,0.4646137,-0.0670626
0,1.2260784,0.8150538,"('unsociable', 'sociable')",-1.9426918,-2.2088594,-0.5875956,-0.9746871,-0.4347363,-0.7894975,0.3547612
57,-1.2089071,-1.2789689,"('unimaginative', 'imaginative')",-1.9497709,-1.6232467,-3.3683305,-3.4086504,-2.1756695,-2.103622,-0.0720475
72,1.1053777,1.6935091,"('unambitious', 'ambitious')",-1.1769241,-0.72136426,-0.46944618,-0.11339981,-0.1803309,0.2862483,-0.4665792
43,1.1035591,1.1242596,"('irresponsible', 'responsible')",-1.511953,-1.5690076,0.19309805,-0.13016523,-0.0717653,-0.1916378,0.1198725
16,-1.0921327,-1.4603142,"('unpopular', 'popular')",-0.41755304,-0.3518445,0.2422705,0.1673572,-0.4224718,-0.5482671,0.1257953
