,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,male-female
39,2.3001034,2.2463613,"('exploitative', 'cooperative')",-0.12129751,0.084327474,1.0894029,1.1653444,-0.0759415
29,-2.0165172,-1.7237242,"('unfair', 'fair')",-1.0997162,-1.1047394,-1.5581167,-1.4142318,-0.1438849
16,-2.012567,-2.0566924,"('unpopular', 'popular')",-0.16129202,-0.16682965,-1.0869296,-1.111761,0.0248314
12,1.7939844,1.8563796,"('unsupportive', 'supportive')",-1.3369731,-1.0419261,0.2285057,0.4072267,-0.178721
74,1.6765028,1.4808071,"('undedicated', 'dedicated')",-0.10446481,-0.34890598,0.786019,0.5659505,0.2200685
9,1.5501552,1.5132953,"('unaffectionate', 'caring')",0.79865676,1.0938092,1.1744059,1.3035523,-0.1291464
72,1.5248063,1.5805755,"('unambitious', 'ambitious')",-0.62080044,-0.50393623,0.4520029,0.5383196,-0.0863167
66,1.5156103,1.3691796,"('inactive', 'active')",-0.20381415,-0.03785137,0.6558981,0.6656641,-0.009766
4,-1.4389172,-1.2451115,"('disliked', 'liked')",-7.557361,-6.6323495,-4.4981394,-3.9387305,-0.5594089
45,-1.4072748,-1.4604229,"('incompetent', 'competent')",-0.07635928,-0.52508765,-0.7418171,-0.9927553,0.2509382
31,-1.3969223,-1.0536339,"('evil', 'good')",-2.269655,-1.8103633,-1.8332887,-1.4319986,-0.4012901
85,1.3158653,1.8179616,"('insignificant', 'prestigious')",-1.3206496,-0.54452026,-0.0023922,0.6367207,-0.6391129
80,1.2942498,1.1346194,"('dominated', 'dominating')",0.00596413,-0.20549384,0.650107,0.4645628,0.1855442
21,1.2882867,0.9064732,"('immoral', 'moral')",0.39178902,-0.0957468,0.8400378,0.4053632,0.4346746
24,1.2137254,1.1674199,"('dishonest', 'honest')",-0.25637525,-0.38654512,0.4786751,0.3904374,0.0882377
63,1.1417168,1.2556226,"('unperceptive', 'insightful')",0.6569583,0.6904001,0.8993375,0.9730114,-0.0736739
76,1.0742226,0.7117737,"('anxious', 'daring')",0.783095,0.23290059,0.9286588,0.4723371,0.4563217
71,1.0653152,1.211236,"('diffident', 'self-confident')",0.28880876,0.49902147,0.677062,0.8551288,-0.1780668
68,-1.0353434,-0.9225198,"('dependent', 'independent')",-0.92083377,-0.8678453,-0.9780886,-0.8951825,-0.0829061
84,1.0331521,1.0917721,"('inferior', 'superior')",-0.32400888,0.1472452,0.3545716,0.6195086,-0.264937
73,0.9649582,1.2679704,"('helpless', 'self-reliant')",-3.2594764,-2.5401628,-1.1472591,-0.6360962,-0.5111629
7,0.94465715,0.839167,"('insensitive', 'sensitive')",0.94563544,0.75170463,0.9451463,0.7954358,0.1497105
54,0.9412167,0.7377873,"('incapable', 'capable')",0.7258778,0.83390325,0.8335472,0.7858453,0.0477019
3,-0.94004214,-0.91382265,"('repellent', 'pleasant')",0.74336904,0.2730774,-0.0983365,-0.3203726,0.2220361
8,0.8680596,0.8061946,"('unaffectionate', 'affectionate')",-0.27838007,0.10249476,0.2948397,0.4543447,-0.159505
53,0.85599756,0.84099376,"('uncreative', 'creative')",0.14362343,0.2509544,0.4998105,0.5459741,-0.0461636
