,cme_male,cme_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,1.5850263,1.6870233,"('exploitative', 'cooperative')",1.7702705,1.8516318,0.04730983,0.02299623,1.1342022,1.1872171,-0.0530149
56,1.502222,1.2940552,"('impractical', 'practical')",1.4994677,1.3715626,0.5185851,0.59812975,1.1734249,1.0879159,0.085509
1,-1.4116192,-1.4525274,"('unfriendly', 'friendly')",-0.149983,-0.48189718,0.9793837,0.93707055,-0.1940728,-0.3324514,0.1383786
8,-1.362853,-1.4099059,"('unaffectionate', 'affectionate')",-0.39375946,-0.5126336,0.13980664,0.08586487,-0.5389353,-0.6122249,0.0732896
9,-1.2321873,-1.2767441,"('unaffectionate', 'caring')",-0.17460951,-0.38848954,0.8231616,0.7420335,-0.1945451,-0.3077334,0.1131883
18,-1.1715536,-0.9532168,"('disagreeable', 'welcoming')",-1.1012721,-0.736162,-0.77726454,-0.49316105,-1.0166968,-0.7275132,-0.2891836
36,-1.1690497,-1.2972426,"('hostile', 'amicable')",-1.9087293,-2.112174,-0.3688648,-0.55272275,-1.1488813,-1.3207131,0.1718318
6,-1.1588929,-1.198242,"('distant', 'open')",-2.317768,-2.4148633,-0.48934856,-0.59832424,-1.3220032,-1.4038099,0.0818067
67,1.122673,1.2640599,"('doubtful', 'determined')",0.63043565,0.77210295,-0.44626474,-0.29461294,0.4356147,0.5805167,-0.144902
73,1.076533,1.1370189,"('helpless', 'self-reliant')",0.17713816,0.0049089445,-3.3760223,-3.243692,-0.7074504,-0.7005881,-0.0068623
25,-1.0574702,-0.6897042,"('egoistic', 'altruistic')",-0.89991033,-0.52847445,0.81614494,0.91374445,-0.3804119,-0.1014781,-0.2789338
53,-1.005893,-0.7952419,"('uncreative', 'creative')",-0.054894604,0.07763908,1.1154435,1.1937542,0.0182186,0.1587171,-0.1404985
62,0.9944316,0.75308645,"('incompetent', 'brilliant')",1.5784651,1.3333541,0.5377466,0.58646387,1.0368811,0.8909682,0.1459129
42,0.97529036,0.77108526,"('unreliable', 'reliable')",1.3904092,1.1797068,-2.3942714,-2.2549944,-0.0095239,-0.1014008,0.0918769
60,0.96510893,1.1059307,"('inefficient', 'efficient')",2.1466079,2.2488196,0.28856915,0.6217309,1.1334287,1.3254937,-0.192065
27,-0.95467025,-0.78426534,"('hardhearted', 'softhearted')",-0.38118073,-0.12686095,0.9934827,1.1753001,-0.1141227,0.088058,-0.2021807
48,-0.8790754,-0.702281,"('unintelligent', 'intelligent')",0.05854642,0.30281377,0.29255447,0.6219399,-0.1759915,0.0741576,-0.2501491
78,-0.86384887,-0.84087276,"('nonresilient', 'resilient')",0.6268303,0.56466365,-0.21985105,-0.050998107,-0.1522899,-0.1090691,-0.0432208
86,-0.8419189,-0.99372935,"('uninfluential', 'influential')",0.38252792,0.20337583,-0.16691566,-0.15563744,-0.2087689,-0.3153303,0.1065614
64,0.83408284,0.7123799,"('shy', 'confident')",1.3734959,1.2661192,-5.7097044,-5.652544,-1.1673752,-1.2246816,0.0573064
69,0.8243161,1.0686283,"('lazy', 'industrious')",-0.1617303,0.02969132,-0.7871471,-0.6354013,-0.0415204,0.1543061,-0.1958265
66,-0.8003396,-1.0860866,"('inactive', 'active')",0.38711122,0.21383017,0.78670394,0.6167057,0.1244919,-0.0851836,0.2096755
2,0.78865093,0.78948236,"('unlikable', 'likable')",1.5676633,1.585225,0.6483609,0.768673,1.0015584,1.0477934,-0.046235
79,-0.7763765,-1.0492454,"('wavering', 'unwavering')",-2.1176264,-2.2745085,-0.30937263,-0.4293742,-1.0677919,-1.2510427,0.1832508
