,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
57,-2.48343,-2.3495479,"('unimaginative', 'imaginative')",-1.3741689,-1.3495533,-0.4837634,-0.35075673,-2.4088814,-2.3977525,-1.6875608,-1.6119027,-0.0756581
10,-2.339482,-2.2440941,"('unsympathetic', 'sympathetic')",-1.5934578,-1.561168,-0.61436456,-0.7784261,-0.26069883,-0.31109625,-1.2020009,-1.2236961,0.0216952
48,-2.0895624,-2.051844,"('unintelligent', 'intelligent')",0.10295038,0.10920775,-0.48210824,-0.62729543,0.18969604,0.096906364,-0.5697561,-0.6182563,0.0485002
1,-2.053395,-2.0091846,"('unfriendly', 'friendly')",-0.30808005,-0.43905482,0.19575465,0.056637943,1.9962319,1.7878366,-0.0423721,-0.1509412,0.1085691
28,-2.017723,-1.9467288,"('disloyal', 'loyal')",0.051214,0.07873654,-0.27133855,-0.26300216,1.100973,1.0415198,-0.2842186,-0.2723686,-0.01185
11,-1.9861543,-1.9497348,"('unhelpful', 'helpful')",-1.1239057,-1.0682348,-1.1082041,-1.181816,1.5082372,1.5912772,-0.6775067,-0.6521271,-0.0253796
41,-1.9677529,-1.7838367,"('unforgiving', 'forgiving')",0.13487461,0.17782998,-0.0722747,0.14001586,0.34312907,0.31482622,-0.390506,-0.2877912,-0.1027148
0,-1.9568346,-1.8583565,"('unsociable', 'sociable')",-0.42914602,-0.37348616,-0.12379124,-0.14095786,-0.6365052,-0.63397646,-0.7865692,-0.7516942,-0.034875
86,-1.9411093,-1.8577523,"('uninfluential', 'influential')",-0.62457424,-0.67452955,-0.33284226,-0.34492865,-0.16680828,-0.30160534,-0.7663336,-0.794704,0.0283704
69,1.9125018,1.6554004,"('lazy', 'industrious')",1.8008318,1.7437853,0.6217766,0.57939714,-0.32440016,-0.41957524,1.0026776,0.8897519,0.1129257
63,-1.8544681,-1.6569695,"('unperceptive', 'insightful')",-0.71698165,-0.6612708,1.5310329,1.4519259,1.0637635,1.0652199,0.0058367,0.0497263,-0.0438896
73,1.837071,1.8492709,"('helpless', 'self-reliant')",0.7144989,0.7088193,-0.37264872,-0.3561492,-3.392278,-3.3604054,-0.3033392,-0.2896161,-0.0137231
35,1.7596192,1.6228076,"('corrupt', 'incorrupt')",0.428885,0.32568845,-0.7902184,-0.79151964,0.20322268,0.09513424,0.4003771,0.3130277,0.0873494
45,-1.7245297,-1.7113329,"('incompetent', 'competent')",-0.6139993,-0.57533234,-0.22339812,-0.0601184,-0.4959004,-0.4678061,-0.7644569,-0.7036474,-0.0608095
12,-1.6827154,-1.5440378,"('unsupportive', 'supportive')",0.13410579,0.0811114,0.13406985,-0.008353367,-1.4514288,-1.5183507,-0.7164922,-0.7474076,0.0309154
46,-1.6441889,-1.5365778,"('uncompetitive', 'competitive')",-0.9757396,-0.96074307,0.99354166,0.99620056,-0.48309052,-0.4289131,-0.5273693,-0.4825084,-0.0448609
21,-1.6254418,-1.6418442,"('immoral', 'moral')",-0.18403709,-0.0940994,0.23901583,0.1556244,-0.68021816,-0.7720027,-0.5626703,-0.5880805,0.0254102
23,-1.6220891,-1.4670087,"('insincere', 'sincere')",-0.2238341,-0.18606585,-0.42504612,-0.57276773,5.6075625,5.621896,0.8341483,0.8490134,-0.0148651
53,-1.5855316,-1.4057404,"('uncreative', 'creative')",-1.8239533,-1.7692478,0.45645952,0.4214521,1.1275916,1.0834622,-0.4563584,-0.4175185,-0.0388399
55,-1.5669837,-1.610529,"('incompetent', 'clever')",-0.4588372,-0.35842928,0.011148157,0.049685284,-0.22863613,-0.19852097,-0.5608272,-0.5294485,-0.0313787
