,harman_male,harman_female,tuple,intl_male,intl_female,inds_male,inds_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.2163486,-1.6878953,"('unsympathetic', 'sympathetic')",-1.8080552,-1.5244771,-0.79916453,-0.65326935,0.36252257,0.39547363,-1.1152614,-0.867542,-0.2477194
48,-2.0672257,-1.9196198,"('unintelligent', 'intelligent')",-1.6248561,-1.4192535,-0.61302835,-0.45129666,0.32404757,0.41372102,-0.9952657,-0.8441122,-0.1511535
3,-2.012079,-1.8192296,"('repellent', 'pleasant')",-0.67247355,-0.53519624,-0.18370385,-0.044126745,0.3872767,0.36290145,-0.620245,-0.5089128,-0.1113322
1,-1.9362547,-1.6559018,"('unfriendly', 'friendly')",-2.3131979,-2.1711414,-1.921201,-1.8641404,0.73314357,0.98745424,-1.3593774,-1.1759323,-0.1834451
86,-1.8431737,-1.5746616,"('uninfluential', 'influential')",-1.8632288,-1.7470053,-1.5929488,-1.651281,-0.08575279,-0.19377163,-1.346276,-1.29168,-0.054596
60,-1.8232445,-1.2340208,"('inefficient', 'efficient')",-0.87790954,-0.40197775,0.66340566,1.1042267,0.35905218,0.56098735,-0.419674,0.0073039,-0.4269779
32,-1.7777333,-1.6964123,"('unkind', 'kind')",-0.50029117,-0.41497433,0.39613968,0.4967621,1.0635505,1.1757385,-0.2045836,-0.1097216,-0.094862
23,-1.7355576,-1.3213581,"('insincere', 'sincere')",-1.3375746,-0.99398685,-0.24940284,0.027365694,5.5091724,5.7568703,0.5466594,0.8672228,-0.3205634
21,-1.7283283,-1.3178385,"('immoral', 'moral')",-1.6303668,-1.2978833,-0.79318804,-0.43503258,-1.2226189,-1.1434494,-1.3436255,-1.048551,-0.2950745
24,-1.5991324,-1.2977343,"('dishonest', 'honest')",-1.1953795,-0.86169106,-0.48790768,-0.17428577,1.012562,1.1817491,-0.5674644,-0.2879905,-0.2794739
28,-1.5332556,-1.4736077,"('disloyal', 'loyal')",-1.9319965,-1.8431543,-1.4550178,-1.4567343,1.193883,1.0564574,-0.9315968,-0.9292597,-0.0023371
7,-1.5018033,-1.4095784,"('insensitive', 'sensitive')",-0.61837655,-0.5877919,0.049710415,0.050149977,0.7795736,0.7585461,-0.3227239,-0.2971686,-0.0255553
77,-1.4367796,-1.3628799,"('unmotivated', 'motivated')",-0.9760679,-0.88986915,-0.7402554,-0.70661104,-1.090708,-1.0759995,-1.0609527,-1.0088398,-0.0521129
35,1.4231672,1.20462,"('corrupt', 'incorrupt')",0.81588775,0.47559446,-0.09824224,-0.3886301,-0.43228894,-0.514866,0.4271309,0.1941796,0.2329513
55,-1.3911824,-1.1265545,"('incompetent', 'clever')",-1.1609405,-0.9772147,-0.612226,-0.38305488,0.41354024,0.2824306,-0.6877022,-0.5510984,-0.1366038
81,-1.3729945,-1.0309583,"('submissive', 'aggressive')",-0.18444753,0.15336144,0.5247961,0.83263963,-0.3854828,-0.2399627,-0.3545322,-0.07123,-0.2833022
27,-1.3517611,-1.485535,"('hardhearted', 'softhearted')",-1.0271226,-1.204083,-0.68887323,-0.7577013,0.7840374,0.64601916,-0.5709299,-0.7003251,0.1293952
57,-1.3217626,-1.0608021,"('unimaginative', 'imaginative')",-0.50594145,-0.5443482,-0.32930088,-0.517434,-1.9222121,-2.0932462,-1.0198042,-1.0539577,0.0341535
0,-1.3119625,-0.9367226,"('unsociable', 'sociable')",-1.3648758,-1.2096832,-0.6380184,-0.52859855,-0.29601792,-0.3998916,-0.9027187,-0.768724,-0.1339947
53,-1.2737657,-1.158277,"('uncreative', 'creative')",-1.1349738,-1.1676941,-0.620759,-0.7754573,1.210933,1.0135534,-0.4546414,-0.5219688,0.0673274
69,1.2298625,0.77344435,"('lazy', 'industrious')",1.7587717,1.3739194,1.3270233,1.0123166,-0.8776042,-0.9460875,0.8595133,0.5533983,0.306115
73,1.213576,1.2954314,"('helpless', 'self-reliant')",0.325107,0.16610996,-0.45912662,-0.5902032,-3.922231,-3.835105,-0.7106687,-0.7409417,0.030273
76,-1.1040529,-0.89501065,"('anxious', 'daring')",0.48892614,0.5799612,0.95340997,1.0064242,1.0418286,0.90028167,0.345028,0.3979141,-0.0528861
40,-1.1029978,-1.0240501,"('stingy', 'generous')",-0.639799,-0.72650003,-0.65678644,-0.71734697,-1.5196323,-1.6057192,-0.9798039,-1.0184041,0.0386002
88,-1.0609149,-1.040415,"('low', 'eminent')",-0.7525449,-0.76551306,-0.039936684,-0.10984969,0.4233489,0.40370783,-0.3575119,-0.3780175,0.0205056
65,-1.041509,-1.0038426,"('insecure', 'secure')",-0.37848407,-0.2822262,0.61347806,0.7023375,-0.22051229,-0.13042349,-0.2567568,-0.1785387,-0.0782181
16,-1.0383595,-1.2039273,"('unpopular', 'popular')",0.23147401,-0.15148327,-0.3427813,-0.7239269,0.44079086,0.27258024,-0.177219,-0.4516893,0.2744703
14,-1.0322559,-0.8301992,"('antisocial', 'social')",-0.12098372,0.15722455,1.007565,1.2863942,-0.30614817,-0.28531924,-0.1129557,0.0820251,-0.1949808
46,-1.0215697,-0.76615405,"('uncompetitive', 'competitive')",-1.0828887,-0.9526921,-0.8381238,-0.7378421,0.124242835,0.053934902,-0.7045848,-0.6006883,-0.1038965
59,0.9697711,0.7661368,"('foolish', 'wise')",0.110426724,-0.14008752,-0.6417417,-0.98306465,-0.5204954,-0.455224,-0.0205098,-0.2030599,0.1825501
62,-0.96162516,-0.44154993,"('incompetent', 'brilliant')",-0.8650927,-0.4192489,-0.5552966,-0.18299904,0.08091343,0.31933078,-0.5752752,-0.1811168,-0.3941584
4,0.95301056,0.95281845,"('disliked', 'liked')",-0.056000356,-0.2893886,-0.5885978,-0.9397305,-5.916965,-6.106963,-1.4021381,-1.5958159,0.1936778
22,-0.93675035,-0.64530057,"('untrustworthy', 'trustworthy')",-1.0067422,-0.83564377,-0.42936584,-0.28996798,-1.417274,-1.400223,-0.9475331,-0.7927839,-0.1547492
75,0.91502684,1.0478572,"('meek', 'impulsive')",0.81975985,0.77066976,-0.3540749,-0.45495415,-0.52885705,-0.3598326,0.2129637,0.250935,-0.0379713
70,-0.90746,-0.70785886,"('lethargic', 'energetic')",-0.09406543,-0.045333274,0.42720693,0.34913012,1.3142645,1.1888446,0.1849865,0.1961956,-0.0112091
41,-0.8709712,-0.51728576,"('unforgiving', 'forgiving')",-0.73451173,-0.57070875,-0.021336585,0.065398395,-0.029902168,0.05474201,-0.4141804,-0.2419635,-0.1722169
19,0.86853766,0.98506117,"('inhospitable', 'hospitable')",-0.6962934,-0.6428403,-1.3988718,-1.310966,-0.7218621,-0.6061954,-0.4871224,-0.3937351,-0.0933873
49,-0.8458217,-0.6845194,"('unable', 'able')",-1.067067,-0.8680551,-1.1824055,-0.95287836,-0.88264656,-0.52726066,-0.9944852,-0.7581784,-0.2363068
61,-0.8001751,-0.7778634,"('illogical', 'logical')",-0.7350083,-0.67277503,-0.48345876,-0.49949092,0.0028803316,-0.11077201,-0.5039405,-0.5152253,0.0112848
