,celgene_male,celgene_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.5284176,-2.2593424,"('unsympathetic', 'sympathetic')",-0.28749046,-0.5428731,-1.407954,-1.4011078,-0.0068462
69,2.2699273,1.8821365,"('lazy', 'industrious')",-0.76752084,-0.9002366,0.7512032,0.4909499,0.2602533
43,-1.9320986,-1.7624608,"('irresponsible', 'responsible')",0.30096042,0.13612679,-0.8155691,-0.813167,-0.0024021
28,-1.8556526,-1.6047239,"('disloyal', 'loyal')",0.6868946,1.0615785,-0.584379,-0.2715727,-0.3128063
60,-1.7644315,-1.3250494,"('inefficient', 'efficient')",-0.059189845,-0.15720278,-0.9118106,-0.7411261,-0.1706845
45,-1.6847486,-1.3199944,"('incompetent', 'competent')",0.26531723,0.123187646,-0.7097157,-0.5984034,-0.1113123
57,-1.6529088,-1.3330734,"('unimaginative', 'imaginative')",-3.027567,-3.0299115,-2.3402379,-2.1814923,-0.1587456
23,-1.6191591,-1.2198735,"('insincere', 'sincere')",5.559524,6.146209,1.9701824,2.4631677,-0.4929853
11,-1.6187518,-1.3243749,"('unhelpful', 'helpful')",1.5900815,1.7386127,-0.0143352,0.2071189,-0.2214541
86,-1.5944111,-1.7134726,"('uninfluential', 'influential')",0.28961957,-0.22532086,-0.6523958,-0.9693967,0.3170009
85,1.5336583,1.0496143,"('insignificant', 'prestigious')",-0.2418087,-0.38599825,0.6459248,0.331808,0.3141168
13,-1.4802146,-1.480042,"('impolite', 'polite')",-0.57484293,-1.044486,-1.0275288,-1.262264,0.2347352
0,-1.4698613,-1.357526,"('unsociable', 'sociable')",0.030426286,-0.27536723,-0.7197175,-0.8164466,0.0967291
81,-1.4597502,-1.3259376,"('submissive', 'aggressive')",-0.6734861,-0.8766923,-1.0666182,-1.101315,0.0346968
35,1.4017634,1.3038895,"('corrupt', 'incorrupt')",-0.77091944,-0.62833595,0.315422,0.3377768,-0.0223548
25,1.3939565,1.3690482,"('egoistic', 'altruistic')",1.3845932,1.4458392,1.3892748,1.4074438,-0.018169
46,-1.383883,-1.1270195,"('uncompetitive', 'competitive')",-0.6788246,-0.76604205,-1.0313538,-0.9465308,-0.084823
55,-1.3358898,-1.0322902,"('incompetent', 'clever')",0.691028,0.5052077,-0.3224309,-0.2635413,-0.0588896
62,-1.2106858,-0.6796575,"('incompetent', 'brilliant')",0.5427393,1.0358574,-0.3339733,0.1781,-0.5120733
21,-1.1987524,-1.0931146,"('immoral', 'moral')",-0.2510602,-0.5347246,-0.7249063,-0.8139196,0.0890133
24,-1.1812737,-1.0019032,"('dishonest', 'honest')",0.5478575,0.6946051,-0.3167081,-0.153649,-0.1630591
30,-1.175174,-1.1503282,"('intolerant', 'tolerant')",0.5894934,0.45552856,-0.2928403,-0.3473998,0.0545595
56,-1.1692773,-0.65091753,"('impractical', 'practical')",-0.59069735,-0.422599,-0.8799874,-0.5367582,-0.3432292
36,1.1310695,0.7621373,"('hostile', 'amicable')",-0.34070796,-0.3885159,0.3951808,0.1868107,0.2083701
