,hudson_male,hudson_female,tuple,city_male,city_female,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,male-female
77,-1.6889883,-1.8093351,"('unmotivated', 'motivated')",-0.58101976,-0.73265094,0.41644165,0.1787498,-1.3867602,-1.3322182,-0.8100817,-0.9238636,0.1137819
88,-1.6371907,-1.7272636,"('low', 'eminent')",-1.1648436,-1.1939468,-1.2201821,-1.2885622,0.55609787,0.60932595,-0.8665296,-0.9001117,0.0335821
53,1.3673147,1.4244211,"('uncreative', 'creative')",-0.4500979,-0.44227776,0.39561987,0.24274842,1.3403105,1.3472852,0.6632868,0.6430442,0.0202426
68,-1.3554634,-1.4559628,"('dependent', 'independent')",-0.7943801,-0.9081081,-1.9394687,-2.0201833,-0.621412,-0.7498157,-1.177681,-1.2835176,0.1058366
16,-1.2324631,-1.1501582,"('unpopular', 'popular')",-0.8441542,-0.9083093,-0.03167135,-0.030425005,0.2670583,0.16061857,-0.4603075,-0.4820685,0.021761
73,1.187495,1.3851111,"('helpless', 'self-reliant')",1.4854733,1.5489454,1.1437105,1.1408014,-3.310074,-3.1637948,0.1266512,0.2277657,-0.1011145
65,-1.1760018,-1.284961,"('insecure', 'secure')",-0.89215475,-1.0046649,-0.61919224,-0.75138956,-0.2898669,-0.25463256,-0.7443039,-0.823912,0.0796081
50,-1.1665821,-1.1134605,"('clumsy', 'skillful')",-0.5454111,-0.3823053,0.57245827,0.49071553,0.49250942,0.608871,-0.1617564,-0.0990448,-0.0627116
9,1.1557474,1.2881535,"('unaffectionate', 'caring')",0.14672703,0.19870284,0.7118118,0.8268756,1.525749,1.5845422,0.8850088,0.9745685,-0.0895597
12,1.1245404,1.06657,"('unsupportive', 'supportive')",1.2127314,1.0756446,-0.4041847,-0.35537,-1.4875743,-1.30276,0.1113782,0.1210212,-0.009643
40,1.0741098,0.9093389,"('stingy', 'generous')",0.78693986,0.67338,1.2028916,1.1176037,-1.2794385,-1.2829744,0.4461257,0.3543371,0.0917886
71,1.0345873,1.1085172,"('diffident', 'self-confident')",1.2631841,1.2161988,0.9139948,1.1413114,0.6390501,0.535948,0.9627041,1.0004939,-0.0377898
25,1.0140018,1.1002508,"('egoistic', 'altruistic')",-0.8768786,-0.71465594,0.93870205,1.0738883,1.5127211,1.5478052,0.6471366,0.7518221,-0.1046855
5,0.98297536,1.2825224,"('distant', 'outgoing')",0.55661786,0.75471216,1.5769129,1.7483015,-0.26261136,-0.15895745,0.7134737,0.9066446,-0.1931709
52,0.9667523,1.121744,"('irrational', 'rational')",0.33628199,0.48455888,0.50658786,0.54935807,-0.12457741,-0.19275077,0.4212612,0.4907276,-0.0694664
32,-0.9404521,-0.876567,"('unkind', 'kind')",0.15042429,0.2510752,0.21542078,0.19132115,1.6045325,1.7722422,0.2574814,0.3345179,-0.0770365
33,0.93132055,1.037738,"('wrong', 'right')",0.67669356,0.61722946,1.65183,1.7503245,-0.6979008,-0.76997256,0.6404858,0.6588299,-0.0183441
14,-0.87354517,-0.93090403,"('antisocial', 'social')",0.089421466,0.000495296,-0.9748364,-0.99723494,-0.9326768,-0.9260504,-0.6729093,-0.7134235,0.0405142
8,0.86586756,1.0173261,"('unaffectionate', 'affectionate')",-0.34569034,-0.23540796,-0.23269576,-0.04669468,0.909364,0.9714373,0.2992114,0.4266652,-0.1274538
46,-0.86577636,-1.1737627,"('uncompetitive', 'competitive')",0.39067876,0.020815406,-0.8684607,-1.2999957,-0.58288676,-0.5576337,-0.4816113,-0.7526441,0.2710328
6,0.85999566,1.156181,"('distant', 'open')",0.14918418,0.42556152,1.3235979,1.4373875,0.5790585,0.55478597,0.727959,0.893479,-0.16552
44,-0.8248749,-0.74620783,"('prejudiced', 'unprejudiced')",0.100687616,0.21402517,-0.29308176,-0.22403732,-1.4334694,-1.3904548,-0.6126846,-0.5366687,-0.0760159
27,0.81835,0.7409452,"('hardhearted', 'softhearted')",0.1055335,0.097349145,0.035380542,-0.011707097,1.5279213,1.4184115,0.6217964,0.5612497,0.0605467
82,-0.81580925,-0.95636195,"('poor', 'rich')",-1.1510499,-1.0801498,-1.4809664,-1.4124196,6.2075357,6.1072383,0.6899276,0.6645768,0.0253508
49,-0.8130569,-0.83202904,"('unable', 'able')",-1.3326135,-1.3277324,-0.5795371,-0.63977486,-0.34267792,-0.3486862,-0.7669713,-0.7870556,0.0200843
84,-0.77379245,-0.7876966,"('inferior', 'superior')",-1.860788,-1.9390521,-0.38782483,-0.32226717,0.5071466,0.561102,-0.6288146,-0.6219785,-0.0068361
48,-0.77025163,-0.945703,"('unintelligent', 'intelligent')",-0.8234563,-0.97660875,-1.4647521,-1.4325371,0.55030775,0.57628065,-0.6270381,-0.6946421,0.067604
72,0.7486344,0.9140804,"('unambitious', 'ambitious')",0.5851687,0.7268647,-0.8898239,-0.8722042,-0.9153125,-0.7287892,-0.1178333,0.0099879,-0.1278212
81,-0.7444774,-0.86087334,"('submissive', 'aggressive')",0.14919198,0.05439794,-1.5014282,-1.5286721,-0.78375566,-0.8188087,-0.7201173,-0.788489,0.0683717
21,-0.73367083,-0.92458177,"('immoral', 'moral')",0.1106268,-0.14620759,-0.93827367,-1.2222241,-0.6721599,-0.7064811,-0.5583694,-0.7498736,0.1915042
78,-0.67189837,-0.83281255,"('nonresilient', 'resilient')",-0.39029923,-0.49406347,0.7118472,0.46341786,0.48671404,0.44584617,0.0340909,-0.104403,0.1384939
64,-0.6547323,-0.64108616,"('shy', 'confident')",-0.37071878,-0.44262084,-0.85684043,-0.8519717,-6.646391,-6.410316,-2.1321707,-2.0864987,-0.045672
10,-0.6049135,-0.78334206,"('unsympathetic', 'sympathetic')",-0.61128205,-0.77027494,-2.4520066,-2.5819833,0.039432548,-0.0067656846,-0.9071924,-1.0355915,0.1283991
55,-0.602825,-0.9339713,"('incompetent', 'clever')",-0.77834076,-1.0298086,-2.430311,-2.597692,-0.14069216,-0.17877129,-0.9880422,-1.1850609,0.1970187
80,0.60083836,0.28086174,"('dominated', 'dominating')",0.7158163,0.3746054,-0.48961747,-0.75076693,-0.971397,-1.1505839,-0.0360899,-0.3114709,0.275381
60,-0.6004997,-0.6795727,"('inefficient', 'efficient')",0.28881845,0.26515737,-0.9402168,-1.1095207,0.064037494,0.24733108,-0.2969652,-0.3191512,0.022186
