,anthem_male,anthem_female,tuple,inc_male,inc_female,average_male,average_female,male-female
60,3.112956,3.7604103,"('inefficient', 'efficient')",0.71939474,0.7568988,1.9161754,2.2586546,-0.3424792
52,-2.9609995,-3.564875,"('irrational', 'rational')",-0.50741065,-0.6450915,-1.734205,-2.1049831,0.3707781
56,2.5834079,2.9841928,"('impractical', 'practical')",0.19207962,0.28328145,1.3877437,1.6337371,-0.2459934
23,2.4576848,2.7034023,"('insincere', 'sincere')",6.0657516,6.265311,4.2617183,4.4843564,-0.2226381
62,2.3969817,2.5650399,"('incompetent', 'brilliant')",0.664966,0.5941682,1.5309739,1.579604,-0.0486301
31,-2.3218448,-2.911834,"('evil', 'good')",-1.2106262,-1.2859653,-1.7662356,-2.0988996,0.332664
75,-1.9915485,-2.4651272,"('meek', 'impulsive')",-0.5667865,-0.65938854,-1.2791675,-1.5622579,0.2830904
36,-1.9121853,-2.8925023,"('hostile', 'amicable')",-0.4084211,-0.4572379,-1.1603032,-1.6748701,0.5145669
43,1.9021864,2.1083167,"('irresponsible', 'responsible')",0.8513974,1.0756694,1.376792,1.5919931,-0.2152011
7,1.8840652,2.4775138,"('insensitive', 'sensitive')",0.8509233,1.0995947,1.3674942,1.7885542,-0.42106
48,1.8703605,1.9520952,"('unintelligent', 'intelligent')",0.8181074,0.83934146,1.344234,1.3957183,-0.0514843
10,1.770182,2.261057,"('unsympathetic', 'sympathetic')",-0.20456985,0.04998131,0.7828061,1.1555191,-0.372713
4,-1.7445902,-2.500243,"('disliked', 'liked')",-6.966383,-7.20406,-4.3554864,-4.8521514,0.496665
72,1.6807519,1.6043227,"('unambitious', 'ambitious')",-0.33144426,-0.42877555,0.6746538,0.5877736,0.0868802
24,1.665001,1.9081762,"('dishonest', 'honest')",0.8211913,0.9572905,1.2430961,1.4327333,-0.1896372
66,-1.6390283,-1.7467623,"('inactive', 'active')",0.28981087,0.2907062,-0.6746087,-0.7280281,0.0534194
70,1.6381798,2.1760573,"('lethargic', 'energetic')",0.7957609,1.0236051,1.2169703,1.5998312,-0.3828609
6,-1.627579,-2.487156,"('distant', 'open')",0.0014494509,0.042677276,-0.8130648,-1.2222394,0.4091746
55,1.6159258,2.1731627,"('incompetent', 'clever')",0.32993037,0.29698506,0.972928,1.2350739,-0.2621459
16,-1.5956938,-2.085358,"('unpopular', 'popular')",-0.029808208,-0.18531716,-0.812751,-1.1353376,0.3225866
35,-1.5826428,-2.2053726,"('corrupt', 'incorrupt')",-0.52259445,-0.6002895,-1.0526186,-1.4028311,0.3502125
81,1.5178676,2.469567,"('submissive', 'aggressive')",-0.4207999,-0.3746652,0.5485338,1.0474509,-0.4989171
13,1.4799845,2.1088803,"('impolite', 'polite')",-0.5917238,-0.4031948,0.4441304,0.8528427,-0.4087123
5,-1.4362074,-2.2210474,"('distant', 'outgoing')",-0.44923773,-0.44682312,-0.9427226,-1.3339353,0.3912127
86,1.4282932,1.5787952,"('uninfluential', 'influential')",-0.0064919814,-0.0019774772,0.7109006,0.7884089,-0.0775083
59,-1.4185325,-1.81952,"('foolish', 'wise')",0.38394094,0.3650353,-0.5172958,-0.7272424,0.2099466
30,1.3389496,2.1319823,"('intolerant', 'tolerant')",1.0962429,1.3859326,1.2175963,1.7589574,-0.5413611
27,1.3382148,1.1437045,"('hardhearted', 'softhearted')",1.5414834,1.4083248,1.4398491,1.2760147,0.1638344
65,1.3051139,1.9803473,"('insecure', 'secure')",-0.06581697,0.092537075,0.6196485,1.0364422,-0.4167937
63,1.2982776,1.2891321,"('unperceptive', 'insightful')",1.0158293,1.090165,1.1570535,1.1896486,-0.0325951
64,-1.2467786,-1.0572851,"('shy', 'confident')",-6.7829995,-6.744192,-4.0148892,-3.9007387,-0.1141505
44,-1.2328386,-1.354827,"('prejudiced', 'unprejudiced')",-1.187224,-1.3317447,-1.2100313,-1.3432858,0.1332545
19,-1.1853547,-1.6737797,"('inhospitable', 'hospitable')",-0.2108025,-0.24905962,-0.6980786,-0.9614197,0.2633411
39,1.1825845,1.3925667,"('exploitative', 'cooperative')",-0.098808624,0.09914619,0.5418879,0.7458564,-0.2039685
12,1.1731246,0.9849493,"('unsupportive', 'supportive')",-1.6755615,-1.7008259,-0.2512185,-0.3579383,0.1067198
61,1.094513,1.1739497,"('illogical', 'logical')",0.15750895,0.19038731,0.626011,0.6821685,-0.0561575
21,1.0936587,1.5758501,"('immoral', 'moral')",-0.62613046,-0.4318315,0.2337641,0.5720093,-0.3382452
76,1.0667436,1.5420418,"('anxious', 'daring')",0.44335544,0.5443649,0.7550495,1.0432034,-0.2881539
29,-1.0563905,-1.3729147,"('unfair', 'fair')",-0.24972089,-0.07034647,-0.6530557,-0.7216306,0.0685749
14,1.0559222,1.9314985,"('antisocial', 'social')",-0.86490035,-0.6789624,0.0955109,0.626268,-0.5307571
0,1.0539118,1.3908666,"('unsociable', 'sociable')",-0.24766767,-0.09115033,0.4031221,0.6498582,-0.2467361
32,1.0032947,1.2166309,"('unkind', 'kind')",0.84822506,0.93977237,0.9257599,1.0782017,-0.1524418
9,0.9924352,0.4800461,"('unaffectionate', 'caring')",1.2787031,1.2559266,1.1355691,0.8679863,0.2675828
28,0.98323125,0.80761576,"('disloyal', 'loyal')",1.2242007,1.2262259,1.103716,1.0169208,0.0867952
11,0.93681854,0.97968596,"('unhelpful', 'helpful')",2.00442,2.150773,1.4706193,1.5652295,-0.0946102
88,0.8827078,0.90240204,"('low', 'eminent')",0.115351394,-0.008191099,0.4990296,0.4471055,0.0519241
17,-0.8117187,-0.7948681,"('nasty', 'nice')",-0.65982455,-0.51509005,-0.7357717,-0.6549791,-0.0807926
80,0.7851084,1.1556329,"('dominated', 'dominating')",-1.3062458,-1.3858538,-0.2605687,-0.1151105,-0.1454582
34,0.782731,0.7725616,"('mean', 'honorable')",5.731875,5.9470057,3.257303,3.3597836,-0.1024806
38,0.7774364,0.42001492,"('untruthful', 'truthful')",-0.10510561,-0.2271992,0.3361654,0.0964079,0.2397575
51,0.77019334,1.1074007,"('uneducated', 'educated')",0.19399579,0.15100472,0.4820946,0.6292027,-0.1471081
20,0.74062794,0.8771773,"('rough', 'thoughtful')",1.1848043,1.2202129,0.9627161,1.0486951,-0.085979
42,0.737056,0.5924721,"('unreliable', 'reliable')",-2.629365,-2.5596514,-0.9461545,-0.9835896,0.0374351
69,-0.7281042,-1.2286439,"('lazy', 'industrious')",-0.8302042,-0.9325939,-0.7791542,-1.0806189,0.3014647
50,-0.7196541,-1.2123694,"('clumsy', 'skillful')",0.36217454,0.24213535,-0.1787398,-0.485117,0.3063772
78,0.7009648,0.3346858,"('nonresilient', 'resilient')",0.15867025,0.12505504,0.4298175,0.2298704,0.1999471
85,-0.68035394,-1.7191006,"('insignificant', 'prestigious')",-0.08484453,-0.28867236,-0.3825992,-1.0038865,0.6212873
