,corning_male,corning_female,tuple,inc_male,inc_female,average_male,average_female,male-female
31,-1.7720437,-2.071884,"('evil', 'good')",-1.4073665,-1.5733776,-1.5897051,-1.8226308,0.2329257
36,-1.6727378,-1.8168758,"('hostile', 'amicable')",-0.40161687,-0.5437527,-1.0371773,-1.1803143,0.143137
1,-1.6568865,-2.1867065,"('unfriendly', 'friendly')",1.5014828,1.2193327,-0.0777018,-0.4836869,0.4059851
60,1.4696342,1.379261,"('inefficient', 'efficient')",0.7896182,0.7120382,1.1296262,1.0456496,0.0839766
53,-1.3928952,-1.5119733,"('uncreative', 'creative')",0.77773386,0.57146364,-0.3075807,-0.4702548,0.1626741
6,-1.3616585,-1.5701107,"('distant', 'open')",0.0341904,-0.052274585,-0.663734,-0.8111926,0.1474586
88,-1.2436218,-1.4581271,"('low', 'eminent')",0.28005782,0.25705528,-0.481782,-0.6005359,0.1187539
5,-1.2219511,-1.4511324,"('distant', 'outgoing')",-0.47707328,-0.51107496,-0.8495122,-0.9811037,0.1315915
56,1.1961658,1.1157165,"('impractical', 'practical')",0.41678092,0.27140108,0.8064734,0.6935588,0.1129146
30,1.1567025,1.3196325,"('intolerant', 'tolerant')",1.5560757,1.5392435,1.356389,1.429438,-0.073049
42,1.1171668,1.3788325,"('unreliable', 'reliable')",-2.8650587,-3.0013208,-0.873946,-0.8112442,-0.0627018
39,1.0723546,1.1690434,"('exploitative', 'cooperative')",-0.18014263,0.011276369,0.446106,0.5901599,-0.1440539
79,-1.058801,-1.1635388,"('wavering', 'unwavering')",-0.011195501,0.01470653,-0.5349983,-0.5744162,0.0394179
13,1.0205257,0.8099093,"('impolite', 'polite')",0.11799603,-0.064361036,0.5692608,0.3727741,0.1964867
16,-1.0147783,-1.2422756,"('unpopular', 'popular')",0.13863987,-0.12115331,-0.4380692,-0.6817145,0.2436453
18,-1.0109564,-0.9897252,"('disagreeable', 'welcoming')",-0.5300583,-0.410457,-0.7705073,-0.7000911,-0.0704162
80,0.9581416,1.1422396,"('dominated', 'dominating')",-1.2477386,-1.0969956,-0.1447985,0.022622,-0.1674205
85,-0.9277586,-1.3061122,"('insignificant', 'prestigious')",-0.39048886,-0.39896467,-0.6591237,-0.8525384,0.1934147
70,0.92695487,1.1230224,"('lethargic', 'energetic')",1.1458589,1.1275383,1.0364069,1.1252804,-0.0888735
67,0.9084348,1.0523409,"('doubtful', 'determined')",-0.050451037,-0.04572408,0.4289919,0.5033084,-0.0743165
