,black_male,black_female,tuple,&_male,&_female,decker_male,decker_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.1542025,-2.0405726,"('unsympathetic', 'sympathetic')",-2.9866438,-3.0155387,-3.8859746,-3.9875612,-0.86656827,-1.0506011,-2.4733474,-2.5235684,0.050221
30,-2.0285609,-1.6338269,"('intolerant', 'tolerant')",-2.1148179,-1.8807452,-2.4352612,-2.1625705,0.20008789,0.33652246,-1.594638,-1.335155,-0.259483
0,-1.6804445,-1.8457994,"('unsociable', 'sociable')",-1.5165122,-1.5530088,-1.6569992,-1.7654388,-0.33243963,-0.4278765,-1.2965988,-1.3980309,0.1014321
45,-1.6803926,-1.5701586,"('incompetent', 'competent')",-1.7942731,-1.9193738,-2.3776202,-2.1800172,-0.29019454,-0.2736919,-1.5356201,-1.4858105,-0.0498096
57,-1.6470551,-1.8557336,"('unimaginative', 'imaginative')",-2.0441887,-2.125538,-3.4020123,-3.5882106,-3.2059734,-3.5223072,-2.5748074,-2.7729473,0.1981399
13,-1.494874,-1.0958523,"('impolite', 'polite')",-2.1491458,-1.6625919,-2.469785,-2.2054803,-1.0162082,-0.73524106,-1.7825032,-1.4247913,-0.3577119
34,-1.4721665,-1.4118589,"('mean', 'honorable')",-0.8165082,-0.58208627,0.34332877,0.2046572,5.194068,5.1139855,0.8121805,0.8311744,-0.0189939
6,1.4595886,1.5978241,"('distant', 'open')",1.2968423,1.0877707,2.8461437,2.5493042,-0.07860559,-0.3359366,1.3809923,1.2247406,0.1562517
81,-1.4591866,-1.2062237,"('submissive', 'aggressive')",-2.0570107,-1.7026012,-3.7612052,-3.5553885,-1.4050345,-1.1479965,-2.1706092,-1.9030524,-0.2675568
55,-1.4504635,-1.5765231,"('incompetent', 'clever')",-1.4844292,-1.7907673,-3.9220324,-3.8315349,-0.1530691,-0.2926561,-1.7524985,-1.8728703,0.1203718
82,-1.390859,-1.2039218,"('poor', 'rich')",-0.79181373,-0.8760311,-1.8943207,-1.8278096,5.7931485,5.419927,0.4290388,0.3780411,0.0509977
47,-1.3775551,-1.3956485,"('stupid', 'smart')",-0.60716105,-0.7057984,-2.0249221,-2.0248122,4.7222404,4.239768,0.1781505,0.0283773,0.1497732
22,-1.3603249,-1.4004966,"('untrustworthy', 'trustworthy')",-0.7463066,-0.9729817,-1.6988953,-1.6498433,-1.0476171,-1.1775278,-1.2132859,-1.3002124,0.0869265
11,-1.341085,-1.4161909,"('unhelpful', 'helpful')",-2.8951786,-2.73408,-2.6234913,-2.7204826,1.6354821,1.5171863,-1.3060682,-1.3383918,0.0323236
41,-1.3238472,-1.3054764,"('unforgiving', 'forgiving')",-0.57655996,-0.66117084,-0.19333981,-0.38090008,0.3259134,0.1012409,-0.4419584,-0.5615766,0.1196182
56,-1.3147883,-0.7508806,"('impractical', 'practical')",-2.5236015,-2.0013008,-2.0081286,-1.6726537,-1.2091558,-0.72969794,-1.7639186,-1.2886333,-0.4752853
69,1.3055472,1.1541351,"('lazy', 'industrious')",2.0300257,2.230144,2.7000465,2.640866,-0.36596942,-0.24658059,1.4174125,1.4446412,-0.0272287
65,-1.2984295,-1.2479751,"('insecure', 'secure')",-1.0983196,-0.9771043,-2.7028704,-2.5727963,-0.6939513,-0.6396815,-1.4483926,-1.3593893,-0.0890033
85,1.2949338,1.0959677,"('insignificant', 'prestigious')",2.0267625,1.7494147,3.2427049,2.7265499,0.36511773,-0.002405398,1.7323797,1.3923817,0.339998
70,-1.2904311,-1.0208026,"('lethargic', 'energetic')",-1.807734,-1.6808705,-2.5810332,-2.4691894,-0.442274,-0.39112434,-1.5303681,-1.3904966,-0.1398715
48,-1.2896246,-1.4760134,"('unintelligent', 'intelligent')",-1.1909074,-1.3312567,-2.360475,-2.3883405,0.6632479,0.57867086,-1.0444398,-1.1542349,0.1097951
20,-1.2808447,-1.331377,"('rough', 'thoughtful')",0.08840138,-0.043759078,-0.40227896,-0.36615568,0.7998943,0.74649197,-0.198707,-0.2486999,0.0499929
49,-1.276544,-1.2495694,"('unable', 'able')",-0.6675305,-0.6551715,-0.36265916,-0.30746377,-0.053607896,-0.13500196,-0.5900854,-0.5868016,-0.0032838
33,1.2738968,1.247305,"('wrong', 'right')",1.6323745,1.5576468,1.376423,1.2392355,-0.1289076,-0.22923222,1.0384467,0.9537387,0.084708
35,1.2590765,1.2845886,"('corrupt', 'incorrupt')",1.7682924,1.7411234,3.4706018,3.3129697,-0.27922884,-0.23551297,1.5546855,1.5257921,0.0288934
77,-1.2434609,-1.1258602,"('unmotivated', 'motivated')",-1.2280346,-1.027306,-1.1468382,-1.009893,-1.3427515,-0.9789286,-1.2402713,-1.035497,-0.2047743
60,-1.1859139,-0.7517051,"('inefficient', 'efficient')",-2.003993,-1.6822644,-3.3543725,-2.940183,-0.5861602,-0.17076303,-1.7826099,-1.3862288,-0.3963811
73,1.1788489,1.4021592,"('helpless', 'self-reliant')",0.9014682,1.135274,0.28102282,0.49203068,-3.1084435,-2.8519502,-0.1867759,0.0443784,-0.2311543
62,-1.1571755,-0.6489613,"('incompetent', 'brilliant')",-2.2227545,-1.7983356,-2.3035715,-2.0114095,0.13346002,0.51165044,-1.3875103,-0.986764,-0.4007463
43,-1.0970441,-0.6542678,"('irresponsible', 'responsible')",-2.2927275,-1.953225,-1.6406448,-1.6550846,0.050056256,0.10760074,-1.24509,-1.0387442,-0.2063458
88,-1.0247566,-1.1068592,"('low', 'eminent')",-0.48412174,-0.4020669,-1.6259389,-1.6628938,-0.5110752,-0.60335946,-0.9114731,-0.9437948,0.0323217
50,1.0147113,1.0699595,"('clumsy', 'skillful')",1.981338,1.9974631,0.3918129,0.2420954,0.41318643,-0.018632088,0.9502622,0.8227215,0.1275407
23,-0.9946383,-0.9380802,"('insincere', 'sincere')",-1.9303921,-1.8826516,-1.0342851,-1.037125,5.6062484,5.177847,0.4117332,0.3299975,0.0817357
63,-0.9531178,-0.68326324,"('unperceptive', 'insightful')",-0.52719826,-0.42797083,-1.5970587,-1.6291088,0.93043816,0.8597714,-0.5367341,-0.4701429,-0.0665912
79,0.9371939,1.0023358,"('wavering', 'unwavering')",1.3108075,1.1537533,1.522279,1.3942881,-0.10161256,-0.2443645,0.9171669,0.8265032,0.0906637
59,0.9015979,0.7925789,"('foolish', 'wise')",1.1743039,1.2666728,0.80433285,0.49138388,0.38727114,0.19530702,0.8168765,0.6864856,0.1303909
21,-0.8951373,-0.75844264,"('immoral', 'moral')",-1.0420038,-0.97343814,-3.592072,-3.4382203,-1.1637517,-0.9838298,-1.6732411,-1.5384828,-0.1347583
36,0.85460293,0.42849183,"('hostile', 'amicable')",1.8168099,1.2882677,3.0491772,2.547409,0.04529549,-0.4427299,1.4414715,0.9553597,0.4861118
71,0.80438876,0.88896275,"('diffident', 'self-confident')",0.10214614,0.19484696,2.7456944,2.464156,0.6035083,0.44062626,1.0639344,0.9971479,0.0667865
5,0.790406,0.92543167,"('distant', 'outgoing')",1.2122942,1.0373802,3.46621,3.1534855,0.24371505,0.17826578,1.4281564,1.3236408,0.1045156
64,-0.7821561,-0.63322914,"('shy', 'confident')",-0.12409584,0.1024222,-0.8965463,-0.868624,-6.1631308,-5.645137,-1.9914823,-1.761142,-0.2303403
87,0.7743168,0.53911227,"('unsuccessful', 'successful')",2.0347295,2.09178,0.027043164,-0.17169888,1.5248522,1.3659842,1.0902354,0.9562944,0.133941
17,-0.76826787,-0.8190968,"('nasty', 'nice')",0.097200885,0.24366157,0.5761627,0.6182029,-0.39272532,-0.3934352,-0.1219074,-0.0876669,-0.0342405
27,-0.76419544,-0.7878169,"('hardhearted', 'softhearted')",-1.3603379,-1.2562901,0.17275406,-0.06384933,1.2526149,0.83810085,-0.1747911,-0.3174639,0.1426728
46,-0.76279414,-0.79008925,"('uncompetitive', 'competitive')",-0.8522854,-0.87186486,-3.088507,-3.016031,-1.1548417,-1.1968815,-1.464607,-1.4687166,0.0041096
16,0.7518838,0.3905617,"('unpopular', 'popular')",1.308965,1.1319162,0.03427189,-0.18480136,0.46824738,0.20284298,0.640842,0.3851299,0.2557121
32,-0.7122589,-0.5998178,"('unkind', 'kind')",-1.1324925,-0.9421578,-1.3817346,-1.5803192,0.5866549,0.35331023,-0.6599578,-0.6922462,0.0322884
44,-0.70987844,-0.5160555,"('prejudiced', 'unprejudiced')",-0.29941893,-0.16315565,-1.0382824,-0.82586706,-1.7557144,-1.4803344,-0.9508235,-0.7463531,-0.2044704
