,stryker_male,stryker_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,3.3570957,3.1843069,"('inefficient', 'efficient')",0.13065383,-0.020859879,1.7438748,1.5817235,0.1621513
31,-3.0027652,-2.7077596,"('evil', 'good')",-1.0580251,-1.1241739,-2.030395,-1.9159667,-0.1144283
6,-2.9716353,-2.6976905,"('distant', 'open')",-0.69615686,-0.6458138,-1.8338962,-1.6717522,-0.162144
52,-2.7982955,-2.4774463,"('irrational', 'rational')",-0.059589446,0.026825659,-1.4289424,-1.2253103,-0.2036321
36,-2.6943195,-2.8660228,"('hostile', 'amicable')",-0.17615554,-0.37118205,-1.4352375,-1.6186024,0.1833649
79,-2.601986,-2.6849115,"('wavering', 'unwavering')",-0.5503187,-0.45230448,-1.5761523,-1.568608,-0.0075443
69,-2.5297587,-2.6781216,"('lazy', 'industrious')",-0.9304412,-1.0566883,-1.7300999,-1.8674049,0.137305
4,-2.4691868,-2.2607002,"('disliked', 'liked')",-7.5237546,-7.416954,-4.9964705,-4.8388271,-0.1576434
48,2.453534,2.6259036,"('unintelligent', 'intelligent')",0.6773307,0.8362722,1.5654323,1.7310879,-0.1656556
5,-2.4465165,-2.2827134,"('distant', 'outgoing')",-0.67927873,-0.44207025,-1.5628977,-1.3623918,-0.2005059
16,-2.3162973,-2.468563,"('unpopular', 'popular')",0.25467533,0.14553773,-1.030811,-1.1615126,0.1307016
75,-2.3156447,-2.0872583,"('meek', 'impulsive')",-1.156121,-1.0766501,-1.7358829,-1.5819542,-0.1539287
44,-2.307377,-2.2589333,"('prejudiced', 'unprejudiced')",-1.8322015,-1.9094243,-2.0697894,-2.0841789,0.0143895
66,-2.2921057,-2.2907472,"('inactive', 'active')",-0.13807651,-0.2830676,-1.2150911,-1.2869074,0.0718163
55,2.2321656,1.9850757,"('incompetent', 'clever')",0.35879254,0.2960372,1.2954791,1.1405565,0.1549226
23,1.9971681,1.7885543,"('insincere', 'sincere')",6.373159,6.377478,4.1851635,4.0830164,0.1021471
81,1.9809667,1.605462,"('submissive', 'aggressive')",-0.65528786,-0.61172295,0.6628394,0.4968695,0.1659699
17,-1.9531579,-1.9086125,"('nasty', 'nice')",-1.075296,-0.981983,-1.5142269,-1.4452977,-0.0689292
21,1.8188329,1.7846279,"('immoral', 'moral')",-0.31736106,-0.2665844,0.7507359,0.7590218,-0.0082859
85,-1.81447,-1.8483292,"('insignificant', 'prestigious')",-0.50658625,-0.56636375,-1.1605282,-1.2073464,0.0468182
19,-1.7776858,-1.5333879,"('inhospitable', 'hospitable')",-0.7505432,-0.61954045,-1.2641145,-1.0764642,-0.1876503
14,1.7188919,1.3605485,"('antisocial', 'social')",-0.035008647,-0.2833693,0.8419416,0.5385896,0.303352
10,1.7127439,1.400663,"('unsympathetic', 'sympathetic')",-0.4611265,-0.5362463,0.6258087,0.4322084,0.1936003
28,1.6137356,1.4532666,"('disloyal', 'loyal')",1.5542983,1.6534677,1.5840169,1.5533671,0.0306498
59,-1.602235,-1.4275566,"('foolish', 'wise')",0.14468527,0.31030077,-0.7287748,-0.558628,-0.1701468
76,1.585634,1.4237106,"('anxious', 'daring')",-0.35930926,-0.31734696,0.6131624,0.5531818,0.0599806
12,1.5343978,1.6990458,"('unsupportive', 'supportive')",-1.9372671,-1.7948093,-0.2014346,-0.0478818,-0.1535528
30,1.5108941,1.4389967,"('intolerant', 'tolerant')",0.44818896,0.4360317,0.9795415,0.9375142,0.0420273
62,1.4841264,1.8179554,"('incompetent', 'brilliant')",0.20501415,0.5817449,0.8445703,1.1998501,-0.3552798
78,1.3743699,1.1046197,"('nonresilient', 'resilient')",0.5779,0.7944603,0.9761349,0.94954,0.0265949
