,weatherford_male,weatherford_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,male-female
1,-2.4085255,-2.4870896,"('unfriendly', 'friendly')",-0.0025004223,-0.16516578,1.5519681,1.3207929,-0.2863526,-0.4438209,0.1574683
36,-1.7592013,-1.9834474,"('hostile', 'amicable')",0.15864602,-0.07016106,1.2282121,0.8786443,-0.1241144,-0.3916547,0.2675403
53,-1.7421801,-1.6462935,"('uncreative', 'creative')",-0.58279437,-0.64054656,0.8897379,0.77123284,-0.4784122,-0.5052024,0.0267902
8,-1.6419163,-1.6550124,"('unaffectionate', 'affectionate')",-0.7292213,-0.7318212,0.48258215,0.3206016,-0.6295185,-0.688744,0.0592255
6,-1.5978508,-1.6676688,"('distant', 'open')",-0.042457834,-0.052647322,0.30581087,0.15359719,-0.4448326,-0.5222396,0.077407
18,-1.5509089,-1.2625105,"('disagreeable', 'welcoming')",0.3418234,0.5135782,-1.3170451,-1.2235188,-0.8420436,-0.6574837,-0.1845599
9,-1.4795732,-1.3848711,"('unaffectionate', 'caring')",-0.06362068,-0.05249963,1.0537506,0.937596,-0.1631478,-0.1665916,0.0034438
41,-1.3950292,-1.2792635,"('unforgiving', 'forgiving')",-0.18919337,-0.0912672,0.2620983,0.17215818,-0.4407081,-0.3994575,-0.0412506
77,-1.36203,-1.2020953,"('unmotivated', 'motivated')",-0.2605745,-0.35810587,-0.99255747,-0.97721994,-0.8717206,-0.8458071,-0.0259135
19,-1.3580878,-1.222905,"('inhospitable', 'hospitable')",-1.3290488,-1.0433604,-0.8844174,-0.7611556,-1.1905181,-1.0091403,-0.1813778
25,-1.3437043,-1.435845,"('egoistic', 'altruistic')",0.108472526,-0.014399298,1.3762989,1.2250232,0.0470223,-0.0750737,0.122096
88,-1.2979299,-1.2585722,"('low', 'eminent')",-0.6305889,-0.65429604,-0.2346967,-0.23739687,-0.7210718,-0.7167551,-0.0043167
85,-1.2733004,-1.5005053,"('insignificant', 'prestigious')",-0.6978416,-0.9378624,0.02973945,-0.22243063,-0.6471342,-0.8869328,0.2397986
31,-1.2412412,-1.4684082,"('evil', 'good')",-0.35024178,-0.524645,0.16302063,-0.11574587,-0.4761541,-0.702933,0.2267789
52,-1.2346565,-1.4745963,"('irrational', 'rational')",-1.0155417,-0.9867172,-0.05856915,-0.11407097,-0.7695891,-0.8584615,0.0888724
40,-1.0758018,-1.1214262,"('stingy', 'generous')",0.022336164,-0.114067145,-1.159559,-1.4385978,-0.7376749,-0.8913638,0.1536889
26,-1.0638652,-1.1317658,"('hardhearted', 'benevolent')",1.5634475,1.3989817,2.7758875,2.5199585,1.0918233,0.9290581,0.1627652
86,-1.057296,-0.994428,"('uninfluential', 'influential')",-0.26931623,-0.33073193,-0.079754665,-0.2067891,-0.468789,-0.5106497,0.0418607
32,-1.0117463,-0.820734,"('unkind', 'kind')",-0.7997385,-0.56684256,-0.32178065,-0.1740752,-0.7110885,-0.5205506,-0.1905379
27,-0.9582958,-0.9803238,"('hardhearted', 'softhearted')",-0.5086826,-0.5322815,-0.27731195,-0.5006438,-0.5814301,-0.6710831,0.089653
28,-0.937027,-0.77579933,"('disloyal', 'loyal')",-0.68407923,-0.6692861,0.3103278,0.21784796,-0.4369261,-0.4090792,-0.0278469
63,-0.9361672,-0.626803,"('unperceptive', 'insightful')",0.57968587,0.6998196,0.57362986,0.61229473,0.0723828,0.2284371,-0.1560543
57,-0.9326334,-0.8938231,"('unimaginative', 'imaginative')",0.19327575,-0.03274817,-0.5613026,-0.83058345,-0.4335534,-0.5857182,0.1521648
34,-0.90474963,-0.817791,"('mean', 'honorable')",0.022644963,0.34038466,2.7155638,2.859332,0.611153,0.7939753,-0.1828223
0,-0.89912444,-0.89703995,"('unsociable', 'sociable')",0.09185308,-0.05340735,-0.631825,-0.7100941,-0.4796988,-0.5535138,0.073815
15,-0.89802414,-0.9522007,"('boring', 'funny')",0.069594264,0.06331131,-0.024706692,0.026001077,-0.2843788,-0.2876294,0.0032506
23,-0.8767435,-0.6172352,"('insincere', 'sincere')",-0.529025,-0.269039,2.6462283,2.7307036,0.4134866,0.6148098,-0.2013232
64,0.86698014,0.8621977,"('shy', 'confident')",0.8501336,0.7845242,-3.3676853,-3.2302332,-0.5501905,-0.5278371,-0.0223534
48,-0.8625092,-0.72177416,"('unintelligent', 'intelligent')",-0.6594909,-0.6538386,-0.6137096,-0.6599837,-0.7119033,-0.6785321,-0.0333712
80,0.82115614,0.86655766,"('dominated', 'dominating')",0.39435178,0.1967979,0.7987038,0.6610435,0.6714039,0.5747997,0.0966042
10,-0.8035109,-0.61086553,"('unsympathetic', 'sympathetic')",-1.195234,-1.190931,-1.2149149,-1.3299772,-1.0712199,-1.0439245,-0.0272954
56,0.7898954,1.1359885,"('impractical', 'practical')",1.1995884,1.5716783,0.5246917,0.898462,0.8380585,1.202043,-0.3639845
5,-0.77835804,-0.797829,"('distant', 'outgoing')",0.117986545,0.18679075,0.57966274,0.5164842,-0.0269029,-0.031518,0.0046151
49,-0.76898104,-0.5237692,"('unable', 'able')",-0.6114731,-0.36011422,-0.8037733,-0.4800026,-0.7280758,-0.4546287,-0.2734471
2,-0.76165295,-0.49619094,"('unlikable', 'likable')",0.7187633,1.1303996,0.19964743,0.51886755,0.0522526,0.3843587,-0.3321061
81,0.74263304,0.959016,"('submissive', 'aggressive')",0.108399436,0.20757823,-1.3346914,-1.1307945,-0.1612196,0.0119332,-0.1731528
44,0.7130202,0.68229914,"('prejudiced', 'unprejudiced')",0.35648388,0.36318412,-1.0536479,-0.9827108,0.0052854,0.0209242,-0.0156388
72,-0.6692838,-0.5591727,"('unambitious', 'ambitious')",-0.17769428,-0.048682734,0.79414564,0.8512751,-0.0176108,0.0811399,-0.0987507
87,0.62080383,0.6536928,"('unsuccessful', 'successful')",1.6045429,1.6296171,1.7889868,1.750117,1.3381111,1.3444756,-0.0063645
38,-0.60969424,-0.41486785,"('untruthful', 'truthful')",-0.44672513,-0.16146886,0.24938954,0.3668697,-0.2690099,-0.0698224,-0.1991875
3,-0.60664773,-0.5738193,"('repellent', 'pleasant')",-0.756259,-0.75818884,-0.47938818,-0.50288975,-0.6140983,-0.6116326,-0.0024657
21,-0.60123223,-0.3774109,"('immoral', 'moral')",-0.4973232,-0.3783812,-1.6230139,-1.5146261,-0.9071898,-0.7568061,-0.1503837
51,-0.5905078,-0.30843082,"('uneducated', 'educated')",-0.10426052,0.13741642,-0.5798307,-0.49189794,-0.4248664,-0.2209708,-0.2038956
68,-0.5613028,-0.5039245,"('dependent', 'independent')",-0.3251688,-0.2945691,-1.2759253,-1.3085327,-0.720799,-0.7023421,-0.0184569
16,-0.5592323,-0.5873292,"('unpopular', 'popular')",0.41318703,0.32107246,-0.048493475,-0.14515004,-0.0648462,-0.1371356,0.0722894
43,-0.5519313,-0.33751094,"('irresponsible', 'responsible')",0.4144441,0.67879397,0.8250082,0.88665366,0.2291737,0.4093122,-0.1801385
79,-0.54695064,-0.80428046,"('wavering', 'unwavering')",-0.39036965,-0.56945145,-0.22523062,-0.35609123,-0.387517,-0.5766077,0.1890907
47,-0.54222333,-0.44844067,"('stupid', 'smart')",-0.49940497,-0.28448153,3.5482857,3.6760077,0.8355525,0.9810286,-0.1454761
66,-0.5392491,-0.6773109,"('inactive', 'active')",1.3271239,1.0909672,0.90509987,0.743071,0.5643249,0.3855758,0.1787491
58,-0.5316454,-0.57899266,"('undiscriminating', 'discriminating')",0.8114244,0.56585896,1.0244913,0.6687669,0.4347568,0.2185444,0.2162124
24,-0.51986325,-0.46312743,"('dishonest', 'honest')",-0.33158517,-0.08286434,0.24391052,0.34010053,-0.2025126,-0.0686304,-0.1338822
67,0.51361746,0.4924761,"('doubtful', 'determined')",0.30078807,0.49747717,-0.2845469,-0.16625106,0.1766195,0.2745674,-0.0979479
54,-0.49887115,-0.36270675,"('incapable', 'capable')",-0.017488897,0.115610674,0.03325831,0.21595082,-0.1610339,-0.0103818,-0.1506521
11,-0.49432397,-0.1337217,"('unhelpful', 'helpful')",0.08333582,0.36717436,0.643082,0.75684345,0.0773646,0.3300987,-0.2527341
71,0.48204404,0.4488149,"('diffident', 'self-confident')",0.943433,0.9307162,0.7764208,0.71862465,0.733966,0.6993852,0.0345808
12,-0.44843763,-0.19664758,"('unsupportive', 'supportive')",0.17753266,0.2953982,-0.91774964,-0.8540288,-0.3962182,-0.2517594,-0.1444588
76,0.43841285,0.6166118,"('anxious', 'daring')",0.5697634,0.62680733,-0.63580793,-0.51467526,0.1241228,0.2429146,-0.1187918
75,0.42783362,0.34918493,"('meek', 'impulsive')",0.13880579,0.16871618,-0.76513076,-0.7275191,-0.0661638,-0.0698727,0.0037089
20,-0.42709216,-0.5202001,"('rough', 'thoughtful')",0.3538769,0.22147644,1.2366102,0.9807272,0.3877983,0.2273345,0.1604638
14,0.42093116,0.45883015,"('antisocial', 'social')",0.957593,0.96359783,0.7269282,0.7639571,0.7018174,0.7287951,-0.0269777
82,-0.38021272,-0.09364078,"('poor', 'rich')",-1.3245183,-0.9578576,2.8849642,3.1311636,0.3934111,0.6932217,-0.2998106
83,-0.37685266,-0.28582534,"('powerless', 'powerful')",0.0021650046,0.10940799,-0.35581252,-0.29316756,-0.2435001,-0.1565283,-0.0869718
33,-0.33009142,-0.29954106,"('wrong', 'right')",0.7020548,0.7009661,0.54481596,0.5184221,0.3055931,0.3066157,-0.0010226
35,0.32807717,0.19409369,"('corrupt', 'incorrupt')",-0.57968795,-0.66281575,-0.00042384118,-0.084328346,-0.0840115,-0.1843501,0.1003386
61,-0.32641554,-0.39447966,"('illogical', 'logical')",0.042368624,-0.045573212,0.78268933,0.691255,0.1662141,0.083734,0.0824801
60,0.30348933,0.66013265,"('inefficient', 'efficient')",0.70609766,0.9182623,-0.41003388,-0.12413658,0.1998511,0.4847528,-0.2849017
73,0.28779513,0.38075602,"('helpless', 'self-reliant')",0.4695099,0.5701773,-1.3344582,-1.300543,-0.1923844,-0.1165365,-0.0758479
74,-0.28742114,-0.26877657,"('undedicated', 'dedicated')",0.6132504,0.62665725,0.8061989,0.64678097,0.3773427,0.3348872,0.0424555
30,-0.2860672,0.016661506,"('intolerant', 'tolerant')",0.19760174,0.47741127,-0.020007405,0.198469,-0.0361576,0.2308473,-0.2670049
39,0.2857654,0.39093775,"('exploitative', 'cooperative')",0.43790022,0.69392276,0.7454346,0.86822677,0.4897001,0.6510291,-0.161329
78,-0.27856505,-0.1213505,"('nonresilient', 'resilient')",0.6379937,0.51534975,0.63146114,0.41357476,0.3302966,0.2691913,0.0611053
59,-0.25298753,-0.362641,"('foolish', 'wise')",-0.06381733,-0.069231525,0.20907313,0.19526061,-0.0359106,-0.0788706,0.04296
4,-0.19326991,-0.21626711,"('disliked', 'liked')",0.25164202,0.18523096,-2.7235649,-2.8399804,-0.8883976,-0.9570055,0.0686079
69,0.18489723,-0.10273737,"('lazy', 'industrious')",2.0078046,1.8248073,0.9558259,0.88805443,1.0495092,0.8700414,0.1794678
45,0.15076274,0.20962164,"('incompetent', 'competent')",0.5687012,0.5056295,1.0186203,0.90683174,0.5793614,0.5406943,0.0386671
22,-0.14881785,-0.0045593246,"('untrustworthy', 'trustworthy')",0.023808096,0.061019607,-0.41327277,-0.3259567,-0.1794275,-0.0898321,-0.0895954
62,-0.13769178,0.37323472,"('incompetent', 'brilliant')",0.6156209,1.0074416,0.15929401,0.53186697,0.2124077,0.6375144,-0.4251067
7,0.122827634,0.13295521,"('insensitive', 'sensitive')",-0.009965695,-0.025161758,0.29775745,0.15514585,0.1368731,0.0876464,0.0492267
13,-0.12117352,0.18469267,"('impolite', 'polite')",0.7249474,0.9493115,-0.60488534,-0.42907402,-0.0003705,0.2349767,-0.2353472
46,0.11074102,0.33547986,"('uncompetitive', 'competitive')",0.5291473,0.5607351,-0.69166374,-0.8159616,-0.0172585,0.0267511,-0.0440096
50,-0.1094672,0.011824651,"('clumsy', 'skillful')",-0.6360285,-0.46210346,-0.860276,-0.8339269,-0.5352573,-0.4280686,-0.1071887
29,0.10767021,0.11462937,"('unfair', 'fair')",-0.17191611,-0.057216734,-0.24681261,-0.31587368,-0.1036862,-0.0861537,-0.0175325
17,0.06522208,-0.004515306,"('nasty', 'nice')",-0.9859526,-0.8975844,-1.0779582,-1.048425,-0.6662296,-0.6501749,-0.0160547
42,0.061520226,0.3594534,"('unreliable', 'reliable')",0.15154861,0.4490354,-1.6552863,-1.564197,-0.4807392,-0.2519027,-0.2288365
37,0.060049437,-0.028232552,"('fake', 'genuine')",-0.62325865,-0.598411,0.45128125,0.28604552,-0.0373093,-0.1135327,0.0762234
84,-0.050774503,-0.04160615,"('inferior', 'superior')",0.58551663,0.62317514,0.674003,0.6715773,0.402915,0.4177154,-0.0148004
70,-0.04420015,0.24467924,"('lethargic', 'energetic')",0.3458659,0.5410895,-0.2594975,-0.232227,0.0140561,0.1845139,-0.1704578
55,-0.04230093,0.16872811,"('incompetent', 'clever')",-0.6728472,-0.6745839,-0.49685702,-0.48984545,-0.4040017,-0.3319004,-0.0721013
65,0.02503514,0.12915212,"('insecure', 'secure')",0.17287987,0.20839378,0.12501955,0.18856217,0.1076449,0.1753694,-0.0677245
