,sysco_male,sysco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.7301626,-2.6211274,"('unsympathetic', 'sympathetic')",-0.62091994,-0.49263757,-1.6755413,-1.5568825,-0.1186588
57,-2.20396,-2.173616,"('unimaginative', 'imaginative')",-3.242705,-3.5471513,-2.7233324,-2.8603835,0.1370511
43,-1.927194,-1.6729484,"('irresponsible', 'responsible')",0.013788393,0.078187555,-0.9567028,-0.7973804,-0.1593224
70,-1.8071529,-1.5349387,"('lethargic', 'energetic')",-0.18528208,-0.085716896,-0.9962175,-0.8103278,-0.1858897
7,-1.7885443,-1.4153917,"('insensitive', 'sensitive')",-0.0974065,0.10876098,-0.9429754,-0.6533154,-0.28966
69,1.7568102,1.7765816,"('lazy', 'industrious')",-0.8091039,-0.6412732,0.4738531,0.5676543,-0.0938012
0,-1.5822198,-1.8317748,"('unsociable', 'sociable')",-0.42779812,-0.64009947,-1.0050089,-1.2359371,0.2309282
55,-1.5613619,-1.4879595,"('incompetent', 'clever')",0.009452593,-0.10263896,-0.7759547,-0.7952992,0.0193445
86,-1.457927,-1.5713104,"('uninfluential', 'influential')",-0.42535698,-0.55691004,-0.941642,-1.0641103,0.1224683
45,-1.4031999,-1.1151215,"('incompetent', 'competent')",-0.45401827,-0.46788782,-0.9286091,-0.7915046,-0.1371045
14,-1.3475869,-1.1118951,"('antisocial', 'social')",-0.74550843,-0.8018755,-1.0465477,-0.9568853,-0.0896624
23,-1.31882,-1.3119841,"('insincere', 'sincere')",5.8747425,5.9736075,2.2779613,2.3308117,-0.0528504
13,-1.3068961,-1.4047137,"('impolite', 'polite')",-0.6832645,-0.7256112,-0.9950803,-1.0651624,0.0700821
46,-1.3055451,-1.0732784,"('uncompetitive', 'competitive')",-1.0961126,-1.0978355,-1.2008288,-1.085557,-0.1152718
51,-1.2965102,-1.3684628,"('uneducated', 'educated')",0.44709387,0.2506671,-0.4247082,-0.5588979,0.1341897
3,-1.215639,-1.0211868,"('repellent', 'pleasant')",0.6378114,0.5713365,-0.2889138,-0.2249252,-0.0639886
63,-1.1980904,-0.9983057,"('unperceptive', 'insightful')",0.61351323,0.7005482,-0.2922886,-0.1488788,-0.1434098
35,1.1881553,1.0427518,"('corrupt', 'incorrupt')",-0.48505294,-0.2746906,0.3515512,0.3840306,-0.0324794
81,-1.1499363,-1.230308,"('submissive', 'aggressive')",-0.62527007,-0.767023,-0.8876032,-0.9986656,0.1110624
65,-1.1072863,-1.1880717,"('insecure', 'secure')",-0.4818799,-0.5265926,-0.7945831,-0.8573322,0.0627491
21,-1.0717597,-0.93387645,"('immoral', 'moral')",-0.71576923,-0.63050175,-0.8937645,-0.7821891,-0.1115754
60,-1.0326213,-1.034475,"('inefficient', 'efficient')",0.23087706,-0.00048656762,-0.4008721,-0.5174808,0.1166087
22,-1.0306312,-0.6537232,"('untrustworthy', 'trustworthy')",-1.2507235,-0.9839218,-1.1406773,-0.8188225,-0.3218548
39,1.0165999,1.0713332,"('exploitative', 'cooperative')",0.1298405,0.1528695,0.5732202,0.6121013,-0.0388811
73,1.0116957,1.0725741,"('helpless', 'self-reliant')",-3.1933637,-3.115511,-1.0908339,-1.0214684,-0.0693655
72,-1.0034125,-1.0535759,"('unambitious', 'ambitious')",0.042983323,-0.0056124376,-0.4802146,-0.5295942,0.0493796
85,1.0003414,0.74307996,"('insignificant', 'prestigious')",-0.34777695,-0.32439122,0.3262822,0.2093444,0.1169378
56,-0.9857572,-0.984766,"('impractical', 'practical')",-0.33100948,-0.5508392,-0.6583833,-0.7678026,0.1094193
33,0.96568775,0.9723856,"('wrong', 'right')",-0.5531837,-0.4594603,0.206252,0.2564626,-0.0502106
32,-0.95692533,-0.97151065,"('unkind', 'kind')",0.48827586,0.31677073,-0.2343247,-0.32737,0.0930453
82,-0.95166683,-0.98533535,"('poor', 'rich')",6.412714,6.3624105,2.7305236,2.6885376,0.041986
42,-0.943436,-0.5725481,"('unreliable', 'reliable')",-3.7417533,-3.5972404,-2.3425946,-2.0848942,-0.2577004
18,-0.8683387,-0.7008434,"('disagreeable', 'welcoming')",-0.813293,-0.5888233,-0.8408158,-0.6448333,-0.1959825
44,0.86028844,0.9187557,"('prejudiced', 'unprejudiced')",-1.6663542,-1.6676033,-0.4030329,-0.3744238,-0.0286091
31,0.84428555,0.85132873,"('evil', 'good')",-0.85445946,-0.60284764,-0.005087,0.1242405,-0.1293275
52,0.8212577,0.607955,"('irrational', 'rational')",0.15136003,0.31414658,0.4863089,0.4610508,0.0252581
26,0.79906017,0.55702716,"('hardhearted', 'benevolent')",1.2376612,1.0590498,1.0183607,0.8080385,0.2103222
12,-0.7665444,-0.6772747,"('unsupportive', 'supportive')",-2.1233475,-1.9941291,-1.4449459,-1.3357019,-0.109244
53,-0.75181836,-0.79315084,"('uncreative', 'creative')",0.36712387,0.43486682,-0.1923472,-0.179142,-0.0132052
28,-0.75000536,-0.9868477,"('disloyal', 'loyal')",0.9714627,0.9097775,0.1107287,-0.0385351,0.1492638
47,-0.74929696,-0.66238797,"('stupid', 'smart')",5.3283124,5.589545,2.2895076,2.4635785,-0.1740709
38,-0.7328377,-0.77873486,"('untruthful', 'truthful')",0.37723514,0.5521157,-0.1778013,-0.1133096,-0.0644917
30,-0.7263805,-0.7838842,"('intolerant', 'tolerant')",0.5834654,0.5220141,-0.0714576,-0.1309351,0.0594775
76,-0.70180535,-0.47962713,"('anxious', 'daring')",-0.41913998,-0.515911,-0.5604727,-0.4977691,-0.0627036
11,-0.69808364,-0.7216277,"('unhelpful', 'helpful')",1.9914846,1.9781431,0.6467005,0.6282577,0.0184428
8,-0.6918901,-1.031337,"('unaffectionate', 'affectionate')",0.5191572,0.64762264,-0.0863665,-0.1918572,0.1054907
64,-0.67568004,-0.59630316,"('shy', 'confident')",-6.6428537,-6.6912227,-3.6592669,-3.6437628,-0.0155041
5,0.6729607,0.5997579,"('distant', 'outgoing')",-0.3445908,-0.15603945,0.1641849,0.2218592,-0.0576743
84,0.66749054,0.68050706,"('inferior', 'superior')",1.0065403,0.87708306,0.8370154,0.7787951,0.0582203
24,-0.61948466,-0.37484276,"('dishonest', 'honest')",0.5709959,0.8846135,-0.0242444,0.2548854,-0.2791298
77,-0.59563214,-0.3816516,"('unmotivated', 'motivated')",-0.89182764,-0.7462969,-0.7437299,-0.5639743,-0.1797556
15,0.52883744,0.45659134,"('boring', 'funny')",-0.0362593,-0.018163353,0.2462891,0.219214,0.0270751
27,-0.5108773,-0.46771446,"('hardhearted', 'softhearted')",0.6253661,0.80390817,0.0572444,0.1680969,-0.1108525
9,-0.48815003,-0.69827783,"('unaffectionate', 'caring')",1.1508746,1.3286846,0.3313623,0.3152034,0.0161589
41,-0.4741227,-0.2995318,"('unforgiving', 'forgiving')",-0.08940861,-0.14382505,-0.2817656,-0.2216784,-0.0600872
68,-0.4650672,-0.51323944,"('dependent', 'independent')",-0.63522404,-0.5995207,-0.5501456,-0.55638,0.0062344
6,0.4623435,0.4428242,"('distant', 'open')",-0.54019976,-0.2918537,-0.0389281,0.0754853,-0.1144134
75,0.4479862,0.4986724,"('meek', 'impulsive')",-0.48332632,-0.4662519,-0.0176701,0.0162102,-0.0338803
66,-0.4423243,-0.5911979,"('inactive', 'active')",-0.0054445416,0.15290216,-0.2238844,-0.2191479,-0.0047365
19,-0.40512723,-0.57558775,"('inhospitable', 'hospitable')",-0.51861256,-0.34575987,-0.4618699,-0.4606738,-0.0011961
54,-0.39786732,-0.5446256,"('incapable', 'capable')",0.8709261,1.0781391,0.2365294,0.2667567,-0.0302273
87,0.39426613,0.3648102,"('unsuccessful', 'successful')",0.66106856,0.76621944,0.5276673,0.5655148,-0.0378475
2,0.3808536,0.5543817,"('unlikable', 'likable')",0.3653176,0.5099897,0.3730856,0.5321857,-0.1591001
36,0.37392464,0.33535632,"('hostile', 'amicable')",-0.31703886,0.027300198,0.0284429,0.1813283,-0.1528854
29,-0.36987996,-0.22492054,"('unfair', 'fair')",-0.50323886,-0.62399864,-0.4365594,-0.4244596,-0.0120998
88,-0.3674402,-0.5726858,"('low', 'eminent')",-0.36007833,-0.5192234,-0.3637593,-0.5459546,0.1821953
62,-0.35457855,-0.16226995,"('incompetent', 'brilliant')",0.83885777,0.8100096,0.2421396,0.3238698,-0.0817302
1,-0.3491207,-0.56032574,"('unfriendly', 'friendly')",1.3142177,1.3680798,0.4825485,0.403877,0.0786715
74,-0.22410041,-0.13130252,"('undedicated', 'dedicated')",-0.84318644,-0.88363135,-0.5336434,-0.5074669,-0.0261765
59,0.21756978,0.1317701,"('foolish', 'wise')",0.107839115,0.2545942,0.1627045,0.1931822,-0.0304777
25,0.21548225,0.09389605,"('egoistic', 'altruistic')",0.5508151,0.5860215,0.3831487,0.3399588,0.0431899
61,-0.19582221,-0.19326887,"('illogical', 'logical')",0.23818676,0.27769065,0.0211823,0.0422109,-0.0210286
17,0.19196646,0.049968757,"('nasty', 'nice')",-0.4471604,-0.48207903,-0.127597,-0.2160551,0.0884581
37,-0.16675782,0.022986796,"('fake', 'genuine')",-0.030240305,0.27960977,-0.0984991,0.1512983,-0.2497974
