,covidien_male,covidien_female,tuple,plc_male,plc_female,average_male,average_female,male-female
1,-2.5612206,-2.7681077,"('unfriendly', 'friendly')",1.4975201,0.8295914,-0.5318503,-0.9692581,0.4374078
86,-2.2415898,-2.0540502,"('uninfluential', 'influential')",0.11588006,-0.16375741,-1.0628549,-1.1089038,0.0460489
18,-1.9347153,-1.5924487,"('disagreeable', 'welcoming')",-1.300406,-1.0130327,-1.6175606,-1.3027407,-0.3148199
8,-1.905848,-1.9765851,"('unaffectionate', 'affectionate')",0.6249566,0.071899906,-0.6404457,-0.9523426,0.3118969
27,-1.8687844,-2.1073189,"('hardhearted', 'softhearted')",-0.116132006,-0.39976534,-0.9924582,-1.2535421,0.2610839
9,-1.8219131,-1.8699776,"('unaffectionate', 'caring')",1.0647517,0.59425807,-0.3785807,-0.6378598,0.2592791
10,-1.8128468,-1.492806,"('unsympathetic', 'sympathetic')",-0.47736406,-0.37995884,-1.1451054,-0.9363824,-0.208723
69,1.6121469,1.3852237,"('lazy', 'industrious')",0.39322528,0.06087306,1.002686,0.7230484,0.2796376
0,-1.5216422,-1.4217411,"('unsociable', 'sociable')",-0.5901913,-0.6930554,-1.0559168,-1.0573983,0.0014815
23,-1.384223,-1.5164815,"('insincere', 'sincere')",3.317819,3.7380338,0.9667981,1.1107762,-0.1439781
57,-1.3314376,-1.2305665,"('unimaginative', 'imaginative')",-1.0413514,-1.5430413,-1.1863945,-1.3868039,0.2004094
73,1.3109319,1.083889,"('helpless', 'self-reliant')",-1.5908679,-2.415644,-0.139968,-0.6658775,0.5259095
24,-1.3034945,-1.3200771,"('dishonest', 'honest')",0.33741495,0.40865034,-0.4830397,-0.4557134,-0.0273263
43,-1.2876416,-1.3347222,"('irresponsible', 'responsible')",1.040281,1.2122875,-0.1236803,-0.0612173,-0.062463
72,-1.2222614,-1.0595304,"('unambitious', 'ambitious')",0.7735923,0.5967736,-0.2243346,-0.2313784,0.0070438
45,-1.2104373,-1.4183052,"('incompetent', 'competent')",0.88344634,0.23285134,-0.1634955,-0.5927269,0.4292314
48,-1.1743847,-1.4271342,"('unintelligent', 'intelligent')",0.04305818,-0.087523706,-0.5656633,-0.7573289,0.1916656
53,-1.1742923,-1.1143932,"('uncreative', 'creative')",0.70823914,0.66824836,-0.2330266,-0.2230724,-0.0099542
