,wyeth_male,wyeth_female,tuple,average_male,average_female,male-female
77,-2.1121936,-2.088206,"('unmotivated', 'motivated')",-2.1121936,-2.0882061,-0.0239875
86,-1.9673052,-1.815226,"('uninfluential', 'influential')",-1.9673052,-1.815226,-0.1520792
10,-1.8943626,-1.5537757,"('unsympathetic', 'sympathetic')",-1.8943626,-1.5537757,-0.3405869
81,-1.7977334,-1.6778684,"('submissive', 'aggressive')",-1.7977334,-1.6778684,-0.119865
64,-1.7902665,-1.8649166,"('shy', 'confident')",-1.7902665,-1.8649166,0.0746501
0,-1.6612526,-1.4168841,"('unsociable', 'sociable')",-1.6612526,-1.4168841,-0.2443685
21,-1.6157297,-1.3521389,"('immoral', 'moral')",-1.6157297,-1.3521389,-0.2635908
57,-1.5882199,-1.818416,"('unimaginative', 'imaginative')",-1.5882199,-1.818416,0.2301961
46,-1.4784775,-1.1699347,"('uncompetitive', 'competitive')",-1.4784775,-1.1699347,-0.3085428
3,-1.4403695,-1.3304651,"('repellent', 'pleasant')",-1.4403695,-1.3304651,-0.1099044
34,1.4166315,1.5198416,"('mean', 'honorable')",1.4166315,1.5198416,-0.1032101
28,-1.3366197,-1.550647,"('disloyal', 'loyal')",-1.3366197,-1.550647,0.2140273
12,-1.2843231,-1.1799626,"('unsupportive', 'supportive')",-1.2843231,-1.1799626,-0.1043605
48,-1.2623854,-1.2345519,"('unintelligent', 'intelligent')",-1.2623854,-1.2345519,-0.0278335
55,-1.25882,-0.94321376,"('incompetent', 'clever')",-1.2588201,-0.9432138,-0.3156063
69,1.2265859,0.7971966,"('lazy', 'industrious')",1.2265859,0.7971966,0.4293893
88,-1.1203406,-1.1162326,"('low', 'eminent')",-1.1203406,-1.1162326,-0.004108
51,-1.1066864,-0.65662444,"('uneducated', 'educated')",-1.1066864,-0.6566244,-0.450062
35,1.1011789,0.79244214,"('corrupt', 'incorrupt')",1.1011789,0.7924421,0.3087368
13,-1.0814258,-0.8233233,"('impolite', 'polite')",-1.0814258,-0.8233233,-0.2581025
15,1.0589316,1.0223519,"('boring', 'funny')",1.0589316,1.0223519,0.0365797
45,-1.0332805,-0.91173804,"('incompetent', 'competent')",-1.0332805,-0.911738,-0.1215425
