,murphy_male,murphy_female,tuple,oil_male,oil_female,corp_male,corp_female,average_male,average_female,male-female
74,1.8910462,2.0373738,"('undedicated', 'dedicated')",0.06946984,0.084649175,-0.13506767,0.017235255,0.6084828,0.713086,-0.1046032
16,-1.6246922,-1.5864035,"('unpopular', 'popular')",-0.36597875,-0.4796335,0.04445523,-0.13398972,-0.6487385,-0.7333423,0.0846038
12,1.3978592,1.6359135,"('unsupportive', 'supportive')",1.24456,1.2407632,-1.6656004,-1.606505,0.3256063,0.4233905,-0.0977842
71,1.2696218,1.0664464,"('diffident', 'self-confident')",1.6130258,1.4372733,0.48038873,0.22265776,1.1210121,0.9087925,0.2122196
23,1.1572671,1.161404,"('insincere', 'sincere')",0.32612798,0.3848358,6.1613846,6.158648,2.5482599,2.568296,-0.0200361
25,1.1367518,1.2846314,"('egoistic', 'altruistic')",1.3473158,1.1875683,1.2287223,1.1184659,1.2375966,1.1968885,0.0407081
39,1.1096985,0.9613415,"('exploitative', 'cooperative')",-0.5895395,-0.5092686,0.25486434,0.4046884,0.2583411,0.2855871,-0.027246
49,-1.0731629,-1.1104279,"('unable', 'able')",-0.54509395,-0.4958368,-0.5776144,-0.32927853,-0.7319571,-0.645181,-0.0867761
19,1.0699456,0.80102265,"('inhospitable', 'hospitable')",-1.115685,-1.000423,-0.56600523,-0.5610431,-0.2039149,-0.2534811,0.0495662
47,-1.0640924,-1.0256741,"('stupid', 'smart')",0.52583236,0.5050463,5.071155,4.908623,1.510965,1.4626651,0.0482999
9,1.0417751,1.2753289,"('unaffectionate', 'caring')",0.8078407,0.77425873,1.1320591,0.9201759,0.9938916,0.9899213,0.0039703
73,0.9807314,1.0497551,"('helpless', 'self-reliant')",0.9094176,0.8928822,-3.443487,-3.4250786,-0.5177793,-0.4941471,-0.0236322
44,-0.9746907,-1.3048817,"('prejudiced', 'unprejudiced')",-0.9745629,-1.058239,-1.4267056,-1.390421,-1.1253197,-1.2511805,0.1258608
28,0.9488174,0.96803015,"('disloyal', 'loyal')",0.22019044,0.059438042,1.2493117,1.3069683,0.8061065,0.7781455,0.027961
17,-0.8711491,-1.0735166,"('nasty', 'nice')",-1.5691088,-1.5522097,-0.49035412,-0.62429327,-0.9768707,-1.0833399,0.1064692
6,-0.8503495,-0.66096276,"('distant', 'open')",-0.10820119,-0.1150566,-0.8692594,-1.2398636,-0.60927,-0.671961,0.062691
72,0.84398025,0.8052586,"('unambitious', 'ambitious')",0.30624583,0.2864889,-0.3539949,-0.36061582,0.2654104,0.2437106,0.0216998
79,0.84243,0.74633545,"('wavering', 'unwavering')",-0.6766279,-0.6985057,-0.3520946,-0.5176773,-0.0620975,-0.1566159,0.0945184
32,0.84234,0.980217,"('unkind', 'kind')",-0.03490206,0.03148845,1.0109509,1.0857973,0.6061296,0.6991676,-0.093038
31,-0.8330927,-0.63748294,"('evil', 'good')",-0.81165636,-0.7277945,-1.5171508,-1.9711943,-1.0539666,-1.1121573,0.0581907
33,0.8304424,0.7861274,"('wrong', 'right')",1.3565063,1.1461911,-0.6055106,-0.9801309,0.5271461,0.3173958,0.2097503
82,-0.7951108,-0.74239355,"('poor', 'rich')",-0.25277087,-0.17982303,6.6120005,6.7326617,1.8547063,1.9368151,-0.0821088
27,0.77823615,0.6339377,"('hardhearted', 'softhearted')",0.4724616,0.3561348,1.1616238,0.6460571,0.8041072,0.5453765,0.2587307
50,0.77396786,0.7189742,"('clumsy', 'skillful')",-0.11872096,-0.21528086,0.43283015,0.42500573,0.3626924,0.3095664,0.053126
4,-0.76040757,-0.4599894,"('disliked', 'liked')",-0.006617002,0.06006541,-7.227031,-7.1477036,-2.6646852,-2.5158758,-0.1488094
7,0.72806,0.583915,"('insensitive', 'sensitive')",0.9973257,1.0339704,0.9213529,1.0544662,0.8822462,0.8907839,-0.0085377
46,-0.7175649,-0.61538154,"('uncompetitive', 'competitive')",0.40154755,0.44411984,-0.47795966,0.014667131,-0.264659,-0.0521982,-0.2124608
5,-0.7124404,-0.5939688,"('distant', 'outgoing')",-0.32572326,-0.2700711,-0.9498628,-1.2142404,-0.6626755,-0.6927601,0.0300846
56,0.70645607,0.817017,"('impractical', 'practical')",0.43169838,0.69705826,-0.7772633,-0.31581786,0.1202971,0.3994191,-0.279122
38,0.665663,0.59690505,"('untruthful', 'truthful')",0.40698263,0.43191025,-0.37562832,-0.41690814,0.2323391,0.203969,0.0283701
60,0.66463816,0.70572907,"('inefficient', 'efficient')",1.1710852,1.4439676,0.15860204,0.6217908,0.6647751,0.9238292,-0.2590541
26,0.6441466,0.99535364,"('hardhearted', 'benevolent')",1.2381704,1.2040584,1.4011611,1.2292145,1.0944928,1.1428755,-0.0483827
75,-0.6428582,-0.7048527,"('meek', 'impulsive')",-0.657681,-0.6809462,-0.78724706,-0.7917218,-0.6959287,-0.7258403,0.0299116
1,0.6090349,1.1182735,"('unfriendly', 'friendly')",1.118178,1.0207663,0.8821018,0.4899567,0.8697716,0.8763321,-0.0065605
30,-0.60884553,-0.51193017,"('intolerant', 'tolerant')",-0.3551057,-0.12895343,0.06966917,0.14693919,-0.298094,-0.1646481,-0.1334459
64,-0.57759124,-0.61254877,"('shy', 'confident')",0.48071316,0.48379153,-6.227942,-5.859227,-2.1082733,-1.9959949,-0.1122784
37,0.57745814,0.3658747,"('fake', 'genuine')",-0.15141703,-0.19687265,0.22852413,0.061773475,0.2181884,0.0769252,0.1412632
35,-0.5736749,-0.72419107,"('corrupt', 'incorrupt')",-1.5273763,-1.6870174,-1.4201577,-1.8040491,-1.1737363,-1.4050859,0.2313496
