,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
57,-2.3677292,-2.1610408,"('unimaginative', 'imaginative')",-1.5063587,-1.4234526,-0.49653286,-0.5900876,-2.1463687,-2.1869044,-1.6292474,-1.5903714,-0.038876
48,-2.0559683,-1.7348948,"('unintelligent', 'intelligent')",-0.050285224,0.165742,-0.73264563,-0.42366752,0.23111036,0.40869364,-0.6519472,-0.3960316,-0.2559156
1,-1.9646802,-1.5593294,"('unfriendly', 'friendly')",-0.65053844,-0.29981956,-0.0131323,0.18503803,1.50452,1.6005032,-0.2809577,-0.0184019,-0.2625558
28,-1.915305,-1.6399281,"('disloyal', 'loyal')",-0.21233779,-0.16246636,-0.27494898,-0.36855537,1.051086,1.0762839,-0.3378765,-0.2736665,-0.06421
10,-1.8926184,-1.8097708,"('unsympathetic', 'sympathetic')",-1.6454753,-1.6961434,-0.20575619,-0.100346535,-0.018098034,-0.0490505,-0.940487,-0.9138278,-0.0266592
73,1.7577056,1.830026,"('helpless', 'self-reliant')",0.74593467,0.7493697,-0.3273973,-0.37958425,-3.3880932,-3.2881312,-0.3029626,-0.2720799,-0.0308827
41,-1.727141,-1.4364129,"('unforgiving', 'forgiving')",-0.11737385,-0.05235175,0.082073204,-0.044290703,0.276323,0.14966811,-0.3715297,-0.3458468,-0.0256829
0,-1.7150009,-1.7211114,"('unsociable', 'sociable')",-0.4359197,-0.51782614,0.23332956,0.3540842,-0.244509,-0.2364477,-0.540525,-0.5303253,-0.0101997
86,-1.7147402,-1.5546067,"('uninfluential', 'influential')",-0.9066515,-0.8220446,-0.16718175,0.02286563,-0.27696422,-0.22720699,-0.7663844,-0.6452482,-0.1211362
63,-1.6936066,-1.5616367,"('unperceptive', 'insightful')",-0.92131037,-0.7961349,1.3200274,1.6493151,1.2306136,1.289584,-0.016069,0.1452819,-0.1613509
45,-1.6048223,-1.2603216,"('incompetent', 'competent')",-0.80694616,-0.7100642,0.21756518,0.3753026,-0.29628083,-0.21145083,-0.6226211,-0.4516335,-0.1709876
11,-1.5814245,-1.5436211,"('unhelpful', 'helpful')",-0.9033506,-0.9359926,-0.7286271,-0.75442624,1.8786807,1.8979523,-0.3336804,-0.3340219,0.0003415
35,1.5100294,1.5414735,"('corrupt', 'incorrupt')",0.33441868,0.4018078,-1.3671682,-1.373226,-0.290049,-0.20708509,0.0468077,0.0907425,-0.0439348
12,-1.5043479,-1.3458967,"('unsupportive', 'supportive')",-0.11917391,0.09690268,-0.10647823,0.15310794,-1.4739985,-1.437284,-0.8009996,-0.6332925,-0.1677071
69,1.4698538,1.4414196,"('lazy', 'industrious')",1.8235176,1.92469,0.42288664,0.5682687,-0.36113957,-0.14824566,0.8387796,0.9465332,-0.1077536
24,-1.4013174,-1.1440246,"('dishonest', 'honest')",-0.29883695,-0.14451306,-0.58613086,-0.6300869,0.5502866,0.5571329,-0.4339997,-0.3403729,-0.0936268
50,1.3965793,1.3142679,"('clumsy', 'skillful')",0.57417464,0.59003353,0.26594853,0.4604206,0.34275508,0.49439338,0.6448644,0.7147788,-0.0699144
55,-1.3770556,-1.351532,"('incompetent', 'clever')",-0.5802997,-0.595639,0.37917584,0.47560862,0.049801152,0.0828704,-0.3820946,-0.347173,-0.0349216
53,-1.3684639,-1.0644906,"('uncreative', 'creative')",-1.9194026,-1.6539367,0.5088763,0.64386815,1.0822967,1.1461176,-0.4241734,-0.2321104,-0.192063
46,-1.3451269,-1.3964623,"('uncompetitive', 'competitive')",-1.0543902,-1.1405352,1.2421649,1.2526389,0.12951411,-0.06898934,-0.2569595,-0.338337,0.0813775
8,-1.2657887,-1.1682175,"('unaffectionate', 'affectionate')",-0.5251746,-0.42552596,-0.6898782,-0.6156375,0.32253593,0.46271062,-0.5395764,-0.4366676,-0.1029088
21,-1.2429497,-1.355136,"('immoral', 'moral')",-0.14385967,-0.15481657,0.5594981,0.6543952,-0.4486115,-0.65714467,-0.3189807,-0.3781755,0.0591948
23,-1.2296531,-1.2889329,"('insincere', 'sincere')",-0.2457213,-0.17753607,-0.31970915,-0.19889726,5.049389,5.168809,0.8135763,0.8758607,-0.0622844
72,-1.2260026,-1.2753081,"('unambitious', 'ambitious')",-0.5489396,-0.43509075,-0.30202687,-0.3161594,-1.3885576,-1.2029048,-0.8663816,-0.8073658,-0.0590158
3,-1.1303513,-1.2867323,"('repellent', 'pleasant')",-1.431144,-1.4818712,0.48685026,0.585043,0.39060414,0.1507238,-0.4210102,-0.5082092,0.087199
59,1.11446,1.3171592,"('foolish', 'wise')",0.4122082,0.4496641,-0.42601454,-0.4653923,0.37445268,0.39733747,0.3687766,0.4246921,-0.0559155
