,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.7562284,-3.3196652,"('unfriendly', 'friendly')",0.72640055,0.47240728,1.3951659,0.9584714,-0.211554,-0.6295955,0.4180415
0,-1.7146873,-1.870857,"('unsociable', 'sociable')",0.3794519,0.31164077,-0.08540273,-0.4008652,-0.4735461,-0.6533605,0.1798144
58,-1.6306899,-1.6251385,"('undiscriminating', 'discriminating')",-0.7594352,-0.9158206,-0.26540688,-0.4914684,-0.8851773,-1.0108092,0.1256319
57,-1.5686325,-1.4941752,"('unimaginative', 'imaginative')",-0.30569866,-0.38459918,-3.0255404,-3.0289028,-1.6332904,-1.6358924,0.002602
45,-1.5675895,-1.454229,"('incompetent', 'competent')",0.11720997,0.1825418,-0.12832868,-0.16175269,-0.5262361,-0.4778133,-0.0484228
86,-1.5280547,-1.7557857,"('uninfluential', 'influential')",0.22242305,0.027577624,-0.19997223,-0.4826908,-0.501868,-0.7369663,0.2350983
53,-1.4767535,-1.392652,"('uncreative', 'creative')",-0.09990074,-0.117394894,0.34774792,0.12331854,-0.4096354,-0.4622428,0.0526074
8,-1.3950177,-1.6934505,"('unaffectionate', 'affectionate')",0.28582314,0.19768924,0.35812548,0.24875188,-0.2503564,-0.4156698,0.1653134
48,-1.2184823,-1.2169678,"('unintelligent', 'intelligent')",0.5663837,0.40821144,0.7431707,0.50311774,0.0303574,-0.1018795,0.1322369
26,-1.1163259,-1.4992473,"('hardhearted', 'benevolent')",1.5441116,1.2978318,1.5318651,1.2928476,0.653217,0.3638107,0.2894063
82,-1.0768449,-0.95179826,"('poor', 'rich')",-0.15947321,-0.07377751,5.8457537,5.6013746,1.5364785,1.5252663,0.0112122
31,-1.0451288,-1.7164842,"('evil', 'good')",-0.5277557,-0.6592188,-1.1582587,-1.3346771,-0.9103811,-1.2367934,0.3264123
38,-1.0423572,-0.88811564,"('untruthful', 'truthful')",0.36263615,0.51588964,-0.121783905,0.08955294,-0.2671683,-0.0942244,-0.1729439
16,-0.9976723,-1.0844642,"('unpopular', 'popular')",-0.0477284,-0.008200914,-0.023468107,-0.20584956,-0.3562896,-0.4328382,0.0765486
61,-0.9888153,-1.2067745,"('illogical', 'logical')",0.14559439,0.106699444,0.8204533,0.5761095,-0.0075892,-0.1746552,0.167066
23,-0.8895715,-0.7525143,"('insincere', 'sincere')",0.54886633,0.67788035,5.473341,5.4055305,1.7108787,1.7769655,-0.0660868
9,-0.8720178,-1.1842496,"('unaffectionate', 'caring')",1.5313345,1.4531208,1.1805223,1.1222833,0.6132797,0.4637182,0.1495615
5,-0.7976157,-0.9290895,"('distant', 'outgoing')",0.9277666,1.0386928,-0.48851123,-0.2656296,-0.1194534,-0.0520087,-0.0674447
67,0.79640967,1.1158512,"('doubtful', 'determined')",0.12710842,0.306942,-0.24858643,-0.004789987,0.2249772,0.4726677,-0.2476905
43,-0.7810713,-0.47636464,"('irresponsible', 'responsible')",1.1603072,1.359189,0.43627092,0.6987721,0.2718356,0.5271988,-0.2553632
54,-0.78025043,-0.7068162,"('incapable', 'capable')",0.5476493,0.53974414,0.49691623,0.57986903,0.088105,0.137599,-0.049494
73,0.76494414,1.0130697,"('helpless', 'self-reliant')",0.57544446,0.68219733,-3.6413603,-3.2522144,-0.7669906,-0.5189825,-0.2480081
55,-0.75785017,-0.6889817,"('incompetent', 'clever')",-0.53124684,-0.48458356,0.31625432,0.1053906,-0.3242809,-0.3560582,0.0317773
76,0.75000966,1.3111182,"('anxious', 'daring')",-0.38652006,-0.17291544,-0.17874745,-0.062655196,0.0615807,0.3585159,-0.2969352
42,0.7454041,1.1143548,"('unreliable', 'reliable')",1.5618149,1.5813401,-2.1769826,-2.0900326,0.0434121,0.2018874,-0.1584753
37,0.7418556,0.7129582,"('fake', 'genuine')",0.35614488,0.2766373,0.1811431,0.21544187,0.4263812,0.4016791,0.0247021
36,-0.73083496,-1.1587932,"('hostile', 'amicable')",-0.63610065,-0.85578245,-0.3489688,-0.68622226,-0.5719682,-0.900266,0.3282978
