,cintas_male,cintas_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.8526392,-2.1912937,"('uninfluential', 'influential')",-0.6834048,-0.9847802,-1.2680221,-1.588037,0.3200149
1,-1.7300125,-1.7129999,"('unfriendly', 'friendly')",0.9863873,0.9431827,-0.3718126,-0.3849086,0.013096
9,-1.6603941,-1.8644214,"('unaffectionate', 'caring')",0.7386083,1.0011884,-0.4608929,-0.4316165,-0.0292764
6,-1.5960727,-1.549315,"('distant', 'open')",-1.0516618,-0.7910411,-1.3238673,-1.1701781,-0.1536892
36,-1.4057645,-0.6757263,"('hostile', 'amicable')",-0.61527854,-0.2221914,-1.0105215,-0.4489588,-0.5615627
19,-1.315265,-1.2620308,"('inhospitable', 'hospitable')",-1.0207802,-0.8372551,-1.1680226,-1.049643,-0.1183796
8,-1.2821691,-1.1903768,"('unaffectionate', 'affectionate')",0.32704443,0.47991434,-0.4775623,-0.3552312,-0.1223311
76,1.2301738,0.7946323,"('anxious', 'daring')",0.03382813,-0.07099341,0.632001,0.3618194,0.2701816
53,-1.1730484,-1.0125276,"('uncreative', 'creative')",0.18074562,0.14950994,-0.4961514,-0.4315088,-0.0646426
5,-1.1668246,-1.154868,"('distant', 'outgoing')",-1.0213188,-0.7212846,-1.0940716,-0.9380763,-0.1559953
42,1.1384157,0.79631346,"('unreliable', 'reliable')",-3.1156573,-3.3373427,-0.9886208,-1.2705146,0.2818938
28,-1.0494897,-0.5703491,"('disloyal', 'loyal')",0.80874735,1.0747166,-0.1203712,0.2521837,-0.3725549
10,-1.0308038,-1.8540711,"('unsympathetic', 'sympathetic')",-0.40186343,-0.67700565,-0.7163336,-1.2655385,0.5492049
79,-1.0230906,-1.1394557,"('wavering', 'unwavering')",-0.8801867,-0.6334818,-0.9516386,-0.8864688,-0.0651698
66,-1.0182723,-1.449314,"('inactive', 'active')",-0.11130701,-0.13747874,-0.5647897,-0.7933964,0.2286067
0,-0.9926324,-1.7857475,"('unsociable', 'sociable')",-0.28211096,-0.65221447,-0.6373717,-1.218981,0.5816093
44,0.94742644,0.5782643,"('prejudiced', 'unprejudiced')",-1.1196383,-1.4555911,-0.0861059,-0.4386634,0.3525575
39,0.879948,0.58707047,"('exploitative', 'cooperative')",0.24423172,0.17792712,0.5620899,0.3824988,0.1795911
62,0.86411226,0.46898735,"('incompetent', 'brilliant')",0.7944134,0.8162769,0.8292629,0.6426321,0.1866308
60,0.8401722,0.20372035,"('inefficient', 'efficient')",0.49050266,0.39625785,0.6653374,0.2999891,0.3653483
31,-0.77923673,-0.45829612,"('evil', 'good')",-1.0604918,-1.0174572,-0.9198643,-0.7378767,-0.1819876
30,0.7682427,0.4830459,"('intolerant', 'tolerant')",1.044988,1.0960976,0.9066154,0.7895718,0.1170436
57,-0.75643706,-1.1735879,"('unimaginative', 'imaginative')",-2.7756217,-3.167633,-1.7660294,-2.1706104,0.404581
2,0.7447157,0.17822734,"('unlikable', 'likable')",0.45232806,0.22705843,0.5985219,0.2026429,0.395879
73,0.7233342,0.7004696,"('helpless', 'self-reliant')",-3.049384,-2.8553464,-1.1630249,-1.0774384,-0.0855865
78,-0.6687715,-0.27178633,"('nonresilient', 'resilient')",-0.0626372,0.15564585,-0.3657044,-0.0580702,-0.3076342
81,0.6659309,0.12408605,"('submissive', 'aggressive')",-0.09412613,-0.15263265,0.2859024,-0.0142733,0.3001757
61,-0.63803834,-1.200125,"('illogical', 'logical')",0.4385603,-0.0073609687,-0.099739,-0.603743,0.504004
52,-0.6377486,-0.25264633,"('irrational', 'rational')",-0.35881227,0.0066251047,-0.4982804,-0.1230106,-0.3752698
24,-0.61395466,-1.3223127,"('dishonest', 'honest')",0.3873033,0.41045368,-0.1133257,-0.4559295,0.3426038
14,0.6118324,0.11623371,"('antisocial', 'social')",0.2397982,-0.1253691,0.4258153,-0.0045677,0.430383
67,0.6087092,0.593178,"('doubtful', 'determined')",-0.45226502,-0.5192465,0.0782221,0.0369657,0.0412564
68,-0.5932189,-0.21708271,"('dependent', 'independent')",-0.7386899,-0.44560084,-0.6659544,-0.3313418,-0.3346126
3,-0.56053704,-0.7473255,"('repellent', 'pleasant')",0.87902594,0.8386305,0.1592444,0.0456525,0.1135919
38,-0.5474706,-0.99933934,"('untruthful', 'truthful')",-0.29998487,-0.13707227,-0.4237278,-0.5682058,0.144478
23,-0.52713114,-0.7948022,"('insincere', 'sincere')",5.6350813,5.7797413,2.5539751,2.4924695,0.0615056
71,-0.52608544,-0.6109753,"('diffident', 'self-confident')",0.11287171,0.2762866,-0.2066069,-0.1673444,-0.0392625
58,-0.5208862,-0.5365154,"('undiscriminating', 'discriminating')",0.16942063,0.10003359,-0.1757328,-0.2182409,0.0425081
29,-0.45936954,-0.14974074,"('unfair', 'fair')",-0.5330357,-0.47032094,-0.4962026,-0.3100308,-0.1861718
43,-0.44846392,-1.4093273,"('irresponsible', 'responsible')",0.36594886,-0.05965319,-0.0412575,-0.7344902,0.6932327
45,-0.44680554,-1.0322269,"('incompetent', 'competent')",0.2729378,-0.19021961,-0.0869339,-0.6112233,0.5242894
16,-0.44495192,-0.22553916,"('unpopular', 'popular')",0.1576363,0.28964657,-0.1436578,0.0320537,-0.1757115
82,-0.44141918,-0.4857871,"('poor', 'rich')",6.1795893,6.309947,2.8690851,2.91208,-0.0429949
54,-0.4326283,-0.2843623,"('incapable', 'capable')",0.5568076,0.91493213,0.0620896,0.3152849,-0.2531953
56,0.38834733,-0.5562112,"('impractical', 'practical')",-0.21815981,-0.4563182,0.0850938,-0.5062647,0.5913585
