,weatherford_male,weatherford_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,male-female
1,-2.2307749,-2.533506,"('unfriendly', 'friendly')",-0.07240127,-0.23651135,1.7579662,1.5047921,-0.1817367,-0.4217417,0.240005
53,-1.7394723,-1.7401794,"('uncreative', 'creative')",-0.67127585,-0.63138145,0.77123743,0.8595073,-0.5465035,-0.5040178,-0.0424857
8,-1.6020024,-1.7375156,"('unaffectionate', 'affectionate')",-0.74093294,-0.771217,0.64238137,0.33364937,-0.5668513,-0.7250277,0.1581764
6,-1.5872809,-1.5382634,"('distant', 'open')",-0.2445119,-0.19698474,0.2305372,0.16256179,-0.5337519,-0.5242288,-0.0095231
9,-1.5378954,-1.5548595,"('unaffectionate', 'caring')",-0.33251834,-0.28652948,0.9327829,0.7555341,-0.3125436,-0.3619516,0.049408
36,-1.5207441,-1.8722966,"('hostile', 'amicable')",0.07206933,0.08613677,1.297037,1.0830075,-0.0505459,-0.2343841,0.1838382
18,-1.4872996,-1.2094082,"('disagreeable', 'welcoming')",0.46234244,0.6483041,-1.1331604,-0.94618034,-0.7193725,-0.5024281,-0.2169444
41,-1.388068,-1.4330555,"('unforgiving', 'forgiving')",-0.25155905,-0.094014585,0.3876464,0.06463145,-0.4173268,-0.4874795,0.0701527
19,-1.3026942,-1.3010154,"('inhospitable', 'hospitable')",-1.2463433,-1.1573279,-0.8670058,-0.79740983,-1.1386811,-1.085251,-0.0534301
25,-1.2724271,-1.2981651,"('egoistic', 'altruistic')",0.28041863,0.25864083,1.5693794,1.4885335,0.192457,0.1496697,0.0427873
77,-1.2488372,-1.2516584,"('unmotivated', 'motivated')",-0.1734722,-0.24511719,-1.0989854,-0.98139274,-0.8404316,-0.8260562,-0.0143754
52,-1.2144742,-1.1702763,"('irrational', 'rational')",-0.95343506,-0.8720666,0.008400537,0.028933782,-0.7198362,-0.6711364,-0.0486998
86,-1.1446865,-1.150831,"('uninfluential', 'influential')",-0.43120903,-0.4490894,-0.20316331,-0.28464866,-0.5930196,-0.6281897,0.0351701
34,-1.1198595,-1.0192262,"('mean', 'honorable')",-0.24260786,-0.12414991,2.6283896,2.933484,0.4219741,0.5967027,-0.1747286
40,-1.0652099,-1.0781926,"('stingy', 'generous')",-0.06119074,0.018259956,-1.0860777,-1.254483,-0.7374927,-0.7714718,0.0339791
88,-1.049399,-0.9856006,"('low', 'eminent')",-0.43964747,-0.42657188,0.14231473,0.3199073,-0.4489106,-0.3640884,-0.0848222
31,-1.0459527,-1.2661021,"('evil', 'good')",-0.38099062,-0.47791925,0.25633627,-0.09850376,-0.3902024,-0.614175,0.2239726
85,-1.0210463,-1.3818772,"('insignificant', 'prestigious')",-0.81584656,-0.96275294,0.39715987,0.14405808,-0.479911,-0.7335241,0.2536131
27,-0.99710184,-1.019887,"('hardhearted', 'softhearted')",-0.60467327,-0.57359725,-0.19422188,-0.21127898,-0.5986657,-0.6015877,0.002922
57,-0.9701349,-1.2046808,"('unimaginative', 'imaginative')",0.19036427,0.04949105,-0.69118035,-1.1134809,-0.490317,-0.7562235,0.2659065
32,-0.96451676,-0.71019584,"('unkind', 'kind')",-0.8345836,-0.6673243,-0.24646541,-0.04421171,-0.6818553,-0.4739106,-0.2079447
63,-0.9615059,-0.9859563,"('unperceptive', 'insightful')",0.42574918,0.4817243,0.64437777,0.56744325,0.036207,0.0210704,0.0151366
23,-0.90773034,-0.6770902,"('insincere', 'sincere')",-0.575275,-0.43831277,2.8238583,3.0736806,0.446951,0.6527592,-0.2058082
15,-0.90528375,-0.93634117,"('boring', 'funny')",-0.059507698,-0.054222323,-0.17126894,-0.22287023,-0.3786868,-0.4044779,0.0257911
26,-0.8803703,-0.9256924,"('hardhearted', 'benevolent')",1.4681836,1.5281111,2.891482,2.7435787,1.1597652,1.1153324,0.0444328
64,0.86352396,0.93844336,"('shy', 'confident')",0.72947586,0.74802995,-3.508356,-3.5699112,-0.6384521,-0.6278126,-0.0106395
0,-0.8467962,-0.8604564,"('unsociable', 'sociable')",0.11854268,0.055841435,-0.6112793,-0.66718614,-0.446511,-0.4906003,0.0440893
10,-0.8179237,-0.7208431,"('unsympathetic', 'sympathetic')",-1.2222911,-1.0807061,-0.97823995,-0.9007364,-1.0061516,-0.9007618,-0.1053898
48,-0.8048557,-0.9289608,"('unintelligent', 'intelligent')",-0.7412218,-0.7757829,-0.5532221,-0.6629025,-0.6997666,-0.7892154,0.0894488
5,-0.79405576,-0.70192474,"('distant', 'outgoing')",-0.1132843,-0.11001312,0.32096794,0.2876353,-0.1954574,-0.1747675,-0.0206899
