,genworth_male,genworth_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
6,-1.8069667,-0.9755234,"('distant', 'open')",-0.50056946,-0.13343728,0.5808555,0.7905301,-0.5755602,-0.1061435,-0.4694167
52,-1.7453907,-1.0299736,"('irrational', 'rational')",-0.1858848,-0.07985386,-0.017150056,0.13797197,-0.6494752,-0.3239518,-0.3255234
1,-1.658718,-1.142487,"('unfriendly', 'friendly')",1.455327,1.454021,2.1676433,2.4053087,0.6547508,0.9056142,-0.2508634
79,-1.5923896,-0.8254641,"('wavering', 'unwavering')",-0.73692405,-0.45083168,0.17937765,0.4871489,-0.7166454,-0.263049,-0.4535964
36,-1.5161313,-0.6540261,"('hostile', 'amicable')",-0.14022397,-0.03267017,0.4863792,0.53589916,-0.389992,-0.0502657,-0.3397263
72,-1.5111803,-1.4346966,"('unambitious', 'ambitious')",-0.50682914,-0.27379417,-1.1095877,-0.84314,-1.0425324,-0.8505436,-0.1919888
53,-1.4872136,-1.3226056,"('uncreative', 'creative')",0.9226404,0.8095138,0.97877544,1.0358682,0.1380674,0.1742588,-0.0361914
16,-1.3082064,-1.052116,"('unpopular', 'popular')",-0.7609569,-0.7328571,-0.019956894,-0.001186952,-0.6963734,-0.5953867,-0.1009867
31,-1.2904778,-0.43648177,"('evil', 'good')",-1.1174227,-0.9734022,-0.873139,-0.64507735,-1.0936797,-0.6849871,-0.4086926
5,-1.2896602,-0.5892408,"('distant', 'outgoing')",0.26806125,0.528165,-0.009530645,0.27465177,-0.3437099,0.071192,-0.4149019
85,-1.2602683,-0.3653329,"('insignificant', 'prestigious')",0.9170702,0.9548924,0.6966155,0.9194028,0.1178058,0.5029874,-0.3851816
30,1.2410346,0.7345474,"('intolerant', 'tolerant')",0.85873234,0.75613636,0.8964288,0.88434446,0.9987319,0.791676,0.2070559
70,1.2208605,0.7817055,"('lethargic', 'energetic')",0.5310312,0.42371404,0.8685257,0.8580947,0.8734725,0.6878381,0.1856344
37,1.1855365,1.081175,"('fake', 'genuine')",-0.29382533,-0.5419135,0.75879055,0.7804061,0.5501672,0.4398892,0.110278
8,-1.1457127,-0.45337176,"('unaffectionate', 'affectionate')",0.18108661,0.3921672,1.0979357,1.4174612,0.0444365,0.4520855,-0.407649
46,1.1168618,0.05374353,"('uncompetitive', 'competitive')",1.2069,0.84180593,-0.57288563,-0.93616074,0.5836254,-0.0135371,0.5971625
60,1.0792937,-0.03352342,"('inefficient', 'efficient')",0.15970269,-0.012306385,-0.53700787,-0.53919995,0.2339962,-0.1950099,0.4290061
39,1.051516,0.64356476,"('exploitative', 'cooperative')",0.5773834,0.42184985,0.2188529,0.10306998,0.6159174,0.3894949,0.2264225
9,-1.002056,-0.7093994,"('unaffectionate', 'caring')",1.6089679,1.6793224,1.4750345,1.7172269,0.6939821,0.8957166,-0.2017345
35,-0.9987658,-0.09035257,"('corrupt', 'incorrupt')",-1.3016468,-1.1976285,-0.13671367,-0.075414784,-0.8123755,-0.4544653,-0.3579102
38,-0.995907,-0.6920271,"('untruthful', 'truthful')",0.044512495,0.1863667,-0.27754864,-0.12540439,-0.4096477,-0.2103549,-0.1992928
55,0.9580498,0.020942396,"('incompetent', 'clever')",-0.5302902,-0.63375986,-0.39293036,-0.5327865,0.0116097,-0.381868,0.3934777
80,0.9547113,0.4660471,"('dominated', 'dominating')",-0.28936055,-0.35077563,-1.1918929,-1.2860916,-0.175514,-0.3902734,0.2147594
42,0.9299515,0.91744787,"('unreliable', 'reliable')",0.5064655,0.37593925,-3.0530083,-2.9318326,-0.5388638,-0.5461485,0.0072847
86,-0.90425223,-1.3292823,"('uninfluential', 'influential')",-0.3095072,-0.3884622,-0.13458982,-0.29411265,-0.4494497,-0.670619,0.2211693
68,-0.90166956,-1.341973,"('dependent', 'independent')",-1.9514444,-2.141674,-0.7087576,-0.9253361,-1.1872905,-1.4696611,0.2823706
4,-0.8744613,-0.09448076,"('disliked', 'liked')",-0.49375138,-0.39037532,-6.9593005,-6.847998,-2.7758376,-2.4442848,-0.3315528
78,-0.8476563,-0.9066855,"('nonresilient', 'resilient')",1.309762,1.3164176,0.35334724,0.28382397,0.2718176,0.2311854,0.0406322
75,-0.78120214,-0.11915906,"('meek', 'impulsive')",-0.7521936,-0.45326003,-0.46037206,-0.30077887,-0.6645893,-0.291066,-0.3735233
81,0.77686346,-0.090956464,"('submissive', 'aggressive')",0.9904202,0.71552503,-1.0370486,-1.1118711,0.2434117,-0.1624342,0.4058459
58,-0.7763215,-0.79081106,"('undiscriminating', 'discriminating')",1.3271387,1.2055814,0.39577234,0.33782572,0.3155298,0.2508654,0.0646644
57,-0.75057197,-0.7871996,"('unimaginative', 'imaginative')",0.20166698,0.0058561265,-2.583765,-2.6175933,-1.0442233,-1.1329789,0.0887556
18,-0.73519754,-0.7218682,"('disagreeable', 'welcoming')",-0.39624196,-0.32195944,-0.30160847,-0.33811837,-0.4776826,-0.4606487,-0.0170339
84,0.73081946,0.6258406,"('inferior', 'superior')",0.31830046,0.29049146,0.94204646,0.9256154,0.6637221,0.6139825,0.0497396
56,0.7238331,0.080643415,"('impractical', 'practical')",0.32567883,0.242493,-0.7360849,-0.62925833,0.1044757,-0.1020406,0.2065163
13,0.72379315,0.10891696,"('impolite', 'polite')",0.8067454,0.67412156,-0.2649532,-0.3387736,0.4218618,0.1480883,0.2737735
22,0.69691896,0.3704339,"('untrustworthy', 'trustworthy')",-0.10691802,-0.2586414,-0.8675454,-0.91748875,-0.0925148,-0.2685654,0.1760506
14,0.6962394,-0.023090806,"('antisocial', 'social')",1.7296883,1.605965,-0.74349093,-0.80666447,0.5608122,0.2587366,0.3020756
28,-0.68293035,-1.0646417,"('disloyal', 'loyal')",0.037047975,-0.17877181,0.97141296,0.80617553,0.1085102,-0.145746,0.2542562
7,0.6779019,0.38660657,"('insensitive', 'sensitive')",1.0180699,0.9280757,1.2034681,1.2466946,0.9664799,0.8537923,0.1126876
88,-0.66286314,-0.7102048,"('low', 'eminent')",-0.8302861,-0.8453821,0.085700795,0.16662154,-0.4691495,-0.4629884,-0.0061611
40,-0.6401538,-0.5085212,"('stingy', 'generous')",0.98716277,1.0887159,-1.5355452,-1.4979379,-0.3961788,-0.3059144,-0.0902644
83,-0.62744874,-0.98320824,"('powerless', 'powerful')",0.01905258,-0.0053907856,-1.2486212,-1.2758048,-0.6190058,-0.7548013,0.1357955
71,0.6197456,0.69751406,"('diffident', 'self-confident')",1.4845779,1.6382188,0.47660732,0.6623604,0.8603102,0.9993645,-0.1390543
66,-0.6124082,-0.25440362,"('inactive', 'active')",1.0095935,1.0874593,1.3484613,1.3022627,0.5818822,0.7117728,-0.1298906
25,-0.6074963,-0.33046886,"('egoistic', 'altruistic')",-0.044055276,0.03392248,1.7943584,1.8175352,0.3809356,0.5069962,-0.1260606
32,0.5916673,0.22516039,"('unkind', 'kind')",0.62293094,0.5844717,0.97461516,1.2094796,0.7297378,0.6730372,0.0567006
77,-0.58845353,-1.2492597,"('unmotivated', 'motivated')",0.93936986,0.68888104,-1.3180134,-1.3995595,-0.3223657,-0.6533127,0.330947
19,-0.56358486,-0.09603452,"('inhospitable', 'hospitable')",-0.2472623,-0.1211627,0.13405052,0.33239082,-0.2255989,0.0383979,-0.2639968
