,sysco_male,sysco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.407452,-2.292869,"('unsympathetic', 'sympathetic')",-0.60020506,-0.24742624,-1.5038285,-1.2701477,-0.2336808
69,2.1102138,2.2704377,"('lazy', 'industrious')",-0.21220802,-0.45337737,0.9490029,0.9085302,0.0404727
57,-1.9780097,-2.0589669,"('unimaginative', 'imaginative')",-3.154247,-3.1820102,-2.5661283,-2.6204886,0.0543603
43,-1.8766485,-1.7415982,"('irresponsible', 'responsible')",-0.077781886,0.21834856,-0.9772152,-0.7616248,-0.2155904
0,-1.6381046,-1.719826,"('unsociable', 'sociable')",-0.4327035,-0.3797316,-1.035404,-1.0497788,0.0143748
72,-1.5043156,-1.5137229,"('unambitious', 'ambitious')",-0.69003075,-0.65015465,-1.0971732,-1.0819387,-0.0152345
70,-1.4456391,-1.4125764,"('lethargic', 'energetic')",-0.1856187,0.023942478,-0.8156289,-0.694317,-0.1213119
51,-1.442601,-1.5615569,"('uneducated', 'educated')",0.64192003,0.7082982,-0.4003405,-0.4266294,0.0262889
56,-1.43557,-1.4700056,"('impractical', 'practical')",-0.7837932,-0.6603309,-1.1096816,-1.0651683,-0.0445133
55,-1.3416181,-1.4220154,"('incompetent', 'clever')",0.22035894,0.506062,-0.5606295,-0.4579767,-0.1026528
81,-1.3332204,-1.4458854,"('submissive', 'aggressive')",-0.69767237,-0.41587162,-1.0154464,-0.9308785,-0.0845679
13,-1.3325936,-1.3640945,"('impolite', 'polite')",-0.8059319,-0.5740536,-1.0692627,-0.969074,-0.1001887
23,-1.3317657,-1.4082593,"('insincere', 'sincere')",5.249038,5.3197174,1.9586363,1.955729,0.0029073
86,-1.2965823,-1.2995348,"('uninfluential', 'influential')",-0.14330864,-0.23267928,-0.7199455,-0.766107,0.0461615
82,-1.2723509,-1.1429675,"('poor', 'rich')",5.7877812,5.9583497,2.2577152,2.407691,-0.1499758
45,-1.2417569,-1.1954739,"('incompetent', 'competent')",-0.10883246,0.03353736,-0.6752947,-0.5809683,-0.0943264
7,-1.2086982,-1.1257935,"('insensitive', 'sensitive')",0.18025887,0.43323824,-0.5142196,-0.3462776,-0.167942
47,-1.2081587,-1.2832041,"('stupid', 'smart')",4.7997866,4.6332645,1.7958139,1.6750302,0.1207837
63,-1.2006558,-1.1582254,"('unperceptive', 'insightful')",0.6452715,0.73648256,-0.2776922,-0.2108714,-0.0668208
14,-1.1654391,-1.270236,"('antisocial', 'social')",-0.21508768,-0.14223509,-0.6902634,-0.7062355,0.0159721
39,1.1510602,0.8962297,"('exploitative', 'cooperative')",0.20524594,0.1300317,0.6781531,0.5131307,0.1650224
33,1.1475302,1.1359165,"('wrong', 'right')",-0.35130405,-0.7635829,0.3981131,0.1861668,0.2119463
38,-1.1353954,-1.1970236,"('untruthful', 'truthful')",-0.14057711,-0.26897696,-0.6379862,-0.7330003,0.0950141
