,capital_male,capital_female,tuple,one_male,one_female,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
12,2.1441865,1.9633502,"('unsupportive', 'supportive')",0.71180314,0.80457073,1.2073433,1.1440073,-1.717992,-1.4516193,0.5863353,0.6150773,-0.028742
2,2.0483866,2.1637282,"('unlikable', 'likable')",0.73860025,1.0033761,2.267921,2.3388624,0.8813553,1.0304079,1.4840658,1.6340936,-0.1500278
42,1.9793746,2.130379,"('unreliable', 'reliable')",0.95482457,1.2277074,1.1295493,1.0648359,-1.588698,-1.3201432,0.6187626,0.7756947,-0.1569321
56,1.792498,1.6120665,"('impractical', 'practical')",1.3494482,1.2294371,0.72214043,0.48162037,-0.04818692,-0.08791055,0.9539749,0.8088033,0.1451716
70,1.7569369,1.493051,"('lethargic', 'energetic')",0.24650438,0.34695083,0.19575474,0.09007074,0.98303676,1.1670723,0.7955582,0.7742862,0.021272
63,1.7392429,1.6908661,"('unperceptive', 'insightful')",0.6697784,0.71163666,1.1039231,0.9722705,1.2201966,1.3310473,1.1832852,1.1764551,0.0068301
62,1.6678604,1.5979592,"('incompetent', 'brilliant')",0.9188425,0.9373694,0.7682077,0.5376264,0.7959911,0.8902038,1.0377254,0.9907897,0.0469357
36,-1.6568593,-1.2646605,"('hostile', 'amicable')",-0.7731807,-0.51339567,-0.117893726,0.120271385,-1.0263759,-0.9228104,-0.8935773,-0.6451488,-0.2484285
76,1.6010584,1.734685,"('anxious', 'daring')",0.15907101,0.20461623,-0.16310802,-0.17042142,0.30357793,0.36725822,0.4751498,0.5340345,-0.0588847
83,1.5824103,1.6780001,"('powerless', 'powerful')",-0.053703777,0.11450358,0.82695895,0.9254791,-0.3413555,-0.3456723,0.5035775,0.5930776,-0.0895001
31,-1.5615746,-1.2850175,"('evil', 'good')",-0.627177,-0.5137744,-0.61510885,-0.51844525,-1.9883031,-2.0508163,-1.198041,-1.0920134,-0.1060276
51,1.4852871,1.4611555,"('uneducated', 'educated')",0.6779937,0.7696021,-0.17829329,-0.23846121,1.0298222,1.3634293,0.7537024,0.8389314,-0.085229
74,1.4619193,1.3819367,"('undedicated', 'dedicated')",0.26696426,0.30255276,0.5580188,0.5314748,-0.16624343,-0.027645795,0.5301647,0.5470796,-0.0169149
60,1.4393268,1.3661186,"('inefficient', 'efficient')",0.34744745,0.47112378,0.032022595,-0.026907235,0.42701003,0.7624005,0.5614517,0.6431839,-0.0817322
11,1.437344,1.1891942,"('unhelpful', 'helpful')",0.66327816,0.6843052,0.14197777,0.052977804,2.1815746,2.2098258,1.1060436,1.0340757,0.0719679
72,1.368417,1.3082701,"('unambitious', 'ambitious')",-0.19427913,-0.21652353,-0.22729203,-0.22342491,-1.011373,-0.952281,-0.0161318,-0.0209898,0.004858
23,1.3406959,1.2984116,"('insincere', 'sincere')",0.45768234,0.5454115,0.63484406,0.6451854,5.0681663,5.2298717,1.8753471,1.9297202,-0.0543731
25,-1.3254478,-1.1570692,"('egoistic', 'altruistic')",-1.0332807,-0.8844575,0.06878221,0.10660833,0.59806633,0.64215964,-0.4229699,-0.3231897,-0.0997802
61,1.3116353,1.5544207,"('illogical', 'logical')",-0.18215986,0.031583823,1.0582995,1.1983958,0.5169101,0.71907234,0.6761712,0.8758682,-0.199697
39,1.2538108,1.4424928,"('exploitative', 'cooperative')",1.1906759,1.4167387,0.82674193,1.0065142,0.027394019,0.22420955,0.8246557,1.0224888,-0.1978331
43,1.2433395,1.1284689,"('irresponsible', 'responsible')",0.28792447,0.48739097,0.3822848,0.54572505,0.4115061,0.69091153,0.5812637,0.7131241,-0.1318604
32,1.170299,1.1671599,"('unkind', 'kind')",0.80426335,1.015372,0.1986081,0.34461546,0.6433182,1.0811223,0.7041222,0.9020674,-0.1979452
81,1.1346308,1.2481902,"('submissive', 'aggressive')",-0.29293174,0.08754932,0.6820941,0.67873913,0.31782088,0.50030273,0.4604035,0.6286954,-0.1682919
4,-1.0807523,-0.90577155,"('disliked', 'liked')",0.18214408,0.25192282,0.40599474,0.24806584,-5.3127384,-5.140284,-1.4513379,-1.3865168,-0.0648211
29,1.0391982,0.94749045,"('unfair', 'fair')",-0.124619514,-0.33376762,-0.32794398,-0.37654775,-0.55628395,-0.4806925,0.0075877,-0.0608794,0.0684671
9,1.0309608,1.1362883,"('unaffectionate', 'caring')",-0.40267697,-0.29045832,1.378606,1.4380031,0.7279235,0.69383997,0.6837033,0.7444183,-0.060715
54,1.0144049,1.0781437,"('incapable', 'capable')",-0.014667953,-0.0074518956,1.1693424,1.1576923,0.17256637,0.16693845,0.5854114,0.5988306,-0.0134192
14,1.0038418,1.0459245,"('antisocial', 'social')",-0.07066133,0.17541307,1.5546014,1.6426704,-0.086266465,0.28452706,0.6003789,0.7871338,-0.1867549
71,0.9439281,1.1588038,"('diffident', 'self-confident')",1.2170055,1.3899257,1.6906337,1.9215764,0.30870652,0.36504453,1.0400684,1.2088376,-0.1687692
38,0.9123969,0.82035685,"('untruthful', 'truthful')",0.9139057,0.9019978,0.8581825,0.8021909,-0.050623976,-0.009720277,0.6584653,0.6287063,0.029759
24,0.91081613,1.1729141,"('dishonest', 'honest')",0.37125438,0.64405537,0.36157376,0.48001394,0.44379318,0.7061389,0.5218594,0.7507806,-0.2289212
67,0.8996838,0.88004476,"('doubtful', 'determined')",0.9557363,1.0096865,0.34987417,0.3752222,-0.41526058,-0.3015224,0.4475085,0.4908578,-0.0433493
73,0.8793788,0.86658394,"('helpless', 'self-reliant')",1.0124062,1.0062301,1.2987049,1.2700732,-2.8343658,-3.1270285,0.089031,0.0039647,0.0850663
7,0.8298453,0.9372746,"('insensitive', 'sensitive')",0.13424742,0.30815914,0.51575017,0.521383,0.45814508,0.7678462,0.484497,0.6336657,-0.1491687
