,tegna_male,tegna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-2.0260642,-2.1937814,"('hostile', 'amicable')",-0.3215984,-0.59211373,-1.1738312,-1.3929476,0.2191164
6,-2.0258164,-1.9529963,"('distant', 'open')",-0.49341825,-0.2673812,-1.2596173,-1.1101887,-0.1494286
31,-1.8454053,-1.8252996,"('evil', 'good')",-1.6576253,-1.7346485,-1.7515154,-1.779974,0.0284586
1,-1.7299546,-1.828261,"('unfriendly', 'friendly')",1.1072236,0.96397203,-0.3113655,-0.4321445,0.120779
8,-1.7297316,-1.7382898,"('unaffectionate', 'affectionate')",0.29306895,0.24874656,-0.7183313,-0.7447717,0.0264404
5,-1.7168401,-1.6289244,"('distant', 'outgoing')",-0.9718185,-0.70043415,-1.3443294,-1.1646793,-0.1796501
30,1.6020513,1.4692669,"('intolerant', 'tolerant')",1.5905575,1.6445653,1.5963044,1.5569161,0.0393883
60,1.5988427,1.824251,"('inefficient', 'efficient')",0.6031159,0.97547126,1.1009793,1.3998611,-0.2988818
53,-1.5719507,-1.270669,"('uncreative', 'creative')",0.5514657,0.5860035,-0.5102425,-0.3423328,-0.1679097
79,-1.4146326,-1.4373877,"('wavering', 'unwavering')",-0.43116888,-0.32881546,-0.9229007,-0.8831016,-0.0397991
9,-1.3240075,-1.4665364,"('unaffectionate', 'caring')",0.5715222,0.71971214,-0.3762427,-0.3734121,-0.0028306
35,-1.290846,-1.3760722,"('corrupt', 'incorrupt')",-0.77477175,-0.8921452,-1.0328089,-1.1341087,0.1012998
57,-1.1697809,-0.96114224,"('unimaginative', 'imaginative')",-2.3236837,-2.4036522,-1.7467322,-1.6823972,-0.064335
25,-1.1644694,-1.3649483,"('egoistic', 'altruistic')",0.81781256,0.56660557,-0.1733284,-0.3991714,0.225843
39,1.1448629,1.0199865,"('exploitative', 'cooperative')",-0.09276048,0.12749454,0.5260512,0.5737405,-0.0476893
56,1.126971,0.9768541,"('impractical', 'practical')",0.6093626,0.670291,0.8681668,0.8235725,0.0445943
19,-1.0555487,-1.212193,"('inhospitable', 'hospitable')",-0.32744175,-0.28238937,-0.6914952,-0.7472912,0.055796
62,1.0419908,1.3357508,"('incompetent', 'brilliant')",0.560816,0.83554775,0.8014034,1.0856493,-0.2842459
80,1.0375471,0.8179072,"('dominated', 'dominating')",-1.1163087,-1.2792472,-0.0393808,-0.23067,0.1912892
85,-1.0346555,-0.9842444,"('insignificant', 'prestigious')",-0.687145,-0.5387107,-0.8609002,-0.7614776,-0.0994226
78,-1.0244901,-0.818076,"('nonresilient', 'resilient')",0.15003107,0.22334275,-0.4372295,-0.2973666,-0.1398629
81,1.0239711,0.96460927,"('submissive', 'aggressive')",-0.027337044,-0.055208452,0.498317,0.4547004,0.0436166
76,1.0232877,1.1677594,"('anxious', 'daring')",0.59774584,0.6676059,0.8105167,0.9176826,-0.1071659
65,1.0024195,1.1273528,"('insecure', 'secure')",-0.08181465,-0.056495737,0.4603024,0.5354285,-0.0751261
86,-0.96635604,-0.9928869,"('uninfluential', 'influential')",0.14053619,-0.13846369,-0.4129099,-0.5656753,0.1527654
44,0.93620086,0.7546337,"('prejudiced', 'unprejudiced')",-1.6494995,-1.4803394,-0.3566493,-0.3628528,0.0062035
66,-0.8786567,-1.1860316,"('inactive', 'active')",0.24523804,0.1302314,-0.3167093,-0.5279001,0.2111908
