,simon_male,simon_female,tuple,property_male,property_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.7641168,-1.7018539,"('hostile', 'amicable')",0.4339603,0.6308217,-0.6253587,-0.28911248,0.7839379,0.6556782,-0.5428944,-0.1761166,-0.3667778
35,-2.5817704,-1.3812927,"('corrupt', 'incorrupt')",-0.27750352,-0.045785517,-1.1785715,-0.89397085,0.109540075,0.036142386,-0.9820764,-0.5712267,-0.4108497
69,-2.361145,-1.8944975,"('lazy', 'industrious')",0.9936314,1.0921551,0.14783841,0.27965313,-0.48972616,-0.53250235,-0.4273504,-0.2637979,-0.1635525
12,2.2856092,2.1488287,"('unsupportive', 'supportive')",1.2068483,1.283488,1.4694067,1.403729,-1.5481454,-1.3531433,0.8534297,0.8707256,-0.0172959
62,2.0717096,1.7100378,"('incompetent', 'brilliant')",-0.6929275,-0.54665023,0.39319408,0.36831126,-0.39959604,-0.088331245,0.3430951,0.3608419,-0.0177468
7,2.0638106,1.3327448,"('insensitive', 'sensitive')",0.7764341,0.62664247,0.7847319,0.65320647,1.445869,1.3501822,1.2677114,0.9906939,0.2770175
39,2.0628543,1.3892074,"('exploitative', 'cooperative')",0.010570891,-0.19289272,1.3659524,1.2235692,0.42508143,0.29562786,0.9661148,0.6788779,0.2872369
30,2.0573752,1.6770738,"('intolerant', 'tolerant')",0.4450624,0.41584235,0.4724659,0.3135273,0.78454494,0.8648184,0.9398621,0.8178155,0.1220466
70,2.0324533,1.3409785,"('lethargic', 'energetic')",0.15092811,0.14989886,0.79356563,0.7761051,0.7499501,0.7620156,0.9317243,0.7572495,0.1744748
5,-2.0102277,-1.0132897,"('distant', 'outgoing')",0.24065427,0.6111914,-0.8296124,-0.7419219,0.029447027,0.063579276,-0.6424347,-0.2701102,-0.3723245
16,-2.0074117,-1.4903816,"('unpopular', 'popular')",-0.76353884,-0.6397334,-0.59919626,-0.5219807,0.16086213,0.16047835,-0.8023211,-0.6229044,-0.1794167
31,-2.0049512,-0.9487947,"('evil', 'good')",-0.8720026,-0.6749594,-1.1916422,-1.1833503,-0.4882483,-0.53456724,-1.1392111,-0.835418,-0.3037931
56,2.0007918,1.3540331,"('impractical', 'practical')",-0.2025065,-0.1476566,0.08601913,-0.027749456,-0.7657752,-0.6543487,0.2796323,0.1310696,0.1485627
6,-1.9953841,-0.8282807,"('distant', 'open')",0.2549799,0.68785745,-1.12836,-0.98028725,0.70221287,0.6817277,-0.5416378,-0.1097457,-0.4318921
14,1.9747941,1.0843844,"('antisocial', 'social')",0.76108426,0.5110861,1.0938122,0.95938057,-0.6038353,-0.6766063,0.8064638,0.4695612,0.3369026
60,1.9736782,1.2707461,"('inefficient', 'efficient')",-0.87089586,-0.8768137,0.7071721,0.57051396,-0.5206901,-0.37594214,0.3223161,0.147126,0.1751901
43,1.9288969,1.4391922,"('irresponsible', 'responsible')",0.31861132,0.35341984,0.8038341,0.650586,0.5819917,0.5699799,0.9083335,0.7532945,0.155039
75,-1.6435958,-0.92895424,"('meek', 'impulsive')",-0.16131145,0.11689314,-1.0656825,-0.7396898,-0.52815354,-0.42063868,-0.8496858,-0.4930974,-0.3565884
23,1.6419532,1.3866221,"('insincere', 'sincere')",-0.19627921,-0.19759156,0.59791523,0.65729487,6.0798106,5.949178,2.0308499,1.9488759,0.081974
21,1.6245695,0.74049,"('immoral', 'moral')",0.10784792,-0.13067803,0.22118774,0.22406256,-0.95503956,-0.93277365,0.2496414,-0.0247248,0.2743662
55,1.6185216,0.67219836,"('incompetent', 'clever')",-1.1979043,-1.3832949,0.25181976,-0.1066768,-0.4681692,-0.43547356,0.0510669,-0.3133118,0.3643787
76,1.6117592,0.9414525,"('anxious', 'daring')",0.26733452,0.20223974,0.97065204,0.92472225,-0.1808913,0.010712486,0.6672136,0.5197817,0.1474319
