,corning_male,corning_female,tuple,inc_male,inc_female,average_male,average_female,male-female
39,1.5823972,1.6920152,"('exploitative', 'cooperative')",0.18261816,0.14147332,0.8825077,0.9167442,-0.0342365
36,-1.2799677,-1.7237269,"('hostile', 'amicable')",-0.13447268,-0.21584268,-0.7072202,-0.9697848,0.2625646
6,-1.235923,-1.7565244,"('distant', 'open')",-0.08191798,-0.30930737,-0.6589205,-1.0329159,0.3739954
53,-1.2143906,-1.5600543,"('uncreative', 'creative')",0.54148847,0.4110465,-0.3364511,-0.5745039,0.2380528
5,-1.2018588,-1.5795403,"('distant', 'outgoing')",-0.51355577,-0.65193886,-0.8577073,-1.1157396,0.2580323
31,-1.1724412,-1.9324604,"('evil', 'good')",-1.0111786,-1.2846266,-1.09181,-1.6085435,0.5167335
1,-1.114712,-1.9590136,"('unfriendly', 'friendly')",1.7094321,1.3979423,0.2973601,-0.2805356,0.5778957
42,1.0434362,0.867742,"('unreliable', 'reliable')",-2.679815,-2.9646754,-0.8181894,-1.0484667,0.2302773
79,-1.007714,-1.2369936,"('wavering', 'unwavering')",0.012960473,-0.15084243,-0.4973768,-0.693918,0.1965412
18,-0.9539326,-0.88085425,"('disagreeable', 'welcoming')",-0.45653912,-0.35301948,-0.7052358,-0.6169369,-0.0882989
82,-0.9363277,-0.7258118,"('poor', 'rich')",4.9753923,5.4725895,2.0195322,2.3733888,-0.3538566
60,0.93210924,1.4455994,"('inefficient', 'efficient')",0.09721926,0.42650706,0.5146642,0.9360533,-0.4213891
30,0.92315376,0.933136,"('intolerant', 'tolerant')",1.2907519,1.4913054,1.1069529,1.2122207,-0.1052678
80,0.9082213,1.1347231,"('dominated', 'dominating')",-1.0638888,-1.0216194,-0.0778337,0.0565518,-0.1343855
16,-0.8718015,-0.6879635,"('unpopular', 'popular')",0.20659095,0.303581,-0.3326053,-0.1921912,-0.1404141
88,-0.8626259,-0.9542965,"('low', 'eminent')",0.43349802,0.5158778,-0.2145639,-0.2192094,0.0046455
37,0.8004975,0.65499294,"('fake', 'genuine')",0.44622898,0.17333621,0.6233633,0.4141646,0.2091987
73,0.76019126,0.76312983,"('helpless', 'self-reliant')",-2.687545,-2.8800144,-0.9636769,-1.0584424,0.0947655
69,0.6877179,0.65637434,"('lazy', 'industrious')",-0.31062922,-0.55072325,0.1885443,0.0528255,0.1357188
