,chevron_male,chevron_female,tuple,corp_male,corp_female,average_male,average_female,male-female
85,1.7954648,1.5526762,"('insignificant', 'prestigious')",-0.8562862,-0.7812849,0.4695893,0.3856956,0.0838937
60,-1.7740124,-1.3050991,"('inefficient', 'efficient')",0.26206073,0.50932944,-0.7559758,-0.3978848,-0.358091
57,-1.7546874,-1.5808597,"('unimaginative', 'imaginative')",-3.3158128,-3.3376791,-2.5352502,-2.4592695,-0.0759807
10,-1.6999354,-1.6398234,"('unsympathetic', 'sympathetic')",0.43820333,-0.023425095,-0.6308661,-0.8316243,0.2007582
3,-1.696989,-1.5952182,"('repellent', 'pleasant')",0.56415075,0.53547424,-0.5664191,-0.5298719,-0.0365472
81,-1.6460835,-1.3582414,"('submissive', 'aggressive')",-0.22817084,-0.2721988,-0.9371272,-0.8152201,-0.1219071
14,-1.5985652,-1.3189731,"('antisocial', 'social')",-0.16693944,-0.0051440448,-0.8827523,-0.6620585,-0.2206938
22,-1.5970875,-1.3029132,"('untrustworthy', 'trustworthy')",-1.3508607,-1.4289756,-1.4739741,-1.3659444,-0.1080297
69,1.5771296,1.5349451,"('lazy', 'industrious')",-1.3504049,-0.80611324,0.1133624,0.3644159,-0.2510535
43,-1.5058318,-1.1372718,"('irresponsible', 'responsible')",0.67031175,0.61054826,-0.41776,-0.2633618,-0.1543982
70,-1.4570851,-1.4124968,"('lethargic', 'energetic')",0.6040518,0.28557208,-0.4265167,-0.5634624,0.1369457
65,-1.45131,-1.1399323,"('insecure', 'secure')",0.06564068,0.051460627,-0.6928347,-0.5442358,-0.1485989
21,-1.442534,-1.3238963,"('immoral', 'moral')",-0.42489073,-0.50391895,-0.9337124,-0.9139076,-0.0198048
46,-1.3836584,-1.3713359,"('uncompetitive', 'competitive')",-0.271954,-0.5281675,-0.8278062,-0.9497517,0.1219455
11,-1.3789039,-1.0506067,"('unhelpful', 'helpful')",2.404979,2.1960258,0.5130376,0.5727096,-0.059672
45,-1.2968103,-1.0579023,"('incompetent', 'competent')",0.15258783,-0.018884651,-0.5721112,-0.5383935,-0.0337177
0,-1.2888887,-1.4043874,"('unsociable', 'sociable')",-0.042712037,-0.10238394,-0.6658004,-0.7533857,0.0875853
84,1.2796342,1.2711746,"('inferior', 'superior')",1.2212603,1.2615436,1.2504473,1.2663591,-0.0159118
7,-1.2704533,-0.98843217,"('insensitive', 'sensitive')",0.5787645,0.607575,-0.3458444,-0.1904286,-0.1554158
66,1.2052971,0.6256151,"('inactive', 'active')",0.7210926,0.55344355,0.9631948,0.5895293,0.3736655
13,-1.202655,-0.69525254,"('impolite', 'polite')",-0.40615332,-0.27259678,-0.8044041,-0.4839247,-0.3204794
86,-1.1898385,-1.2904949,"('uninfluential', 'influential')",0.1608364,-0.23404495,-0.5145011,-0.7622699,0.2477688
33,1.1885712,1.2078347,"('wrong', 'right')",-1.0709093,-0.93597907,0.058831,0.1359278,-0.0770968
