,sigma_male,sigma_female,tuple,aldrich_male,aldrich_female,corp_male,corp_female,average_male,average_female,male-female
36,-3.8128474,-1.8087348,"('hostile', 'amicable')",0.034380876,0.6444273,-1.7869586,-1.2610375,-1.8551416,-0.8084483,-1.0466933
31,-3.6861033,-2.113723,"('evil', 'good')",-0.15171961,0.30257455,-2.6128445,-2.261189,-2.1502225,-1.3574459,-0.7927766
85,-3.6169913,-1.8562257,"('insignificant', 'prestigious')",0.49441698,1.2897692,-2.8416932,-2.425001,-1.9880892,-0.9971525,-0.9909367
35,-3.550355,-1.9895829,"('corrupt', 'incorrupt')",1.0074983,1.6916523,-2.0465584,-1.430443,-1.529805,-0.5761245,-0.9536805
55,3.535384,2.441265,"('incompetent', 'clever')",-0.8613503,-1.0902846,1.4755653,1.3459538,1.3831997,0.8989781,0.4842216
60,3.4093103,1.957149,"('inefficient', 'efficient')",-1.0896217,-1.6821803,1.3739982,0.95631874,1.231229,0.4104292,0.8207998
6,-3.0654104,-1.8404757,"('distant', 'open')",0.2549588,0.93223035,-1.6753266,-1.1832446,-1.4952593,-0.6971633,-0.798096
69,-3.064731,-1.4855781,"('lazy', 'industrious')",1.5191144,2.046498,-1.9956326,-1.7486079,-1.1804164,-0.395896,-0.7845204
79,-3.0491157,-2.0647695,"('wavering', 'unwavering')",-0.063092455,0.23156974,-0.84396344,-0.5796057,-1.3187238,-0.8042685,-0.5144553
62,2.9864519,1.9634565,"('incompetent', 'brilliant')",-0.39310926,-0.7774234,1.4857529,1.3349617,1.3596985,0.8403316,0.5193669
81,2.872598,1.3627911,"('submissive', 'aggressive')",-0.43943098,-1.135216,0.7528468,0.49626926,1.0620046,0.2412814,0.8207232
52,-2.8504527,-1.8101549,"('irrational', 'rational')",-0.37549925,0.08766826,-0.97989416,-0.6272851,-1.4019486,-0.7832572,-0.6186914
10,2.7616062,1.5276266,"('unsympathetic', 'sympathetic')",-2.4067807,-2.9276872,1.1785878,0.819633,0.5111378,-0.1934758,0.7046136
59,-2.6125846,-0.8971131,"('foolish', 'wise')",0.9107656,1.4844297,-0.8423182,-0.45896107,-0.8480457,0.0427852,-0.8908309
4,-2.5761805,-2.0962558,"('disliked', 'liked')",0.3732641,0.9226224,-7.9481535,-7.83345,-3.3836899,-3.002361,-0.3813289
75,-2.4436524,-1.839201,"('meek', 'impulsive')",1.1566792,1.1970788,-1.2472941,-1.2548056,-0.8447558,-0.6323092,-0.2124466
76,2.441899,1.0781503,"('anxious', 'daring')",-0.7813378,-0.9661119,1.2999259,1.1328416,0.9868291,0.41496,0.5718691
65,2.4356995,1.4170202,"('insecure', 'secure')",-1.2059516,-1.7550046,1.0635731,0.9363492,0.7644404,0.1994549,0.5649855
23,2.3988361,1.6238617,"('insincere', 'sincere')",-2.0778997,-2.4647832,6.1329417,6.081817,2.1512928,1.7469652,0.4043276
0,2.3539476,1.0877109,"('unsociable', 'sociable')",-1.83843,-2.1181896,0.3719517,0.18485981,0.2958231,-0.281873,0.5776961
16,-2.3461277,-1.7851439,"('unpopular', 'popular')",-0.44593218,-0.09653545,-0.5106627,-0.33846772,-1.1009075,-0.740049,-0.3608585
70,2.3074214,1.4923244,"('lethargic', 'energetic')",-0.83742714,-0.8538544,1.5419847,1.5109371,1.003993,0.716469,0.287524
80,2.2045429,0.5818885,"('dominated', 'dominating')",0.29391214,0.037576694,0.8925536,0.6980711,1.1303362,0.4391788,0.6911574
5,-2.1515303,-1.3764486,"('distant', 'outgoing')",0.32795793,0.8483419,-1.6448021,-1.2139002,-1.1561248,-0.580669,-0.5754558
21,2.0397174,1.48162,"('immoral', 'moral')",-1.298708,-1.5046806,0.7967941,0.6459451,0.5126012,0.2076281,0.3049731
46,2.0051727,0.48361048,"('uncompetitive', 'competitive')",-1.2909036,-1.9218929,0.48797345,0.1310609,0.4007475,-0.4357405,0.836488
14,1.9420887,1.1981579,"('antisocial', 'social')",-0.8142887,-1.0316008,0.07407816,0.011436329,0.4006261,0.0593311,0.341295
43,1.8671839,1.4049245,"('irresponsible', 'responsible')",-1.4160523,-1.5387,1.1695983,0.89148045,0.5402433,0.2525683,0.287675
19,-1.840367,-1.2515162,"('inhospitable', 'hospitable')",0.20190656,0.26084477,-0.8111251,-0.7016252,-0.8165285,-0.5640989,-0.2524296
37,1.7833899,1.585721,"('fake', 'genuine')",-0.028157048,-0.1419475,0.6775718,0.73335546,0.8109349,0.7257097,0.0852252
86,1.7601433,0.935513,"('uninfluential', 'influential')",-2.2068696,-2.2098353,0.25118002,0.025012117,-0.0651821,-0.4164367,0.3512546
56,1.7589654,1.161353,"('impractical', 'practical')",-0.6505905,-0.97835666,0.5901202,0.43545854,0.566165,0.2061516,0.3600134
12,1.7588903,1.8582407,"('unsupportive', 'supportive')",-0.72765476,-0.38596988,-1.7955085,-1.6650099,-0.2547577,-0.0642463,-0.1905114
20,1.6872327,1.5070398,"('rough', 'thoughtful')",0.13953789,0.011118278,1.0123593,1.0778704,0.9463766,0.8653428,0.0810338
48,1.6501578,0.9342147,"('unintelligent', 'intelligent')",-1.3016834,-1.623091,1.281723,1.2847352,0.5433991,0.1986196,0.3447795
78,1.5606129,1.6663498,"('nonresilient', 'resilient')",-0.5157459,-0.17186753,1.0061544,1.3140894,0.6836739,0.9361906,-0.2525167
7,1.5398742,1.0998131,"('insensitive', 'sensitive')",-1.2589668,-1.1088737,0.8846563,0.8738536,0.3885212,0.2882643,0.1002569
72,1.5292567,1.8326944,"('unambitious', 'ambitious')",-0.8115999,-0.6684035,0.08739357,0.08439307,0.2683501,0.416228,-0.1478779
51,1.3746653,0.42328602,"('uneducated', 'educated')",-0.39080322,-0.8702342,0.84959716,0.6928109,0.611153,0.0819542,0.5291988
