,conagra_male,conagra_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.4604292,-2.1266172,"('uninfluential', 'influential')",0.030845143,0.3224138,-0.06994799,0.16295105,-0.8331773,-0.5470841,-0.2860932
1,-1.8290058,-1.8253006,"('unfriendly', 'friendly')",0.30299306,0.5332671,1.0554129,1.2477189,-0.1568666,-0.0147715,-0.1420951
57,-1.8020403,-1.7425398,"('unimaginative', 'imaginative')",-0.65318906,-0.63463646,-2.2016275,-2.1890144,-1.5522855,-1.5220636,-0.0302219
9,-1.397097,-1.3398695,"('unaffectionate', 'caring')",0.4714219,0.49716455,0.38997206,0.42673606,-0.1785677,-0.1386563,-0.0399114
10,-1.3517989,-1.2614894,"('unsympathetic', 'sympathetic')",0.52249587,0.70135665,-0.057877116,-0.16543356,-0.2957267,-0.2418554,-0.0538713
53,-1.3450108,-1.3665413,"('uncreative', 'creative')",0.7988772,0.9008389,0.76186347,0.698328,0.07191,0.0775419,-0.0056319
72,-1.2976656,-1.0566332,"('unambitious', 'ambitious')",-0.6861054,-0.69244486,-1.5119603,-1.4000076,-1.1652438,-1.0496952,-0.1155486
44,1.2870828,1.040773,"('prejudiced', 'unprejudiced')",0.22716343,0.20327304,-1.1050547,-1.26566,0.1363972,-0.0072047,0.1436019
69,1.2137742,1.1167103,"('lazy', 'industrious')",0.19434129,-0.04891443,-0.3808934,-0.41045144,0.3424074,0.2191148,0.1232926
48,-1.1696496,-0.9077902,"('unintelligent', 'intelligent')",-0.5367468,-0.3961875,0.3518073,0.50348246,-0.4515297,-0.2668318,-0.1846979
3,-1.142538,-1.1083765,"('repellent', 'pleasant')",-0.6387026,-0.42429703,-0.36236164,-0.21458022,-0.714534,-0.5824179,-0.1321161
8,-1.1340572,-0.9716997,"('unaffectionate', 'affectionate')",-0.713533,-0.6755022,-0.39925855,-0.31735516,-0.7489496,-0.6548524,-0.0940972
27,-1.1215184,-0.8768625,"('hardhearted', 'softhearted')",0.17980434,0.39393505,0.8397908,0.91059875,-0.0339744,0.1425571,-0.1765315
78,-1.0975814,-1.0245153,"('nonresilient', 'resilient')",0.8401897,0.8799165,0.7762483,0.78477454,0.1729522,0.2133919,-0.0404397
31,-1.0242347,-0.96094894,"('evil', 'good')",-1.774054,-1.7425296,-1.6354122,-1.4087297,-1.4779003,-1.3707361,-0.1071642
35,0.99725837,0.55787927,"('corrupt', 'incorrupt')",-2.0971997,-2.3195157,-0.5674765,-0.8587041,-0.5558059,-0.8734469,0.317641
77,-0.9954684,-0.91266555,"('unmotivated', 'motivated')",0.31685513,0.31235787,-0.733866,-0.7556578,-0.4708264,-0.4519885,-0.0188379
23,-0.95191,-1.0523797,"('insincere', 'sincere')",0.99661905,1.1346618,5.361597,5.2005367,1.8021021,1.7609396,0.0411625
20,-0.9338665,-0.94471526,"('rough', 'thoughtful')",0.4740271,0.4948584,0.7311277,0.84697664,0.0904294,0.1323733,-0.0419439
