,amgen_male,amgen_female,tuple,inc_male,inc_female,average_male,average_female,male-female
57,-1.3839425,-1.3752921,"('unimaginative', 'imaginative')",-2.3128085,-2.1762853,-1.8483756,-1.7757887,-0.0725869
53,-1.3340816,-1.2816017,"('uncreative', 'creative')",0.8790043,0.68472546,-0.2275387,-0.2984381,0.0708994
0,-1.2596661,-1.4098185,"('unsociable', 'sociable')",-0.4223865,-0.4082517,-0.8410263,-0.9090351,0.0680088
10,-1.249745,-1.3128598,"('unsympathetic', 'sympathetic')",-0.21962117,-0.16431464,-0.7346831,-0.7385872,0.0039041
73,1.0716674,1.0250639,"('helpless', 'self-reliant')",-2.7489636,-2.604647,-0.8386481,-0.7897915,-0.0488566
1,-1.054013,-1.1113673,"('unfriendly', 'friendly')",1.8567672,1.6847432,0.4013771,0.2866879,0.1146892
79,-1.0158477,-0.7476552,"('wavering', 'unwavering')",-0.22834775,-0.1783191,-0.6220977,-0.4629872,-0.1591105
45,-0.9901513,-0.9048302,"('incompetent', 'competent')",-0.24030867,-0.014676699,-0.61523,-0.4597535,-0.1554765
31,-0.9636843,-0.95277405,"('evil', 'good')",-0.92841554,-1.1407812,-0.9460499,-1.0467776,0.1007277
17,-0.9251792,-0.7973723,"('nasty', 'nice')",-0.48837468,-0.4562598,-0.7067769,-0.626816,-0.0799609
51,-0.90379864,-0.89993405,"('uneducated', 'educated')",0.7099996,0.5756047,-0.0968995,-0.1621647,0.0652652
78,-0.8906839,-0.9054766,"('nonresilient', 'resilient')",0.20136596,0.20121533,-0.344659,-0.3521307,0.0074717
23,-0.8822651,-0.656785,"('insincere', 'sincere')",5.24174,5.3617206,2.1797376,2.3524678,-0.1727302
22,-0.8412597,-0.8270526,"('untrustworthy', 'trustworthy')",-1.1004686,-0.9636466,-0.9708642,-0.8953496,-0.0755146
65,-0.8393547,-0.8309943,"('insecure', 'secure')",-0.82003266,-0.5487581,-0.8296937,-0.6898762,-0.1398175
54,-0.8272497,-0.5278251,"('incapable', 'capable')",1.0064217,1.2433428,0.089586,0.3577588,-0.2681728
84,0.8033197,0.65706503,"('inferior', 'superior')",1.0451127,0.9390771,0.9242162,0.798071,0.1261452
86,-0.79508716,-1.0670336,"('uninfluential', 'influential')",-0.14779653,-0.21843162,-0.4714418,-0.6427326,0.1712908
32,-0.786189,-0.40302148,"('unkind', 'kind')",0.59326094,0.85973144,-0.096464,0.228355,-0.324819
2,0.76108634,1.045457,"('unlikable', 'likable')",0.6487381,0.8818251,0.7049122,0.963641,-0.2587288
66,-0.68994665,-0.6062089,"('inactive', 'active')",0.920872,0.8864548,0.1154627,0.140123,-0.0246603
55,-0.68446946,-0.6531989,"('incompetent', 'clever')",0.02756517,0.15037577,-0.3284521,-0.2514116,-0.0770405
36,-0.6524333,-0.76626825,"('hostile', 'amicable')",0.2349689,-0.117128015,-0.2087322,-0.4416981,0.2329659
37,0.64420414,0.39058444,"('fake', 'genuine')",0.58963066,0.52813417,0.6169174,0.4593593,0.1575581
69,0.63967127,0.58419997,"('lazy', 'industrious')",-0.2830767,-0.36947945,0.1782973,0.1073603,0.070937
46,-0.6103727,-0.7663475,"('uncompetitive', 'competitive')",-0.5043529,-0.4991995,-0.5573628,-0.6327735,0.0754107
39,0.6069429,0.49845254,"('exploitative', 'cooperative')",0.10277074,0.16154583,0.3548568,0.3299992,0.0248576
19,-0.5941663,-0.47859526,"('inhospitable', 'hospitable')",0.14936216,0.12963654,-0.2224021,-0.1744794,-0.0479227
12,-0.5724781,-0.5598663,"('unsupportive', 'supportive')",-1.8298064,-1.6275319,-1.2011423,-1.0936991,-0.1074432
70,-0.5713988,-0.322718,"('lethargic', 'energetic')",0.56159514,0.9736413,-0.0049018,0.3254616,-0.3303634
68,-0.565406,-0.83882797,"('dependent', 'independent')",-0.381839,-0.6648796,-0.4736225,-0.7518538,0.2782313
6,-0.55818343,-0.573824,"('distant', 'open')",0.31971467,0.17750515,-0.1192344,-0.1981594,0.078925
77,-0.5475777,-0.60599315,"('unmotivated', 'motivated')",-0.94829917,-0.86748004,-0.7479384,-0.7367366,-0.0112018
