,genuine_male,genuine_female,tuple,parts_male,parts_female,co_male,co_female,average_male,average_female,male-female
85,-6.369669,-6.698276,"('insignificant', 'prestigious')",-1.0538636,-1.1731722,-1.5096283,-1.7561375,-2.9777203,-3.2091955,0.2314752
31,-5.4896307,-5.873598,"('evil', 'good')",-1.2550551,-1.2919817,-1.5487893,-1.4893224,-2.7644917,-2.8849675,0.1204758
60,5.33671,5.912504,"('inefficient', 'efficient')",2.1589744,2.1032372,1.1264513,1.3819461,2.8740454,3.1325626,-0.2585172
55,5.2074566,6.0101414,"('incompetent', 'clever')",0.37449002,0.7115856,0.7400775,1.0349902,2.1073413,2.5855724,-0.4782311
36,-4.9360733,-5.4527946,"('hostile', 'amicable')",-1.2379618,-1.177273,-1.2281138,-1.3622924,-2.4673829,-2.66412,0.1967371
10,4.8346157,5.2018294,"('unsympathetic', 'sympathetic')",0.59501487,0.86437887,0.3698489,0.9739297,1.9331598,2.3467127,-0.4135529
23,4.8098035,4.7442274,"('insincere', 'sincere')",0.89718974,0.91308165,6.4589443,6.5209084,4.0553125,4.0594056,-0.0040931
13,4.70462,4.968438,"('impolite', 'polite')",1.765508,1.9652319,0.69899523,0.7997159,2.3897077,2.5777953,-0.1880876
81,4.704373,5.4196944,"('submissive', 'aggressive')",0.84131217,0.9514529,0.06608616,0.13577124,1.8705904,2.1689728,-0.2983824
56,4.4481974,4.974058,"('impractical', 'practical')",2.3047354,2.5224087,0.75937825,0.85886264,2.5041037,2.7851098,-0.2810061
35,-4.313915,-5.026316,"('corrupt', 'incorrupt')",-0.74940807,-0.9526332,-1.2233663,-1.3832787,-2.0955631,-2.4540761,0.358513
76,4.241592,4.2868557,"('anxious', 'daring')",0.72720265,0.90026665,0.6336707,0.71822447,1.8674885,1.968449,-0.1009605
5,-4.1179633,-4.2614765,"('distant', 'outgoing')",-0.33652633,-0.3446964,-0.6111926,-0.7273966,-1.6885608,-1.7778565,0.0892957
6,-4.046601,-4.2855363,"('distant', 'open')",-0.4887508,-0.52710825,-0.6534527,-0.7323992,-1.7296015,-1.848348,0.1187465
62,3.9500995,4.446432,"('incompetent', 'brilliant')",0.68988496,0.9346563,0.58424133,0.82577646,1.7414087,2.0689549,-0.3275462
59,-3.9363315,-4.065506,"('foolish', 'wise')",-0.432901,-0.6423495,-0.30197883,-0.49535343,-1.5570704,-1.7344028,0.1773324
46,3.8825479,4.9385343,"('uncompetitive', 'competitive')",0.7344055,1.1923567,-0.2756248,0.2141588,1.4471095,2.1150166,-0.6679071
45,3.6265676,4.4525156,"('incompetent', 'competent')",0.5071248,0.9589702,0.3054876,0.9710949,1.4797266,2.1275269,-0.6478003
52,-3.5122037,-3.663825,"('irrational', 'rational')",-0.49256054,-0.653347,-0.8896351,-1.2891794,-1.6314664,-1.8687838,0.2373174
