,comcast_male,comcast_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.4956448,-2.3129466,"('unsympathetic', 'sympathetic')",-0.7911272,-0.7665832,-1.643386,-1.5397649,-0.1036211
45,-2.3146489,-1.9420918,"('incompetent', 'competent')",-0.50528526,-0.35026145,-1.4099671,-1.1461766,-0.2637905
46,-2.105613,-1.7669827,"('uncompetitive', 'competitive')",-1.1384974,-1.0054146,-1.6220552,-1.3861986,-0.2358566
55,-2.0381947,-1.5865628,"('incompetent', 'clever')",0.16696945,0.36850053,-0.9356126,-0.6090311,-0.3265815
85,2.0367541,1.5649008,"('insignificant', 'prestigious')",0.15978771,-0.14566477,1.0982709,0.709618,0.3886529
43,-1.759351,-1.484945,"('irresponsible', 'responsible')",-0.15459868,-0.060599804,-0.9569749,-0.7727724,-0.1842025
70,-1.6727642,-1.4088598,"('lethargic', 'energetic')",-0.065353855,0.065563336,-0.869059,-0.6716483,-0.1974107
0,-1.5696245,-1.6129297,"('unsociable', 'sociable')",-0.19619267,-0.13681206,-0.8829086,-0.8748709,-0.0080377
81,-1.5400658,-0.94394726,"('submissive', 'aggressive')",-0.92164135,-0.5822325,-1.2308536,-0.7630899,-0.4677637
21,-1.4538943,-1.0766085,"('immoral', 'moral')",-0.62225837,-0.3459572,-1.0380763,-0.7112828,-0.3267935
56,-1.4290833,-0.9394352,"('impractical', 'practical')",-0.8905241,-0.5029922,-1.1598037,-0.7212137,-0.43859
57,-1.3958025,-1.42581,"('unimaginative', 'imaginative')",-2.9917557,-3.1465087,-2.193779,-2.2861593,0.0923803
69,1.332864,1.2303078,"('lazy', 'industrious')",-0.41441062,-0.54206324,0.4592267,0.3441223,0.1151044
65,-1.3109715,-0.8523189,"('insecure', 'secure')",-0.33497936,-0.061616275,-0.8229754,-0.4569676,-0.3660078
36,1.2905556,0.9307183,"('hostile', 'amicable')",-0.16701174,-0.3343471,0.5617719,0.2981856,0.2635863
60,-1.2734723,-0.814032,"('inefficient', 'efficient')",-0.075673655,0.22903623,-0.674573,-0.2924979,-0.3820751
76,-1.2431552,-0.773933,"('anxious', 'daring')",-0.6417631,-0.29860282,-0.9424592,-0.5362679,-0.4061913
71,1.2175256,0.95214736,"('diffident', 'self-confident')",0.33549565,0.15821676,0.7765106,0.555182,0.2213286
52,1.1900408,0.7984259,"('irrational', 'rational')",0.05467967,-0.0493543,0.6223602,0.3745358,0.2478244
31,1.1667024,0.9167964,"('evil', 'good')",-0.5125265,-0.80111957,0.3270879,0.0578384,0.2692495
11,-1.1567543,-0.88095796,"('unhelpful', 'helpful')",1.0702952,1.3061284,-0.0432295,0.2125852,-0.2558147
13,-1.1288055,-0.8232343,"('impolite', 'polite')",-1.0123513,-0.8646137,-1.0705783,-0.843924,-0.2266543
22,-1.099963,-0.8101238,"('untrustworthy', 'trustworthy')",-1.1884754,-0.9740292,-1.1442192,-0.8920765,-0.2521427
37,-1.0934017,-1.020368,"('fake', 'genuine')",-0.29816014,-0.16442114,-0.6957809,-0.5923946,-0.1033863
25,1.0873638,0.9867896,"('egoistic', 'altruistic')",1.5530211,1.5704802,1.3201925,1.2786349,0.0415576
59,1.0526581,0.9605725,"('foolish', 'wise')",-0.055205144,0.067001574,0.4987265,0.513787,-0.0150605
3,-1.0480489,-0.9285191,"('repellent', 'pleasant')",0.80015194,0.90986437,-0.1239485,-0.0093274,-0.1146211
7,-1.0346762,-0.91509086,"('insensitive', 'sensitive')",0.14984992,0.18705131,-0.4424132,-0.3640198,-0.0783934
23,-1.0125535,-0.79697025,"('insincere', 'sincere')",4.9806395,5.299324,1.984043,2.2511768,-0.2671338
62,-1.0008237,-0.4968996,"('incompetent', 'brilliant')",0.087292634,0.41326845,-0.4567656,-0.0418156,-0.41495
79,0.99927425,0.8011121,"('wavering', 'unwavering')",-0.4682573,-0.5720528,0.2655085,0.1145297,0.1509788
51,-0.9882663,-0.95704496,"('uneducated', 'educated')",0.7413385,0.60737735,-0.1234639,-0.1748338,0.0513699
47,-0.98567945,-0.63936716,"('stupid', 'smart')",4.4461627,4.953191,1.7302417,2.1569118,-0.4266701
33,0.96614486,0.6111661,"('wrong', 'right')",-0.61988723,-0.8156527,0.1731288,-0.1022433,0.2753721
14,-0.96599925,-0.5618117,"('antisocial', 'social')",-0.14425586,0.07704208,-0.5551276,-0.2423848,-0.3127428
77,-0.9427695,-0.97736925,"('unmotivated', 'motivated')",-0.97872335,-0.8994481,-0.9607464,-0.9384087,-0.0223377
49,-0.9098936,-0.7506711,"('unable', 'able')",-0.56627524,-0.36653954,-0.7380844,-0.5586053,-0.1794791
80,-0.9032066,-0.7669836,"('dominated', 'dominating')",-0.5217026,-0.43646973,-0.7124546,-0.6017267,-0.1107279
63,-0.89245534,-0.80062824,"('unperceptive', 'insightful')",0.48993063,0.55396926,-0.2012624,-0.1233295,-0.0779329
73,0.8550225,0.9438123,"('helpless', 'self-reliant')",-3.0207245,-3.0975661,-1.0828511,-1.0768769,-0.0059742
35,0.83519346,0.6310726,"('corrupt', 'incorrupt')",-0.32311735,-0.46664646,0.2560381,0.0822131,0.173825
86,-0.82372826,-0.9475975,"('uninfluential', 'influential')",-0.34757227,-0.4315884,-0.5856503,-0.689593,0.1039427
28,-0.8178148,-0.84611696,"('disloyal', 'loyal')",0.6029063,0.6758366,-0.1074543,-0.0851402,-0.0223141
82,-0.77582544,-0.46346533,"('poor', 'rich')",5.1935244,5.600609,2.2088494,2.5685718,-0.3597224
5,0.758856,0.48415318,"('distant', 'outgoing')",-0.6857705,-0.824767,0.0365427,-0.1703069,0.2068496
42,-0.7448158,-0.64089364,"('unreliable', 'reliable')",-3.3113317,-3.2787595,-2.0280738,-1.9598266,-0.0682472
68,-0.733221,-0.7745668,"('dependent', 'independent')",-0.47118753,-0.55921555,-0.6022043,-0.6668912,0.0646869
41,-0.71573776,-0.55322725,"('unforgiving', 'forgiving')",-0.04991814,-0.13841034,-0.3828279,-0.3458188,-0.0370091
72,-0.69364166,-0.7388543,"('unambitious', 'ambitious')",-0.7773466,-0.69434845,-0.7354941,-0.7166014,-0.0188927
39,0.68878865,0.86398095,"('exploitative', 'cooperative')",0.06977976,0.123274796,0.3792842,0.4936279,-0.1143437
75,0.6616832,0.62770617,"('meek', 'impulsive')",-0.6677991,-0.69863445,-0.003058,-0.0354641,0.0324061
30,-0.65115917,-0.35598037,"('intolerant', 'tolerant')",0.4590123,0.7390624,-0.0960734,0.191541,-0.2876144
78,-0.6102583,-0.8129507,"('nonresilient', 'resilient')",0.14658305,-0.09585993,-0.2318376,-0.4544053,0.2225677
20,-0.5963336,-0.5939375,"('rough', 'thoughtful')",1.168931,1.1780125,0.2862987,0.2920375,-0.0057388
6,0.589681,0.22710028,"('distant', 'open')",-0.89446765,-1.0080322,-0.1523933,-0.390466,0.2380727
16,0.566078,0.41969836,"('unpopular', 'popular')",0.35688093,0.36745685,0.4614795,0.3935776,0.0679019
27,-0.5365864,-0.6958729,"('hardhearted', 'softhearted')",1.0467998,0.7812586,0.2551067,0.0426928,0.2124139
50,0.51195705,0.36621267,"('clumsy', 'skillful')",-0.33743656,-0.36905742,0.0872602,-0.0014224,0.0886826
40,0.4742354,0.45824504,"('stingy', 'generous')",-1.3948461,-1.6213504,-0.4603053,-0.5815527,0.1212474
2,0.46463782,0.6811655,"('unlikable', 'likable')",0.7173819,0.8462072,0.5910099,0.7636864,-0.1726765
38,-0.45944783,-0.40835878,"('untruthful', 'truthful')",-0.4769873,-0.34871256,-0.4682176,-0.3785357,-0.0896819
67,-0.41896316,-0.28198636,"('doubtful', 'determined')",-0.5595644,-0.3614517,-0.4892638,-0.321719,-0.1675448
64,-0.40451056,-0.21816747,"('shy', 'confident')",-5.6651144,-5.7334824,-3.0348125,-2.9758248,-0.0589877
26,0.3685466,0.20022543,"('hardhearted', 'benevolent')",1.673068,1.5351033,1.0208073,0.8676644,0.1531429
34,-0.35949746,-0.14936541,"('mean', 'honorable')",4.8909802,5.2456484,2.2657413,2.5481415,-0.2824002
12,-0.3558885,-0.36703923,"('unsupportive', 'supportive')",-1.8930401,-2.0245006,-1.1244643,-1.1957699,0.0713056
24,-0.34529328,-0.13069792,"('dishonest', 'honest')",0.25077647,0.42432272,-0.0472584,0.1468124,-0.1940708
84,0.32594147,0.31480345,"('inferior', 'superior')",1.1604629,1.103117,0.7432021,0.7089602,0.0342419
15,0.32536116,0.21289171,"('boring', 'funny')",-0.3454215,-0.41100672,-0.0100302,-0.0990575,0.0890273
74,-0.28720656,-0.20620301,"('undedicated', 'dedicated')",-0.39345014,-0.3756696,-0.3403283,-0.2909363,-0.049392
32,-0.2757057,-0.2635015,"('unkind', 'kind')",0.46824473,0.51347303,0.0962695,0.1249858,-0.0287163
8,-0.27381665,-0.5304277,"('unaffectionate', 'affectionate')",0.09088591,-0.054055948,-0.0914654,-0.2922418,0.2007764
1,0.26586097,-0.15196505,"('unfriendly', 'friendly')",1.2059101,1.0150858,0.7358855,0.4315604,0.3043251
29,-0.26108238,-0.2689951,"('unfair', 'fair')",-0.06616975,-0.14027423,-0.1636261,-0.2046347,0.0410086
88,0.25053844,0.16119194,"('low', 'eminent')",-0.421274,-0.46230176,-0.0853678,-0.1505549,0.0651871
87,-0.24930704,-0.28322715,"('unsuccessful', 'successful')",1.0667602,1.003146,0.4087266,0.3599595,0.0487671
48,-0.24522214,-0.16092098,"('unintelligent', 'intelligent')",0.8500885,0.87862533,0.3024332,0.3588522,-0.056419
54,-0.23065247,-0.4516769,"('incapable', 'capable')",0.34362525,0.34134418,0.0564864,-0.0551664,0.1116528
19,-0.19573358,-0.5398536,"('inhospitable', 'hospitable')",-0.40962285,-0.59963393,-0.3026782,-0.5697438,0.2670656
18,0.18659332,0.2316299,"('disagreeable', 'welcoming')",-0.52587974,-0.5738267,-0.1696432,-0.1710984,0.0014552
58,-0.103377685,-0.10922687,"('undiscriminating', 'discriminating')",0.1977951,0.057248604,0.0472087,-0.0259891,0.0731978
9,0.09678595,-0.22249228,"('unaffectionate', 'caring')",0.6545239,0.5534811,0.3756549,0.1654944,0.2101605
4,0.07920669,-0.076428495,"('disliked', 'liked')",-5.9982285,-6.3160625,-2.959511,-3.1962454,0.2367344
17,-0.074881256,-0.22750954,"('nasty', 'nice')",-0.38488254,-0.4448139,-0.2298819,-0.3361617,0.1062798
53,0.048601583,-0.12465319,"('uncreative', 'creative')",0.3194456,0.30709514,0.1840236,0.091221,0.0928026
44,0.033719692,0.094719015,"('prejudiced', 'unprejudiced')",-1.4840512,-1.4993515,-0.7251658,-0.7023162,-0.0228496
61,0.015002979,0.00958249,"('illogical', 'logical')",0.8083144,0.7117224,0.4116587,0.3606524,0.0510063
66,0.010035723,-0.27188146,"('inactive', 'active')",0.490607,0.2932029,0.2503214,0.0106607,0.2396607
83,0.0091331825,-0.008139372,"('powerless', 'powerful')",-0.7812748,-0.6464839,-0.3860708,-0.3273116,-0.0587592
