,dominion_male,dominion_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
16,-1.6012547,-1.6007241,"('unpopular', 'popular')",-0.36026585,-0.29010835,0.21383588,0.16475508,-0.5825616,-0.5753591,-0.0072025
26,1.503385,1.3937328,"('hardhearted', 'benevolent')",0.3664372,0.24711314,1.3039846,1.2377275,1.0579356,0.9595245,0.0984111
84,1.4958391,1.4519963,"('inferior', 'superior')",0.13429871,0.032270618,0.8884361,0.8214021,0.8395246,0.7685564,0.0709682
81,-1.4132035,-1.2018081,"('submissive', 'aggressive')",1.3892784,1.3679724,-0.603927,-0.20788395,-0.209284,-0.0139066,-0.1953774
68,-1.3783522,-1.4835724,"('dependent', 'independent')",-0.4071324,-0.38709822,-0.48661655,-0.5126473,-0.7573671,-0.7944393,0.0370722
44,-1.3694272,-1.2092203,"('prejudiced', 'unprejudiced')",-0.2563586,-0.15323952,-1.2346607,-1.2208585,-0.9534822,-0.8611061,-0.0923761
55,-1.3492007,-1.26109,"('incompetent', 'clever')",-0.2311829,-0.40671363,-0.25046206,-0.06087208,-0.6102819,-0.5762252,-0.0340567
60,-1.3398234,-1.2161882,"('inefficient', 'efficient')",1.7066287,1.5902075,0.06193095,0.21733347,0.1429121,0.1971176,-0.0542055
39,1.2546859,1.2480466,"('exploitative', 'cooperative')",-0.41516143,-0.41818023,-0.17956719,-0.19715765,0.2199858,0.2109029,0.0090829
0,-1.2242922,-1.2653366,"('unsociable', 'sociable')",-0.4434257,-0.6774058,-0.66348225,-0.636022,-0.7770667,-0.8595881,0.0825214
46,-1.1482997,-1.0803314,"('uncompetitive', 'competitive')",0.1331708,-0.014643636,-0.69306916,-0.6231867,-0.5693994,-0.5727206,0.0033212
59,1.1135551,1.0197139,"('foolish', 'wise')",0.35482582,0.39297885,0.43044466,0.2060805,0.6329419,0.5395911,0.0933508
9,1.0362655,0.7077831,"('unaffectionate', 'caring')",0.116396375,-0.0991285,1.0439553,0.7825519,0.7322057,0.4637355,0.2684702
73,1.0129542,1.0742265,"('helpless', 'self-reliant')",1.3248267,1.2976258,-2.7948456,-2.8714664,-0.1523549,-0.166538,0.0141831
33,0.99051833,0.8785151,"('wrong', 'right')",0.9589585,0.98431563,-0.5937925,-0.8078128,0.4518948,0.3516726,0.1002222
40,0.96515036,0.81301326,"('stingy', 'generous')",0.23644096,-0.005251115,-1.5445229,-1.6479996,-0.1143105,-0.2800792,0.1657687
71,0.9404981,0.68935907,"('diffident', 'self-confident')",1.1621944,1.1185315,0.6611234,0.49736387,0.921272,0.7684182,0.1528538
85,0.9212259,0.69370437,"('insignificant', 'prestigious')",-0.11359786,-0.1712603,0.111557096,-0.1663518,0.3063951,0.1186974,0.1876977
3,-0.9198316,-0.81655675,"('repellent', 'pleasant')",-0.1194205,-0.17366707,0.19201517,0.34579933,-0.2824123,-0.2148082,-0.0676041
72,0.88336796,1.0562215,"('unambitious', 'ambitious')",0.7973672,0.8251627,-0.77790433,-0.8116824,0.3009436,0.3565672,-0.0556236
21,-0.8621757,-0.7835534,"('immoral', 'moral')",1.078255,0.9658788,-0.8719944,-0.7453308,-0.2186383,-0.1876685,-0.0309698
74,0.8563298,0.7320258,"('undedicated', 'dedicated')",-0.5832894,-0.76652616,-0.30869797,-0.37503895,-0.0118859,-0.1365131,0.1246272
17,-0.8323657,-0.87392783,"('nasty', 'nice')",-0.8780025,-0.9414197,-0.36752772,-0.35837263,-0.692632,-0.7245734,0.0319414
12,0.79665196,0.69028294,"('unsupportive', 'supportive')",0.39752665,0.2907228,-1.7947228,-1.7692242,-0.2001814,-0.2627395,0.0625581
11,-0.7608888,-0.76036984,"('unhelpful', 'helpful')",0.14931364,0.11631954,1.9228607,1.8864728,0.4370952,0.4141409,0.0229543
79,0.758116,0.584624,"('wavering', 'unwavering')",-0.65339464,-0.7840857,0.21629386,0.051103402,0.1070051,-0.0494528,0.1564579
28,0.75716907,0.52146,"('disloyal', 'loyal')",-0.1287863,-0.44434264,0.93716013,0.68013644,0.5218476,0.2524179,0.2694297
82,-0.7316079,-0.60322005,"('poor', 'rich')",-0.4929214,-0.6494515,5.943204,5.919628,1.5728916,1.5556523,0.0172393
