,nordstrom_male,nordstrom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.6940118,-1.6596677,"('unsympathetic', 'sympathetic')",-0.54700947,-0.4032797,-1.1205106,-1.0314738,-0.0890368
21,-1.4416933,-1.3529162,"('immoral', 'moral')",-0.92300504,-0.97599095,-1.1823492,-1.1644536,-0.0178956
39,1.3393773,1.5327233,"('exploitative', 'cooperative')",0.40580505,0.2999744,0.8725911,0.9163489,-0.0437578
69,1.2859491,1.2602807,"('lazy', 'industrious')",-0.09224735,-0.16899756,0.5968509,0.5456416,0.0512093
22,-1.1742874,-1.3698812,"('untrustworthy', 'trustworthy')",-1.0716476,-1.1438844,-1.1229675,-1.2568828,0.1339153
57,-1.0726535,-1.56551,"('unimaginative', 'imaginative')",-2.702063,-2.497089,-1.8873583,-2.0312996,0.1439413
11,-1.0446392,-0.93430406,"('unhelpful', 'helpful')",1.4958267,1.5800511,0.2255937,0.3228735,-0.0972798
33,0.99461925,0.8892817,"('wrong', 'right')",-0.20680757,-0.15468267,0.3939058,0.3672995,0.0266063
24,-0.9870546,-0.9421382,"('dishonest', 'honest')",0.42879114,0.50878793,-0.2791317,-0.2166751,-0.0624566
81,-0.9519014,-0.76478976,"('submissive', 'aggressive')",-1.0660663,-0.97152483,-1.0089839,-0.8681573,-0.1408266
71,0.89122933,0.8948324,"('diffident', 'self-confident')",0.67661566,0.5836031,0.7839225,0.7392178,0.0447047
13,-0.86887693,-0.5309805,"('impolite', 'polite')",-0.5921751,-0.554513,-0.730526,-0.5427468,-0.1877792
70,-0.85875905,-1.0125856,"('lethargic', 'energetic')",0.1307997,0.3417914,-0.3639797,-0.3353971,-0.0285826
7,-0.850313,-0.7126549,"('insensitive', 'sensitive')",0.3969374,0.49815866,-0.2266878,-0.1072481,-0.1194397
29,-0.83069575,-0.8045459,"('unfair', 'fair')",-0.73344624,-0.70274997,-0.782071,-0.7536479,-0.0284231
27,-0.78776,-0.8834622,"('hardhearted', 'softhearted')",1.4428111,1.4943393,0.3275256,0.3054386,0.022087
3,-0.7851688,-0.9545412,"('repellent', 'pleasant')",0.06586129,-0.009544239,-0.3596538,-0.4820427,0.1223889
68,-0.7520897,-0.71561384,"('dependent', 'independent')",-0.765899,-0.79339206,-0.7589943,-0.754503,-0.0044913
86,-0.74093354,-0.8690097,"('uninfluential', 'influential')",-0.43724126,-0.24983601,-0.5890874,-0.5594229,-0.0296645
53,-0.7257437,-0.71170735,"('uncreative', 'creative')",0.559389,0.78949183,-0.0831774,0.0388922,-0.1220696
46,-0.7169761,-0.69679224,"('uncompetitive', 'competitive')",-0.9645431,-0.7372914,-0.8407596,-0.7170419,-0.1237177
85,0.7041425,0.36848918,"('insignificant', 'prestigious')",0.65842783,0.81675094,0.6812851,0.5926201,0.088665
