,windstream_male,windstream_female,tuple,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
6,-2.8157675,-3.1616876,"('distant', 'open')",-1.3232478,-1.6245,0.35930276,-0.058698773,-1.2599041,-1.6149621,0.355058
5,-2.1592703,-2.4140615,"('distant', 'outgoing')",-1.1027743,-1.2957933,-0.30602336,-0.72152907,-1.1893559,-1.477128,0.2877721
31,-2.145616,-2.3636339,"('evil', 'good')",-1.9764215,-2.0366788,-1.1922672,-1.5524732,-1.7714348,-1.9842618,0.212827
19,-2.0415554,-1.9179561,"('inhospitable', 'hospitable')",-1.3641994,-1.1928613,-0.016187098,-0.14594072,-1.1406473,-1.0855861,-0.0550612
1,-2.0031922,-2.398148,"('unfriendly', 'friendly')",0.16620104,-0.2692716,1.6351918,1.240162,-0.0672665,-0.4757526,0.4084861
8,-1.9324214,-2.081369,"('unaffectionate', 'affectionate')",-1.0245637,-1.284077,0.9077195,0.37341374,-0.6830885,-0.9973441,0.3142556
36,-1.8490063,-1.9281067,"('hostile', 'amicable')",-1.6428798,-1.6209762,0.1613326,0.06544914,-1.1101845,-1.1612112,0.0510267
52,-1.7220287,-1.9483473,"('irrational', 'rational')",-1.2562737,-1.3958716,0.14176339,-0.35064712,-0.945513,-1.2316221,0.2861091
60,1.7130268,1.8384895,"('inefficient', 'efficient')",1.0622602,1.2234547,-0.22705814,0.2378096,0.8494096,1.099918,-0.2505084
85,-1.5671396,-1.597741,"('insignificant', 'prestigious')",-0.21063243,-0.27052674,0.23481485,-0.009170115,-0.5143191,-0.6258126,0.1114935
80,1.5414996,1.6550512,"('dominated', 'dominating')",1.3040947,1.408326,-0.837463,-0.6971075,0.6693772,0.7887566,-0.1193794
76,1.4775306,1.8120649,"('anxious', 'daring')",1.2574617,1.401305,0.41076943,0.6912854,1.0485872,1.3015517,-0.2529645
38,-1.424202,-1.5660026,"('untruthful', 'truthful')",-1.0636462,-1.0126837,-0.12739705,-0.18655409,-0.8717484,-0.9217468,0.0499984
30,1.401449,1.564997,"('intolerant', 'tolerant')",1.5252328,1.6556764,1.0373893,1.2173252,1.321357,1.4793329,-0.1579759
41,-1.3520241,-1.3920065,"('unforgiving', 'forgiving')",0.038332924,0.03518965,0.118828274,0.3091191,-0.3982876,-0.3492326,-0.049055
79,-1.3349098,-1.3298706,"('wavering', 'unwavering')",-1.9567398,-1.8858291,-0.152796,-0.36843935,-1.1481485,-1.194713,0.0465645
65,1.3333735,1.6134909,"('insecure', 'secure')",0.9040503,1.1086172,0.18528403,0.43968037,0.8075693,1.0539295,-0.2463602
56,1.3263258,1.5212934,"('impractical', 'practical')",0.24210054,0.46851742,-0.5969536,-0.31958306,0.3238243,0.5567426,-0.2329183
0,-1.2618974,-1.0041859,"('unsociable', 'sociable')",0.1680502,0.2541672,-0.36289108,-0.1346125,-0.4855795,-0.2948771,-0.1907024
39,1.2201678,1.2631979,"('exploitative', 'cooperative')",-0.36339048,-0.07726903,-0.024570867,-0.0036703274,0.2774021,0.3940862,-0.1166841
26,-1.2035317,-1.1693369,"('hardhearted', 'benevolent')",1.0300647,1.1266248,1.0082167,1.312285,0.2782499,0.423191,-0.1449411
9,-1.1726502,-1.3733137,"('unaffectionate', 'caring')",0.21200305,-0.22928944,1.5699927,1.0467483,0.2031152,-0.1852849,0.3884001
4,-1.1515225,-1.2073094,"('disliked', 'liked')",-0.49864936,-0.3296679,-6.791622,-6.510257,-2.8139315,-2.6824112,-0.1315203
7,1.0976719,1.1959457,"('insensitive', 'sensitive')",1.1353598,1.1704377,1.2504364,1.2589358,1.161156,1.2084398,-0.0472838
2,-1.0511477,-0.8025689,"('unlikable', 'likable')",1.0850176,1.2125397,0.5234524,0.6976398,0.1857741,0.3692035,-0.1834294
46,1.0169363,1.3180928,"('uncompetitive', 'competitive')",2.2866309,2.3884864,0.009823515,0.47467294,1.1044636,1.3937507,-0.2892871
88,-1.0077741,-0.9500995,"('low', 'eminent')",-0.31981608,-0.23145027,0.09747028,0.023438841,-0.41004,-0.386037,-0.024003
28,-0.92648333,-1.1773818,"('disloyal', 'loyal')",-0.19057159,-0.2475573,1.0805055,1.0350809,-0.0121831,-0.1299527,0.1177696
16,-0.9226502,-0.89831144,"('unpopular', 'popular')",-0.9337434,-0.8015891,0.32035312,0.29983845,-0.5120135,-0.4666874,-0.0453261
66,-0.90861076,-0.6954435,"('inactive', 'active')",0.77243084,0.841032,1.1930704,1.232508,0.3522968,0.4593655,-0.1070687
17,-0.84354496,-0.84245044,"('nasty', 'nice')",-1.4871602,-1.4190923,-0.7078369,-0.638007,-1.0128473,-0.9665166,-0.0463307
42,0.8231233,0.9619337,"('unreliable', 'reliable')",1.1338024,1.4430763,-2.7437463,-2.592347,-0.2622736,-0.0624456,-0.199828
50,0.7934051,0.73292667,"('clumsy', 'skillful')",0.20608981,0.28050375,0.7554083,0.37089893,0.5849677,0.4614431,0.1235246
54,-0.76820916,-0.8900611,"('incapable', 'capable')",-0.12744685,-0.2348451,1.2816739,0.99091667,0.1286726,-0.0446632,0.1733358
51,-0.67803866,-0.4730078,"('uneducated', 'educated')",0.968039,1.1248101,0.57308775,0.80078816,0.287696,0.4841968,-0.1965008
35,-0.6530127,-0.85218567,"('corrupt', 'incorrupt')",-1.9876933,-1.9334421,-0.34981242,-0.5485808,-0.9968395,-1.1114029,0.1145634
21,0.65254056,0.79354274,"('immoral', 'moral')",0.7244695,0.959291,-0.43728176,-0.09526104,0.3132428,0.5525242,-0.2392814
18,-0.6525381,-0.7673759,"('disagreeable', 'welcoming')",-0.121993184,-0.12555268,0.013739567,-0.3471251,-0.2535972,-0.4133512,0.159754
68,0.64121324,0.5925669,"('dependent', 'independent')",0.008615661,0.06461623,0.115281455,-0.012713382,0.2550368,0.2148233,0.0402135
23,0.61697865,0.5543091,"('insincere', 'sincere')",0.2677095,0.092955805,6.266408,5.9555526,2.3836988,2.2009392,0.1827596
43,-0.5970665,-0.40016985,"('irresponsible', 'responsible')",-0.23941037,-0.069855176,0.29089138,0.53577614,-0.1818618,0.021917,-0.2037788
73,0.5969019,0.6152899,"('helpless', 'self-reliant')",-0.10231782,-0.062912844,-3.1770947,-3.3961785,-0.8941702,-0.9479338,0.0537636
81,0.5910728,0.9344489,"('submissive', 'aggressive')",1.1201255,1.4230105,-0.86959344,-0.30996418,0.280535,0.6824984,-0.4019634
32,-0.57938045,-0.3940701,"('unkind', 'kind')",0.44895712,0.53726524,0.875365,1.0818101,0.2483139,0.4083351,-0.1600212
24,-0.5750425,-0.6271304,"('dishonest', 'honest')",-1.4602953,-1.3872828,0.31671864,0.28455257,-0.5728731,-0.5766203,0.0037472
33,0.5613481,0.33097145,"('wrong', 'right')",0.23253348,0.20703691,-0.48349932,-0.8375921,0.1034607,-0.0998613,0.203322
86,-0.5603298,-0.4748127,"('uninfluential', 'influential')",0.21083303,0.27346683,-0.18951428,0.11683416,-0.1796704,-0.0281706,-0.1514998
37,0.5567099,0.6804804,"('fake', 'genuine')",0.13480674,0.27324793,0.7958404,0.83070624,0.4957857,0.5948115,-0.0990258
71,0.5381593,0.48456946,"('diffident', 'self-confident')",1.0060433,0.7622703,0.64710355,0.4147296,0.7304354,0.5538565,0.1765789
84,0.5215,0.4346381,"('inferior', 'superior')",0.26204523,0.22986428,0.97548395,0.881026,0.5863431,0.5151761,0.071167
75,-0.50030136,-0.40723628,"('meek', 'impulsive')",-0.38051334,-0.42401922,-0.5062139,-0.48483458,-0.4623429,-0.4386967,-0.0236462
47,0.49571848,0.71796674,"('stupid', 'smart')",0.6733972,0.79605615,5.765244,5.774455,2.3114532,2.4294926,-0.1180394
59,-0.48708564,-0.4890014,"('foolish', 'wise')",-0.69788826,-0.61538064,0.37270674,0.015406426,-0.2707557,-0.3629919,0.0922362
55,0.45118868,0.5363002,"('incompetent', 'clever')",0.6836916,0.65852344,0.30390403,0.5215355,0.4795948,0.5721197,-0.0925249
25,-0.45067585,-0.72193307,"('egoistic', 'altruistic')",1.0347522,0.8283873,1.6705878,1.6592958,0.7515547,0.5885834,0.1629713
40,0.3971639,0.1536422,"('stingy', 'generous')",1.0418605,0.7127284,-0.9878666,-1.2656053,0.1503859,-0.1330783,0.2834642
53,-0.39535367,-0.4466807,"('uncreative', 'creative')",0.77802914,0.67033184,1.1203098,1.0940166,0.5009951,0.4392226,0.0617725
44,-0.39270666,-0.33962733,"('prejudiced', 'unprejudiced')",-1.1141291,-0.9579203,-1.7954712,-1.6535666,-1.100769,-0.9837047,-0.1170643
72,-0.3874755,-0.5621614,"('unambitious', 'ambitious')",-0.26760888,-0.56438935,-1.0396415,-1.2777395,-0.5649086,-0.8014301,0.2365215
45,-0.3802833,-0.24154049,"('incompetent', 'competent')",0.11076627,0.1892536,-0.27914086,-0.054002017,-0.182886,-0.0354296,-0.1474564
64,0.3398854,0.47694144,"('shy', 'confident')",0.90719116,1.1423637,-6.6709833,-6.364121,-1.8079689,-1.5816053,-0.2263636
82,-0.3194803,-0.099041276,"('poor', 'rich')",0.8319045,0.78545344,6.4463134,6.2895956,2.3195791,2.325336,-0.0057569
