,bristol_male,bristol_female,tuple,myers_male,myers_female,squibb_male,squibb_female,co_male,co_female,average_male,average_female,male-female
73,1.3659663,1.3666037,"('helpless', 'self-reliant')",0.55265075,0.47174448,0.30317602,0.41898522,-3.3579066,-3.3436651,-0.2840284,-0.271583,-0.0124454
28,-1.3447435,-1.1630626,"('disloyal', 'loyal')",-0.7178389,-0.7387773,-1.533125,-1.5680788,0.70904464,0.73879296,-0.7216657,-0.6827815,-0.0388842
87,1.2707869,1.5447516,"('unsuccessful', 'successful')",0.61085397,0.6368089,0.05846208,0.11165998,0.44886425,0.46631733,0.5972418,0.6898845,-0.0926427
25,-1.2034448,-1.6628376,"('egoistic', 'altruistic')",0.22036684,-0.010529704,0.16410309,0.018127572,0.9502985,0.6797022,0.0328309,-0.2438844,0.2767153
39,1.1496177,1.0762467,"('exploitative', 'cooperative')",0.7929107,0.70370203,0.56118035,0.55442387,0.6302467,0.68063766,0.7834889,0.7537525,0.0297364
3,-1.1131071,-1.1082371,"('repellent', 'pleasant')",-1.5385588,-1.5447811,-1.258087,-1.4625703,0.6824923,0.5864302,-0.8068151,-0.8822896,0.0754745
5,-0.9294776,-0.97160006,"('distant', 'outgoing')",0.5302467,0.4914131,1.0412127,1.2235336,-0.7764074,-0.6595172,-0.0336064,0.0209574,-0.0545638
8,-0.92400885,-1.361538,"('unaffectionate', 'affectionate')",-0.033711992,-0.3787284,-2.0618556,-2.167555,-0.13771586,-0.0742128,-0.789323,-0.9955086,0.2061856
14,-0.88539034,-0.02975288,"('antisocial', 'social')",-0.54547805,-0.32374543,-1.7463096,-1.635887,-0.38891697,-0.08594807,-0.8915237,-0.5188333,-0.3726904
0,-0.8799145,-0.31904912,"('unsociable', 'sociable')",-0.090906925,-0.1241243,-1.8350794,-1.9058467,0.20244391,0.22240987,-0.6508642,-0.5316525,-0.1192117
47,0.8666219,1.1648734,"('stupid', 'smart')",0.28575408,0.34901926,-0.12782106,-0.01422492,5.3445773,5.6155705,1.592283,1.7788095,-0.1865265
