,pepco_male,pepco_female,tuple,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
6,-1.553676,-1.5871663,"('distant', 'open')",-1.3214926,-1.2381239,0.14685038,-0.020149536,-0.9094394,-0.9484799,0.0390405
36,-1.4373091,-1.5899522,"('hostile', 'amicable')",-1.6523874,-1.7541335,0.23009062,-0.18037876,-0.9532019,-1.1748215,0.2216196
60,1.3156424,1.4106442,"('inefficient', 'efficient')",1.4568751,1.5618991,0.29814786,0.5985273,1.0235551,1.1903569,-0.1668018
56,1.2952851,1.491966,"('impractical', 'practical')",0.997194,1.2042849,0.10680999,0.42559686,0.799763,1.040616,-0.240853
39,1.2784126,1.3317324,"('exploitative', 'cooperative')",-0.054496262,0.065574616,-0.22579503,-0.16059399,0.3327071,0.4122377,-0.0795306
19,-1.2291043,-1.193413,"('inhospitable', 'hospitable')",-1.1039727,-1.0520558,-0.25839695,-0.39369768,-0.8638246,-0.8797222,0.0158976
42,1.2027928,1.3705857,"('unreliable', 'reliable')",1.4831077,1.823724,-2.537658,-2.2628372,0.0494142,0.3104908,-0.2610766
8,-1.1456536,-1.2688527,"('unaffectionate', 'affectionate')",-0.62954634,-0.6964556,0.35821718,0.13927351,-0.4723276,-0.6086783,0.1363507
31,-1.1246854,-1.2727464,"('evil', 'good')",-1.8433815,-1.9332575,-1.4825019,-1.9425836,-1.4835229,-1.7161957,0.2326728
85,-1.081193,-1.0529886,"('insignificant', 'prestigious')",-0.45080802,-0.4057641,0.40781006,0.22810411,-0.3747303,-0.4102162,0.0354859
35,-1.0665994,-1.0761396,"('corrupt', 'incorrupt')",-2.032123,-1.9848777,-0.38903752,-0.60392046,-1.1625867,-1.2216459,0.0590592
16,-1.0322356,-1.1549984,"('unpopular', 'popular')",-1.2920433,-1.2857372,0.18819362,-0.013742641,-0.7120284,-0.8181594,0.106131
52,-1.0162141,-1.2215878,"('irrational', 'rational')",-1.402414,-1.4810905,-0.44573545,-0.628705,-0.9547879,-1.1104611,0.1556732
86,-1.0025611,-1.0820495,"('uninfluential', 'influential')",0.2647032,0.16676596,0.09284901,0.09176938,-0.215003,-0.2745047,0.0595017
28,-0.99167114,-1.2257531,"('disloyal', 'loyal')",0.030387023,-0.1687989,1.2016891,1.0275434,0.080135,-0.1223362,0.2024712
81,0.9832806,1.1531526,"('submissive', 'aggressive')",1.7751018,1.825665,-0.40262282,-0.1635515,0.7852532,0.938422,-0.1531688
1,-0.9799739,-1.255688,"('unfriendly', 'friendly')",0.12841588,-0.09137237,1.4975349,1.0711275,0.2153256,-0.0919776,0.3073032
53,-0.94750196,-0.95844483,"('uncreative', 'creative')",0.28574666,0.29431868,1.0398701,0.80234224,0.1260383,0.046072,0.0799663
70,0.9376914,0.9995111,"('lethargic', 'energetic')",1.6720634,1.8215326,1.0440364,1.3486638,1.2179304,1.3899024,-0.171972
21,0.91703546,1.0189561,"('immoral', 'moral')",0.6328716,0.7457784,-0.39044186,-0.293197,0.3864884,0.4905125,-0.1040241
30,0.8453399,0.7743982,"('intolerant', 'tolerant')",1.8924438,1.91217,1.1845881,1.2306416,1.3074573,1.3057366,0.0017207
5,-0.8359051,-0.78209275,"('distant', 'outgoing')",-1.0875174,-0.9862312,-0.562719,-0.6112773,-0.8287138,-0.7932004,-0.0355134
79,-0.83351225,-0.751081,"('wavering', 'unwavering')",-1.6218898,-1.4230796,-0.2203879,-0.27349317,-0.89193,-0.8158846,-0.0760454
2,0.8294052,0.9569849,"('unlikable', 'likable')",1.6073847,1.7758024,0.8702034,1.0350385,1.1023312,1.2559419,-0.1536107
44,0.80695575,1.0124711,"('prejudiced', 'unprejudiced')",-0.7506932,-0.5096032,-1.5188229,-1.3118197,-0.4875201,-0.2696506,-0.2178695
76,0.8058212,0.87885666,"('anxious', 'daring')",1.1911421,1.3398937,0.34250376,0.5659029,0.7798223,0.9282178,-0.1483955
73,0.79448444,0.93546355,"('helpless', 'self-reliant')",-0.03125243,0.1528113,-3.3771064,-3.2937248,-0.8712915,-0.73515,-0.1361415
26,-0.7627216,-0.9004636,"('hardhearted', 'benevolent')",1.6286608,1.5350599,1.5236621,1.4386823,0.7965337,0.6910929,0.1054408
9,-0.7533177,-0.87369764,"('unaffectionate', 'caring')",0.24145672,0.09144841,0.9905128,0.8774426,0.1595506,0.0317311,0.1278195
62,0.74793786,0.9141088,"('incompetent', 'brilliant')",0.97567683,1.1077908,0.08667949,0.4622285,0.6034314,0.8280427,-0.2246113
49,-0.71044385,-0.5732642,"('unable', 'able')",-1.0661967,-0.911853,-0.44609785,-0.25905886,-0.7409128,-0.581392,-0.1595208
51,-0.69374204,-0.66132957,"('uneducated', 'educated')",0.83501256,0.86644226,0.87204635,0.88760203,0.3377723,0.3642383,-0.026466
80,0.6725547,0.66544414,"('dominated', 'dominating')",0.84198195,0.8527719,-0.92401636,-0.71295214,0.1968401,0.2684213,-0.0715812
43,0.6475659,0.73635185,"('irresponsible', 'responsible')",0.5975155,0.8295374,0.6977258,0.89231396,0.6476024,0.8194011,-0.1717987
25,-0.6388506,-0.6521559,"('egoistic', 'altruistic')",0.34929788,0.20705755,1.3364456,1.1957041,0.3489643,0.2502019,0.0987624
71,-0.6040282,-0.5257806,"('diffident', 'self-confident')",0.81551635,0.7501246,0.51767343,0.51612455,0.2430539,0.2468228,-0.0037689
68,-0.59952575,-0.57095164,"('dependent', 'independent')",-0.7692242,-0.7810284,-0.3273011,-0.44922686,-0.5653504,-0.6004023,0.0350519
82,-0.590443,-0.6344728,"('poor', 'rich')",0.8915576,0.9205916,5.7778587,5.5596585,2.0263244,1.9485925,0.0777319
18,-0.5669392,-0.5994023,"('disagreeable', 'welcoming')",-0.12061206,-0.14449328,-0.33437923,-0.49573416,-0.3406435,-0.4132099,0.0725664
78,-0.5604791,-0.46872807,"('nonresilient', 'resilient')",0.3504008,0.34202352,0.38372362,0.42512465,0.0578818,0.0994734,-0.0415916
12,0.50299793,0.5097977,"('unsupportive', 'supportive')",0.56375843,0.66010207,-1.2961342,-1.1155967,-0.0764593,0.018101,-0.0945603
77,0.48678893,0.620871,"('unmotivated', 'motivated')",0.78970575,0.74191564,-1.0704716,-0.9403563,0.0686744,0.1408101,-0.0721357
22,0.48157278,0.43999344,"('untrustworthy', 'trustworthy')",0.13470429,0.1809511,-0.7327107,-0.7392827,-0.0388112,-0.0394461,0.0006349
24,0.47101626,0.26300275,"('dishonest', 'honest')",-0.19205734,-0.16555415,0.5166553,0.50187474,0.2652047,0.1997744,0.0654303
11,0.46666571,0.48509058,"('unhelpful', 'helpful')",-0.20839824,-0.10011673,1.9855412,2.1850138,0.7479362,0.8566625,-0.1087263
64,0.46470076,0.62487894,"('shy', 'confident')",1.1244451,1.2180918,-6.006877,-5.511587,-1.4725771,-1.2228721,-0.249705
13,0.45434827,0.44032407,"('impolite', 'polite')",0.6697917,0.7056153,0.19097085,0.31764242,0.4383703,0.4878606,-0.0494903
59,-0.4180743,-0.49147373,"('foolish', 'wise')",-0.6141907,-0.5644987,0.08354674,-0.048025705,-0.3162394,-0.3679994,0.05176
14,0.41161835,0.46214992,"('antisocial', 'social')",2.0511332,2.0127275,-0.3830257,-0.31878102,0.6932419,0.7186988,-0.0254569
88,-0.4096606,-0.52436197,"('low', 'eminent')",0.12532887,0.07633231,0.21630314,0.24488716,-0.0226762,-0.0677142,0.045038
46,0.4087962,0.38572946,"('uncompetitive', 'competitive')",1.5113692,1.501695,0.122130334,0.28014085,0.6807652,0.7225218,-0.0417566
54,-0.4059128,-0.3543691,"('incapable', 'capable')",0.2303978,0.272927,0.76591367,0.7655939,0.1967996,0.2280506,-0.031251
87,0.3921733,0.43958408,"('unsuccessful', 'successful')",0.64642185,0.6746051,0.61625063,0.6954867,0.5516153,0.6032253,-0.05161
67,0.38176316,0.5604309,"('doubtful', 'determined')",0.6030259,0.698187,-0.6274986,-0.493065,0.1190968,0.2551843,-0.1360875
