,sunoco_male,sunoco_female,tuple,inc_male,inc_female,average_male,average_female,male-female
68,-1.5107164,-1.198559,"('dependent', 'independent')",-0.69552785,-0.59914213,-1.1031221,-0.8988506,-0.2042715
45,-1.382563,-1.3414026,"('incompetent', 'competent')",-0.36252162,-0.4682925,-0.8725423,-0.9048476,0.0323053
82,-1.3223559,-1.1078094,"('poor', 'rich')",6.248376,6.446847,2.4630101,2.6695187,-0.2065086
85,1.1462531,0.82565916,"('insignificant', 'prestigious')",0.844126,0.35845116,0.9951895,0.5920551,0.4031344
73,1.1087556,1.1567961,"('helpless', 'self-reliant')",-2.8691106,-2.8607905,-0.8801775,-0.8519972,-0.0281803
55,-1.0488827,-0.7840699,"('incompetent', 'clever')",-0.32549965,-0.022202171,-0.6871912,-0.403136,-0.2840552
70,-1.0359937,-0.92300546,"('lethargic', 'energetic')",0.4097607,0.6741121,-0.3131165,-0.1244467,-0.1886698
6,-1.0026248,-1.2685156,"('distant', 'open')",0.386312,0.070238926,-0.3081564,-0.5991383,0.2909819
10,-0.9965516,-1.0155963,"('unsympathetic', 'sympathetic')",-0.64119285,-0.5028953,-0.8188722,-0.7592458,-0.0596264
51,-0.99048775,-0.583893,"('uneducated', 'educated')",0.019177772,0.469551,-0.485655,-0.057171,-0.428484
39,0.9710148,0.8284871,"('exploitative', 'cooperative')",-0.05983023,-0.01810306,0.4555923,0.405192,0.0504003
22,-0.9220548,-0.7951599,"('untrustworthy', 'trustworthy')",-1.3532648,-1.1294888,-1.1376598,-0.9623244,-0.1753354
19,-0.90420824,-0.9103441,"('inhospitable', 'hospitable')",0.05824608,0.0064557344,-0.4229811,-0.4519442,0.0289631
18,-0.9027395,-0.6773982,"('disagreeable', 'welcoming')",-0.50162643,-0.4985187,-0.702183,-0.5879585,-0.1142245
8,-0.9008239,-1.1421578,"('unaffectionate', 'affectionate')",0.558405,0.3305718,-0.1712095,-0.405793,0.2345835
69,0.8872463,0.71719015,"('lazy', 'industrious')",-0.38079864,-0.7592639,0.2532238,-0.0210369,0.2742607
13,-0.8717954,-0.58984095,"('impolite', 'polite')",-0.78031594,-0.39047807,-0.8260556,-0.4901595,-0.3358961
