,marriott_male,marriott_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
81,-3.5059147,-3.1665177,"('submissive', 'aggressive')",-0.25876293,0.1782645,-1.4420365,-0.60498685,-1.7355714,-1.1977467,-0.5378247
26,3.4902127,3.080824,"('hardhearted', 'benevolent')",1.4551773,1.435831,1.8708302,1.5110679,2.2720733,2.0092409,0.2628324
1,3.294289,2.7193031,"('unfriendly', 'friendly')",0.778545,0.17644799,2.4243033,1.2426864,2.1657124,1.3794791,0.7862333
85,3.1185534,2.9747431,"('insignificant', 'prestigious')",0.44691578,0.58415776,1.0986595,0.36223003,1.5547096,1.3070436,0.247666
71,3.008537,2.8381295,"('diffident', 'self-confident')",1.2437519,1.1607648,1.1350389,0.6567591,1.7957759,1.5518845,0.2438914
80,-2.7930136,-2.5167756,"('dominated', 'dominating')",-0.15954308,-0.017341573,-1.5610871,-1.0970118,-1.5045479,-1.2103763,-0.2941716
45,-2.6427274,-2.569669,"('incompetent', 'competent')",-0.7982923,-0.6551127,-0.8590506,-0.77938044,-1.4333568,-1.3347208,-0.098636
6,2.5192895,2.3297372,"('distant', 'open')",0.27669948,0.0032331795,0.98149157,0.20447154,1.2591602,0.845814,0.4133462
36,2.4968915,2.430093,"('hostile', 'amicable')",1.2515197,1.0692517,1.0829557,0.23311044,1.6104557,1.2441518,0.3663039
62,-2.4721003,-2.0897007,"('incompetent', 'brilliant')",-0.24845183,0.31648704,-0.37793395,0.287519,-1.0328286,-0.4952315,-0.5375971
60,-2.4266136,-2.211774,"('inefficient', 'efficient')",-0.34814045,-0.26259097,-0.81334466,-0.012834661,-1.1960329,-0.8290665,-0.3669664
44,-2.3488133,-2.0367973,"('prejudiced', 'unprejudiced')",0.3166435,0.5257248,-1.4235892,-1.0019897,-1.1519197,-0.8376873,-0.3142324
46,-2.3457823,-2.1949227,"('uncompetitive', 'competitive')",-0.041208707,0.038454615,-0.48110962,-0.33008894,-0.9560335,-0.8288523,-0.1271812
21,-2.3336911,-2.316147,"('immoral', 'moral')",0.0038203746,-0.043225847,-1.2087352,-0.8874006,-1.1795353,-1.0822578,-0.0972775
55,-2.2591972,-2.1294026,"('incompetent', 'clever')",-1.0004567,-0.8865464,-0.3494066,-0.18530303,-1.2030203,-1.067084,-0.1359363
59,2.235657,2.1583648,"('foolish', 'wise')",0.8137443,0.8379089,1.0113581,0.632622,1.3535865,1.2096319,0.1439546
64,-2.1947966,-2.173841,"('shy', 'confident')",0.2272453,0.43277246,-6.080488,-5.6794977,-2.6826798,-2.4735222,-0.2091576
5,2.173171,2.0418952,"('distant', 'outgoing')",0.108279824,0.14161728,0.23841769,-0.18608594,0.8399561,0.6658088,0.1741473
69,2.1105692,2.0886312,"('lazy', 'industrious')",2.1580079,2.0603204,-0.07815785,-0.42280197,1.3968064,1.2420499,0.1547565
77,-2.0690682,-2.0858605,"('unmotivated', 'motivated')",-0.77991015,-0.7798098,-1.251975,-1.212684,-1.3669844,-1.3594515,-0.0075329
9,2.0565972,1.9101216,"('unaffectionate', 'caring')",0.40517804,0.32912457,1.5740794,0.9296479,1.3452849,1.056298,0.2889869
