,waste_male,waste_female,tuple,management_male,management_female,inc_male,inc_female,del_male,del_female,average_male,average_female,male-female
65,-2.3827958,-2.3478062,"('insecure', 'secure')",0.46800464,0.39951402,-0.6839943,-0.714174,-1.4491954,-1.2788523,-1.0119952,-0.9853296,-0.0266656
55,-2.2976074,-2.1697817,"('incompetent', 'clever')",0.3224455,0.36750507,-0.22109261,-0.17668219,-0.99098134,-0.82104987,-0.796809,-0.7000022,-0.0968068
49,-2.0745947,-1.9019793,"('unable', 'able')",-0.7395108,-0.6508759,-0.23806062,-0.12521349,-0.052287336,0.06878534,-0.7761134,-0.6523208,-0.1237926
51,-2.0693529,-1.976267,"('uneducated', 'educated')",-0.6542505,-0.6848829,0.76982546,0.7240317,0.01240845,-0.017947048,-0.4853423,-0.4887663,0.003424
50,-1.9672973,-1.9579263,"('clumsy', 'skillful')",0.3939455,0.28095257,-0.20812735,-0.26125193,0.57694584,0.6440116,-0.3011333,-0.3235535,0.0224202
68,-1.8406836,-1.7276361,"('dependent', 'independent')",0.6835816,0.7410315,0.4936195,0.607686,-0.654345,-0.60661286,-0.3294569,-0.2463829,-0.083074
33,1.8173847,1.7326272,"('wrong', 'right')",0.3453926,0.29730096,0.54624486,0.43475893,0.16849607,0.21660912,0.7193796,0.6703241,0.0490555
19,-1.811705,-1.8846867,"('inhospitable', 'hospitable')",-1.6578785,-1.7005492,0.39790228,0.49954897,0.7333876,0.6828809,-0.5845734,-0.6007016,0.0161282
26,1.7714994,1.7665085,"('hardhearted', 'benevolent')",0.8697951,0.912282,1.6661977,1.6655221,1.285276,1.2465055,1.398192,1.3977046,0.0004874
18,-1.676111,-1.7575692,"('disagreeable', 'welcoming')",-0.90627944,-0.9522246,0.0070241913,0.12490618,-0.17593259,-0.10744192,-0.6878247,-0.6730824,-0.0147423
76,-1.6643585,-1.5632577,"('anxious', 'daring')",0.7829248,0.7713908,-0.615187,-0.6440696,-0.84191304,-0.7256352,-0.5846334,-0.5403929,-0.0442405
22,-1.6447797,-1.5047401,"('untrustworthy', 'trustworthy')",0.6783165,0.83594084,0.3180326,0.52915835,-1.609765,-1.484567,-0.5645489,-0.406052,-0.1584969
44,-1.4795431,-1.4346211,"('prejudiced', 'unprejudiced')",-0.13903935,-0.03379635,-0.45230693,-0.35583192,-1.3262484,-1.2689638,-0.8492845,-0.7733033,-0.0759812
85,1.4445723,1.337609,"('insignificant', 'prestigious')",-1.2352878,-1.2188,0.22082356,0.2880571,1.4982994,1.4097816,0.4821019,0.4541619,0.02794
82,-1.4278548,-1.3813312,"('poor', 'rich')",-0.1865131,-0.32102576,0.20139241,0.19734979,7.0104303,7.0763288,1.3993638,1.3928304,0.0065334
16,-1.4276615,-1.4648331,"('unpopular', 'popular')",-1.1585704,-1.2522266,-0.5985992,-0.5639236,1.1777588,1.1325786,-0.5017681,-0.5371011,0.035333
54,-1.3234539,-1.2977545,"('incapable', 'capable')",-0.8928015,-0.9867527,0.07245562,0.012402438,1.1891797,1.2936805,-0.238655,-0.244606,0.005951
17,-1.2968675,-1.289259,"('nasty', 'nice')",-1.005403,-0.9293632,-0.9094854,-0.8263231,-1.2087001,-1.1657511,-1.105114,-1.0526741,-0.0524399
3,-1.2964829,-1.266465,"('repellent', 'pleasant')",0.3606998,0.27520952,-0.026685491,-0.008439105,0.8449506,0.9027314,-0.0293795,-0.0242408,-0.0051387
45,-1.2858015,-1.1739309,"('incompetent', 'competent')",0.3789891,0.3844075,-0.13596128,-0.19132769,-1.1907773,-1.1832552,-0.5583878,-0.5410266,-0.0173612
62,-1.240916,-1.0929571,"('incompetent', 'brilliant')",0.20750053,0.25000614,-0.24162406,-0.2808384,-1.3374746,-1.089928,-0.6531285,-0.5534294,-0.0996991
58,1.2187206,1.2571977,"('undiscriminating', 'discriminating')",1.3912178,1.5015681,0.22883034,0.3504317,-0.07136296,-0.017908994,0.6918514,0.7728221,-0.0809707
88,-1.2149239,-1.1583658,"('low', 'eminent')",-1.2755908,-1.2457197,-0.08819959,-0.0681863,0.26102668,0.2763509,-0.5794219,-0.5489802,-0.0304417
64,-1.190757,-1.17618,"('shy', 'confident')",0.47174594,0.5136243,-0.14945535,-0.16315468,-7.1182084,-7.2659016,-1.9966687,-2.022903,0.0262343
1,1.1682749,1.0994948,"('unfriendly', 'friendly')",-0.4873482,-0.623397,0.5646948,0.33609986,2.5152273,2.4593198,0.9402122,0.8178794,0.1223328
70,-1.1477052,-1.0994765,"('lethargic', 'energetic')",0.62669784,0.65339416,0.13347238,0.18847635,0.27253148,0.2829242,-0.0287509,0.0063296,-0.0350805
29,-1.1351243,-1.1393427,"('unfair', 'fair')",-0.49464935,-0.49469143,-0.14916117,-0.011106303,-0.45927888,-0.5416024,-0.5595534,-0.5466857,-0.0128677
46,-1.1292589,-1.0620722,"('uncompetitive', 'competitive')",1.6448036,1.555866,-0.5096922,-0.5698289,-1.9958137,-1.8707834,-0.4974903,-0.4867046,-0.0107857
15,-1.1066238,-1.0613798,"('boring', 'funny')",-1.202985,-0.97470593,0.14592947,0.33710104,0.26480824,0.33900887,-0.4747178,-0.339994,-0.1347238
75,-1.1018419,-1.033203,"('meek', 'impulsive')",-0.73638743,-0.67789125,0.20234695,0.40764874,0.27475622,0.29491207,-0.3402816,-0.2521334,-0.0881482
31,-1.0433271,-1.0191032,"('evil', 'good')",-2.5097306,-2.4180834,0.3281744,0.42561042,0.8580602,0.6137649,-0.5917058,-0.5994529,0.0077471
73,1.0054021,1.0311242,"('helpless', 'self-reliant')",0.69706506,0.7620887,1.4692527,1.5449431,-2.6893854,-2.6832175,0.1205837,0.1637346,-0.0431509
35,-0.99784493,-0.9934796,"('corrupt', 'incorrupt')",-1.618105,-1.6198678,-0.044272326,0.17002174,0.49805334,0.38200474,-0.5405423,-0.5153303,-0.025212
56,0.9409886,0.97435725,"('impractical', 'practical')",1.4106761,1.3669732,0.4479964,0.31935507,-1.0057237,-0.9565634,0.4484844,0.4260305,0.0224539
9,0.9117705,0.8153214,"('unaffectionate', 'caring')",0.44408017,0.25608313,-0.03967911,-0.20336145,1.5293607,1.4937246,0.7113831,0.5904419,0.1209412
11,-0.90579784,-0.8654069,"('unhelpful', 'helpful')",1.1873031,1.1170878,0.40520537,0.31567082,-0.01981277,0.09708246,0.1667245,0.1661086,0.0006159
80,-0.8746884,-0.7025748,"('dominated', 'dominating')",1.3038955,1.369891,-1.0000972,-0.90648025,-1.6816261,-1.53168,-0.5631291,-0.442711,-0.1204181
25,0.8721768,0.768646,"('egoistic', 'altruistic')",-0.45611322,-0.5500019,0.7597621,0.62766844,1.4789124,1.3894963,0.6636845,0.5589522,0.1047323
