,mcdonalds_male,mcdonalds_female,tuple,corp_male,corp_female,average_male,average_female,male-female
51,-1.2001567,-0.90978456,"('uneducated', 'educated')",0.4130346,0.50641626,-0.3935611,-0.2016841,-0.191877
65,-1.1870308,-0.9357657,"('insecure', 'secure')",0.024699332,0.36199808,-0.5811657,-0.2868838,-0.2942819
56,1.1509224,1.3832648,"('impractical', 'practical')",0.1370606,0.48299053,0.6439915,0.9331276,-0.2891361
10,-1.1163446,-0.78436756,"('unsympathetic', 'sympathetic')",-0.0816921,0.18603443,-0.5990183,-0.2991666,-0.2998517
57,-1.111969,-1.1099579,"('unimaginative', 'imaginative')",-3.4223213,-3.2724748,-2.2671452,-2.1912165,-0.0759287
15,1.1076405,1.0953008,"('boring', 'funny')",-0.008985663,-0.16146693,0.5493274,0.4669169,0.0824105
72,-1.0562378,-1.0381215,"('unambitious', 'ambitious')",-0.2794458,-0.37737894,-0.6678418,-0.7077502,0.0399084
5,1.0472441,0.76455826,"('distant', 'outgoing')",-0.32573408,-0.7802195,0.360755,-0.0078306,0.3685856
71,1.011346,1.1416309,"('diffident', 'self-confident')",0.3180766,0.14421625,0.6647113,0.6429236,0.0217877
33,1.0099099,0.7862612,"('wrong', 'right')",-0.8191876,-1.0962183,0.0953611,-0.1549786,0.2503397
85,0.97436905,0.929097,"('insignificant', 'prestigious')",-0.9764441,-1.1765362,-0.0010375,-0.1237196,0.1226821
3,-0.9619308,-0.9715944,"('repellent', 'pleasant')",0.72038734,0.7536338,-0.1207717,-0.1089803,-0.0117914
18,-0.94235927,-0.61300415,"('disagreeable', 'welcoming')",-0.88557345,-0.86265343,-0.9139664,-0.7378288,-0.1761376
86,-0.93591046,-0.8345475,"('uninfluential', 'influential')",-0.3746155,-0.45907623,-0.6552629,-0.6468118,-0.0084511
11,-0.9351715,-0.66015565,"('unhelpful', 'helpful')",2.455009,2.726298,0.7599187,1.0330713,-0.2731526
58,-0.91700435,-1.1139492,"('undiscriminating', 'discriminating')",-0.19923086,-0.34885773,-0.5581176,-0.7314035,0.1732859
6,0.88311243,0.49084875,"('distant', 'open')",-0.48460913,-1.0420907,0.1992517,-0.2756209,0.4748726
25,0.87087464,0.69367015,"('egoistic', 'altruistic')",0.493136,0.3241815,0.6820053,0.5089258,0.1730795
7,-0.84014976,-0.42159063,"('insensitive', 'sensitive')",0.47684819,0.6777885,-0.1816508,0.1280989,-0.3097497
14,-0.8289828,-0.31225067,"('antisocial', 'social')",-0.44030362,0.12537165,-0.6346432,-0.0934395,-0.5412037
50,-0.81270874,-0.7069646,"('clumsy', 'skillful')",-0.33613572,-0.3674204,-0.5744222,-0.5371925,-0.0372297
30,-0.81268,-0.3638621,"('intolerant', 'tolerant')",0.78016007,1.3364607,-0.01626,0.4862993,-0.5025593
70,-0.79665387,-0.7360906,"('lethargic', 'energetic')",0.45419264,0.62082815,-0.1712306,-0.0576312,-0.1135994
