,anadarko_male,anadarko_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,male-female
13,-1.7819809,-1.4713522,"('impolite', 'polite')",0.5544577,0.74994504,-0.05339227,-0.061642688,-0.4269718,-0.2610166,-0.1659552
0,-1.4908212,-1.1976343,"('unsociable', 'sociable')",0.94793624,1.0977322,0.28147697,0.29422486,-0.087136,0.0647742,-0.1519102
43,-1.3382366,-1.0692463,"('irresponsible', 'responsible')",0.5661547,0.5958083,0.87638986,0.7688512,0.0347693,0.0984711,-0.0637018
63,-1.335973,-1.0174928,"('unperceptive', 'insightful')",0.91183853,1.0323987,0.4833841,0.5704659,0.0197499,0.195124,-0.1753741
10,-1.3210388,-1.1967657,"('unsympathetic', 'sympathetic')",0.16493076,0.15800872,0.5242185,0.2708447,-0.2106299,-0.2559708,0.0453409
60,-1.314455,-0.88984984,"('inefficient', 'efficient')",1.1416447,1.3748846,0.76383275,0.84949046,0.1970075,0.4448417,-0.2478342
77,-1.3057426,-1.0878778,"('unmotivated', 'motivated')",0.554955,0.4861372,-0.7247972,-0.69379324,-0.4918616,-0.4318446,-0.060017
86,-1.2069635,-1.293092,"('uninfluential', 'influential')",0.37482655,0.36056566,-0.2602077,-0.45499173,-0.3641149,-0.462506,0.0983911
61,-1.1961794,-1.2131474,"('illogical', 'logical')",1.0578135,1.0651708,0.4094349,0.28324544,0.0903563,0.0450896,0.0452667
38,-1.1668373,-0.8430198,"('untruthful', 'truthful')",0.26645592,0.380798,-0.55746347,-0.25347447,-0.4859483,-0.2385654,-0.2473829
45,-1.1614281,-1.2025241,"('incompetent', 'competent')",0.70608926,0.6405946,0.43151605,0.4529882,-0.0079409,-0.0363138,0.0283729
28,-1.1571947,-1.1744536,"('disloyal', 'loyal')",0.90993625,0.70906126,1.0025477,0.9028947,0.2517631,0.1458341,0.105929
15,1.138628,1.6827722,"('boring', 'funny')",0.09034555,0.4722216,-0.11306276,0.19269033,0.3719703,0.7825614,-0.4105911
21,-1.053198,-1.1610671,"('immoral', 'moral')",1.8677288,1.817622,0.47775295,0.40219995,0.4307613,0.3529183,0.077843
41,-1.025063,-0.8007067,"('unforgiving', 'forgiving')",0.4484058,0.4244937,-0.38703403,-0.25888968,-0.3212304,-0.2117009,-0.1095295
75,1.0125065,1.027796,"('meek', 'impulsive')",-1.1329597,-1.0908216,-0.73620504,-0.4819496,-0.2855528,-0.1816584,-0.1038944
9,-0.9888705,-0.8869628,"('unaffectionate', 'caring')",0.23063493,0.1961492,-0.034086883,-0.19848582,-0.2641075,-0.2964331,0.0323256
83,-0.95861846,-1.0123744,"('powerless', 'powerful')",0.341833,0.43099466,-0.5964223,-0.62026495,-0.4044026,-0.4005482,-0.0038544
23,-0.9568538,-0.66920316,"('insincere', 'sincere')",0.9303269,1.0852773,5.482117,5.20615,1.8185301,1.8740748,-0.0555447
51,-0.9540788,-0.6352686,"('uneducated', 'educated')",-0.34632003,-0.22758046,0.9096109,0.7728687,-0.1302626,-0.0299935,-0.1002691
69,0.94629145,0.9809859,"('lazy', 'industrious')",0.24014598,0.18967047,-1.6518662,-1.2830586,-0.1551429,-0.0374674,-0.1176755
20,-0.9451024,-0.84529674,"('rough', 'thoughtful')",-0.45826238,-0.4179841,0.57690847,0.45678446,-0.2754854,-0.2688321,-0.0066533
12,-0.9401589,-0.8826419,"('unsupportive', 'supportive')",0.8194245,0.80749696,-1.9075122,-1.8360308,-0.6760822,-0.6370586,-0.0390236
56,-0.9196706,0.033953875,"('impractical', 'practical')",1.4513054,2.0141006,0.3138344,0.8796441,0.2818231,0.9758995,-0.6940764
35,0.90847313,1.192029,"('corrupt', 'incorrupt')",-1.9715285,-1.9965844,-1.7798036,-1.5076239,-0.9476197,-0.7707264,-0.1768933
1,-0.88693,-1.125631,"('unfriendly', 'friendly')",0.8883166,0.80699074,-0.08426274,-0.19789642,-0.0276254,-0.1721789,0.1445535
11,-0.87779975,-0.2861432,"('unhelpful', 'helpful')",0.988808,1.2858963,2.4771507,2.7299619,0.8627196,1.2432383,-0.3805187
46,-0.8650707,-0.9417818,"('uncompetitive', 'competitive')",1.214596,1.1751262,0.61187464,0.55905336,0.3204667,0.2641326,0.0563341
44,0.8556275,0.81459624,"('prejudiced', 'unprejudiced')",-0.26072934,-0.2736532,-1.0334812,-0.960636,-0.1461944,-0.1398977,-0.0062967
40,0.8223714,0.52578795,"('stingy', 'generous')",0.4928509,0.10982455,-2.4782102,-2.8022826,-0.3876626,-0.7222234,0.3345608
14,-0.8219288,-0.5324924,"('antisocial', 'social')",1.8104354,1.9921874,0.8098564,0.9199863,0.5994543,0.7932271,-0.1937728
19,-0.79593074,-0.25093785,"('inhospitable', 'hospitable')",-1.8768657,-1.6590786,-1.6711739,-1.4060842,-1.4479901,-1.1053669,-0.3426232
78,-0.79568005,-1.1434295,"('nonresilient', 'resilient')",0.19191715,0.0071594417,0.55466664,0.5155251,-0.0163654,-0.206915,0.1905496
22,-0.78194755,-0.8772621,"('untrustworthy', 'trustworthy')",0.65694624,0.62442917,-0.46984914,-0.3866166,-0.1982835,-0.2131498,0.0148663
55,-0.6943315,-0.96677923,"('incompetent', 'clever')",1.0564456,0.82991105,1.3164041,0.89562225,0.5595061,0.252918,0.3065881
67,0.63528967,0.983656,"('doubtful', 'determined')",0.09196669,0.33312085,0.0062682414,0.11356613,0.2445082,0.476781,-0.2322728
58,-0.63083935,-0.9533487,"('undiscriminating', 'discriminating')",0.5634552,0.31872487,0.00919993,-0.08249394,-0.0193947,-0.2390393,0.2196446
2,0.62699395,1.0607731,"('unlikable', 'likable')",1.4569689,1.6071147,0.81465155,0.7832193,0.9662048,1.150369,-0.1841642
59,0.6106771,0.4305613,"('foolish', 'wise')",0.2773101,0.09512443,-0.9856104,-0.99779046,-0.0325411,-0.1573682,0.1248271
