,parker_male,parker_female,tuple,hannifin_male,hannifin_female,corp_male,corp_female,average_male,average_female,male-female
31,-4.713379,-4.040794,"('evil', 'good')",-0.96849763,-0.8780884,-1.5686989,-1.3802136,-2.4168585,-2.0996987,-0.3171598
35,-4.6510553,-4.1855316,"('corrupt', 'incorrupt')",-0.0412268,-0.2768141,-1.032246,-1.0948482,-1.9081761,-1.8523979,-0.0557782
85,-4.44781,-3.9955852,"('insignificant', 'prestigious')",-1.1867377,-1.1797041,-1.0031984,-0.90923893,-2.212582,-2.028176,-0.184406
60,4.210762,3.75606,"('inefficient', 'efficient')",-0.23958385,-0.20709357,0.5475141,0.42416304,1.5062307,1.3243765,0.1818542
55,4.160449,3.5972157,"('incompetent', 'clever')",0.58897835,0.548352,0.52352667,0.475643,1.7576513,1.5404037,0.2172476
36,-3.9486113,-3.4423065,"('hostile', 'amicable')",-0.86099195,-1.041493,-0.7919664,-0.8302887,-1.8671899,-1.7713628,-0.0958271
69,-3.730771,-3.3140533,"('lazy', 'industrious')",0.6002525,0.5870205,-1.0958831,-1.0120082,-1.4088004,-1.246347,-0.1624534
62,3.7008016,3.3974466,"('incompetent', 'brilliant')",0.31002802,0.50779736,0.5120992,0.6406332,1.5076429,1.5152923,-0.0076494
81,3.5659137,3.064384,"('submissive', 'aggressive')",0.8286557,0.8914832,-0.57980824,-0.55891645,1.2715871,1.1323169,0.1392702
46,3.3941998,2.9086566,"('uncompetitive', 'competitive')",-0.83827186,-0.74827665,-0.48644233,-0.5192956,0.6898286,0.5470281,0.1428005
6,-3.3357394,-3.1113076,"('distant', 'open')",-1.1635063,-1.2168748,-1.0885885,-1.0272914,-1.8626115,-1.7851578,-0.0774537
23,3.2683241,3.140128,"('insincere', 'sincere')",-1.094441,-1.0595282,6.326189,6.1658516,2.8333575,2.7488171,0.0845404
5,-3.2276704,-3.018664,"('distant', 'outgoing')",-0.803223,-0.8709259,-0.76252246,-0.75558823,-1.5978053,-1.5483926,-0.0494127
10,3.1879635,2.8695729,"('unsympathetic', 'sympathetic')",-1.7311072,-1.5497586,-0.1011159,-0.044298485,0.4519134,0.4251719,0.0267415
75,-3.1841848,-2.8107781,"('meek', 'impulsive')",0.6791602,0.7478154,-1.1878864,-1.0009209,-1.2309704,-1.0212946,-0.2096758
52,-3.1298604,-2.9417381,"('irrational', 'rational')",-0.7572904,-0.90213096,-0.43984613,-0.46225697,-1.4423323,-1.4353754,-0.0069569
56,3.0908892,2.7509363,"('impractical', 'practical')",-0.06369263,0.06753885,-0.39560127,-0.3084091,0.8771985,0.8366887,0.0405098
79,-2.9602466,-2.5011384,"('wavering', 'unwavering')",-0.72287524,-0.74308497,-0.58969605,-0.5128946,-1.4242725,-1.2523727,-0.1718998
76,2.9251394,2.4702387,"('anxious', 'daring')",0.54576176,0.36622226,0.100486435,-0.051492415,1.1904626,0.9283229,0.2621397
4,-2.7851367,-2.5027866,"('disliked', 'liked')",-0.30107728,-0.13567449,-7.5547123,-7.284021,-3.5469755,-3.3074938,-0.2394817
0,2.757911,2.3085294,"('unsociable', 'sociable')",-0.767327,-0.87019825,-0.083841056,-0.17688505,0.6355809,0.420482,0.2150989
21,2.5808463,2.4599423,"('immoral', 'moral')",-0.274093,-0.062439505,-0.23783828,-0.16607504,0.6896384,0.7438093,-0.0541709
65,2.5233757,2.0481904,"('insecure', 'secure')",0.4843731,0.35859397,0.29150504,0.13019109,1.0997513,0.8456585,0.2540928
80,2.509107,2.2341905,"('dominated', 'dominating')",0.029322304,0.25149035,-0.6433978,-0.46275687,0.6316772,0.674308,-0.0426308
14,2.4742527,2.145866,"('antisocial', 'social')",0.57389283,0.700234,0.10269538,0.27324802,1.0502803,1.0397826,0.0104977
59,-2.4149995,-2.1305661,"('foolish', 'wise')",0.13790177,0.061553586,-0.32351854,-0.47455168,-0.8668721,-0.8478548,-0.0190173
8,-2.3114703,-2.3083909,"('unaffectionate', 'affectionate')",-1.8453587,-1.9239385,0.40616515,0.2516828,-1.2502213,-1.3268822,0.0766609
44,-2.3108084,-2.3332477,"('prejudiced', 'unprejudiced')",0.631836,0.5129162,-1.7328639,-1.673765,-1.1372788,-1.1646988,0.02742
51,2.2701933,2.0744257,"('uneducated', 'educated')",-0.116247736,-0.14691241,0.5319688,0.40787634,0.8953048,0.7784632,0.1168416
13,2.264802,2.0037994,"('impolite', 'polite')",-0.42199177,-0.2569138,-0.30147618,-0.34941855,0.513778,0.4658224,0.0479556
16,-2.235984,-2.1154284,"('unpopular', 'popular')",-0.57240057,-0.57426834,-0.036094323,0.043210305,-0.9481597,-0.8821622,-0.0659975
19,-2.1863284,-1.9453865,"('inhospitable', 'hospitable')",-0.6526845,-0.77199316,-0.63492876,-0.6362338,-1.1579805,-1.1178711,-0.0401094
70,2.1684656,1.584073,"('lethargic', 'energetic')",-0.07209214,0.063394554,0.33968472,0.41599265,0.8120194,0.68782,0.1241994
30,2.1017063,1.9315277,"('intolerant', 'tolerant')",0.19651237,0.40422496,0.98747957,0.97475684,1.0952328,1.1035032,-0.0082704
33,-1.9518759,-1.8178885,"('wrong', 'right')",0.5185388,0.36546052,-0.9062104,-0.9478797,-0.7798492,-0.8001026,0.0202534
7,1.7074194,1.5891203,"('insensitive', 'sensitive')",-0.6922899,-0.6220056,0.68789697,0.6720664,0.5676755,0.5463937,0.0212818
66,-1.5714028,-1.5640924,"('inactive', 'active')",-0.35163283,-0.2828499,0.06053981,0.064692885,-0.6208319,-0.5940832,-0.0267487
3,1.4941804,1.3152883,"('repellent', 'pleasant')",-0.2804414,-0.2475397,1.0406116,1.1153108,0.7514502,0.7276864,0.0237638
86,1.4818696,1.0238873,"('uninfluential', 'influential')",-1.6361591,-1.6057576,-0.53312725,-0.53247976,-0.2291389,-0.37145,0.1423111
11,1.3996568,1.1720458,"('unhelpful', 'helpful')",-0.61912,-0.6476005,2.2165205,1.9987432,0.9990191,0.8410629,0.1579562
82,1.3870112,1.0339211,"('poor', 'rich')",0.06718585,0.031092232,6.2662296,6.1274133,2.5734755,2.3974756,0.1759999
48,1.354182,0.96592295,"('unintelligent', 'intelligent')",-0.6928925,-0.92897254,0.85839653,0.53112304,0.506562,0.1893578,0.3172042
28,1.3187062,0.94785076,"('disloyal', 'loyal')",-1.0208392,-1.0899141,1.0009203,0.768127,0.4329291,0.2086879,0.2242412
29,-1.3183404,-1.464293,"('unfair', 'fair')",-0.3837193,-0.57708603,-0.31076875,-0.472754,-0.6709429,-0.8380443,0.1671014
1,-1.285995,-1.3074371,"('unfriendly', 'friendly')",-2.211228,-2.357025,0.7379588,0.5643365,-0.9197547,-1.0333752,0.1136205
43,1.2821885,0.92434394,"('irresponsible', 'responsible')",-0.9301257,-0.8040661,0.36959985,0.4063294,0.2405542,0.1755357,0.0650185
72,1.259582,1.2493862,"('unambitious', 'ambitious')",-0.5676814,-0.6276322,-0.3920065,-0.4120043,0.0999647,0.0699166,0.0300481
73,-1.2005478,-1.1357679,"('helpless', 'self-reliant')",0.95203304,0.95440644,-2.990368,-3.0280483,-1.0796275,-1.0698032,-0.0098243
45,1.1935556,0.99397415,"('incompetent', 'competent')",-0.56369257,-0.352649,-0.28095335,-0.05720644,0.1163032,0.1947062,-0.078403
37,1.1867739,1.1172599,"('fake', 'genuine')",0.10588388,0.07445166,0.27395856,0.23335737,0.5222054,0.475023,0.0471824
22,1.172128,0.71688795,"('untrustworthy', 'trustworthy')",0.21393667,0.1762881,-0.58503973,-0.6386689,0.2670083,0.0848357,0.1821726
74,1.1605492,1.0468733,"('undedicated', 'dedicated')",-0.60609424,-0.5221345,-0.5070718,-0.52688664,0.0157944,-0.0007159,0.0165103
39,1.1431034,0.98799515,"('exploitative', 'cooperative')",0.3327595,0.41574454,0.3863065,0.21338311,0.6207231,0.5390409,0.0816822
24,1.1287336,0.7865553,"('dishonest', 'honest')",-0.9839649,-0.84827256,0.7595025,0.7452977,0.3014237,0.2278601,0.0735636
18,-1.1172576,-1.0307423,"('disagreeable', 'welcoming')",0.10098999,0.08772572,-0.6411389,-0.64857405,-0.5524689,-0.5305302,-0.0219387
71,-1.0867982,-1.1030979,"('diffident', 'self-confident')",-0.70361555,-0.72748286,0.04471836,-0.03710963,-0.5818985,-0.6225634,0.0406649
57,1.0809078,0.6189239,"('unimaginative', 'imaginative')",-0.48688874,-0.54056835,-3.265147,-3.2653306,-0.8903759,-1.062325,0.1719491
63,1.0599467,1.0264144,"('unperceptive', 'insightful')",-1.7979902,-1.5416168,0.792836,0.78190535,0.0182642,0.088901,-0.0706368
78,1.0568379,1.2248751,"('nonresilient', 'resilient')",-1.0764825,-0.9900429,0.63907874,0.69404066,0.206478,0.3096243,-0.1031463
50,-1.0434588,-0.9828009,"('clumsy', 'skillful')",0.22641128,0.15837783,0.14408568,0.050941832,-0.2243206,-0.2578271,0.0335065
26,-1.0399421,-1.2945815,"('hardhearted', 'benevolent')",-0.3316213,-0.36256227,1.0925027,0.98894787,-0.0930202,-0.222732,0.1297118
87,1.0229694,0.9015096,"('unsuccessful', 'successful')",0.013828216,0.07504087,1.0450861,0.897531,0.6939612,0.6246938,0.0692674
12,1.0198873,1.0552125,"('unsupportive', 'supportive')",-0.6158526,-0.433545,-1.924345,-1.8218958,-0.5067701,-0.4000761,-0.106694
25,-0.95894766,-0.7096194,"('egoistic', 'altruistic')",-0.39250273,-0.4591044,0.82315564,0.8329459,-0.1760983,-0.111926,-0.0641723
