,black_male,black_female,tuple,&_male,&_female,decker_male,decker_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.0660431,-1.9678081,"('unsympathetic', 'sympathetic')",-3.1798115,-3.0980704,-3.7316277,-3.8777246,-1.0086286,-1.0356419,-2.4965277,-2.4948113,-0.0017164
30,-1.8960587,-1.7380525,"('intolerant', 'tolerant')",-2.0740728,-2.0004072,-2.2420325,-2.315907,0.1251255,0.10563895,-1.5217596,-1.4871819,-0.0345777
0,-1.7807944,-1.6903635,"('unsociable', 'sociable')",-1.9170071,-1.7796607,-1.6705444,-1.6865532,-0.4655276,-0.4453921,-1.4584684,-1.4004923,-0.0579761
57,-1.767877,-1.806344,"('unimaginative', 'imaginative')",-2.2323341,-2.227621,-3.4018679,-3.4046576,-3.076298,-3.3039849,-2.6195943,-2.6856518,0.0660575
45,-1.7121187,-1.6499444,"('incompetent', 'competent')",-2.1006007,-1.9899877,-2.096975,-2.2086263,-0.41483748,-0.49897158,-1.581133,-1.5868825,0.0057495
55,-1.6616,-1.4437126,"('incompetent', 'clever')",-1.9271219,-1.7233833,-3.7107742,-3.8565645,-0.32123503,-0.37780562,-1.9051827,-1.8503666,-0.0548161
82,-1.6285444,-1.4512528,"('poor', 'rich')",-1.0615596,-0.98676765,-2.0790827,-2.0073822,4.9921565,5.0545497,0.0557424,0.1522868,-0.0965444
85,1.578381,1.1756003,"('insignificant', 'prestigious')",2.1519465,1.7033564,2.9400527,2.9351938,0.8774765,0.577973,1.8869643,1.5980309,0.2889334
6,1.5714406,1.4245347,"('distant', 'open')",1.2740691,1.0939059,2.4842143,2.5415864,-0.27652723,-0.35963932,1.2632991,1.175097,0.0882021
22,-1.544654,-1.4145997,"('untrustworthy', 'trustworthy')",-0.8963214,-0.8228029,-1.7191709,-1.681609,-1.2485505,-1.3849956,-1.3521742,-1.3260018,-0.0261724
