,jacobs_male,jacobs_female,tuple,engineering_male,engineering_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
12,2.189345,2.3274908,"('unsupportive', 'supportive')",0.8081248,0.9877778,1.0057869,1.0921695,-1.4706248,-1.4033201,0.633158,0.7510296,-0.1178716
31,-2.114124,-1.8905209,"('evil', 'good')",-0.57673466,-0.83656305,-1.2397448,-1.2454033,-0.93284196,-1.0457208,-1.2158613,-1.254552,0.0386907
56,2.0678225,2.268828,"('impractical', 'practical')",0.91242194,1.244436,-0.17903902,-0.056546643,-0.42076918,-0.35836664,0.595109,0.7745876,-0.1794786
39,2.0256376,2.0320263,"('exploitative', 'cooperative')",0.15876374,0.15400161,1.8542124,1.7295104,0.430555,0.41587782,1.1172922,1.082854,0.0344382
16,-1.9938477,-2.011772,"('unpopular', 'popular')",-0.48213798,-0.8804581,-0.14784586,-0.3247963,0.21898243,0.0773035,-0.6012123,-0.7849307,0.1837184
7,1.7387364,1.553031,"('insensitive', 'sensitive')",0.53698283,0.65590155,0.3184044,0.253316,1.3524652,1.3850526,0.9866472,0.9618253,0.0248219
46,1.6918377,1.7288896,"('uncompetitive', 'competitive')",0.112102896,0.14901522,1.2908239,1.2108419,-0.6964675,-0.7228315,0.5995742,0.5914788,0.0080954
5,-1.6375446,-1.2293497,"('distant', 'outgoing')",-0.08390797,0.07124317,-1.684751,-1.4136682,-0.5509679,-0.33161813,-0.9892929,-0.7258482,-0.2634447
30,1.5835257,1.5897108,"('intolerant', 'tolerant')",0.592972,0.6225045,-0.04243711,-0.1290069,0.77011025,0.8462447,0.7260427,0.7323633,-0.0063206
74,1.5663904,1.7824113,"('undedicated', 'dedicated')",-0.7174937,-0.59112245,1.3427963,1.4870503,0.24344887,0.23700142,0.6087855,0.7288352,-0.1200497
60,1.5517659,1.5754144,"('inefficient', 'efficient')",0.10543858,0.5051522,0.96751666,0.8486318,-0.09592836,0.06963885,0.6321982,0.7497094,-0.1175112
23,1.5416884,1.6906089,"('insincere', 'sincere')",-0.09572752,0.19405393,0.22137201,0.29877186,6.2216735,6.4720435,1.9722517,2.1638694,-0.1916177
4,-1.5393391,-1.4924833,"('disliked', 'liked')",-0.2954098,-0.33223084,-0.34552133,-0.39226693,-7.185034,-7.318209,-2.341326,-2.3837976,0.0424716
